sample_idx,pos_idx,pd_distance_candidateC,mt_distance_candidateC
55,55,22.263964280398074,5.535513401031494
56,56,23.03727206020307,5.552026271820068
57,57,23.339823665379836,5.799655914306641
58,58,24.039914106232363,5.689357280731201
59,59,24.177771683880696,5.379061698913574
60,60,24.407853574566715,5.807711601257324
61,61,24.55018084574508,5.243494987487793
62,62,26.12436474004259,6.542055130004883
63,63,27.162971218744115,6.52699613571167
64,64,23.03000193266938,5.588756084442139
65,65,20.95001849764969,5.214161396026611
66,66,19.663340462403355,5.539551258087158
67,67,19.12058892700164,4.650570869445801
68,68,20.333868243538067,5.509927272796631
69,69,22.84142062050186,5.009259223937988
70,70,23.158939221457782,5.031434059143066
71,71,24.046551487271675,5.298871994018555
72,72,25.033326290983055,4.851429462432861
73,73,26.252757847480733,5.591467380523682
74,74,27.571939780379243,5.598252296447754
75,75,28.19890563706525,5.574274063110352
76,76,28.42581295652969,5.2494916915893555
77,77,28.512610948168387,6.079041004180908
78,78,28.419811744527006,6.360452175140381
79,79,28.960994577120992,6.264952182769775
80,80,28.508768758558222,5.258550643920898
81,81,28.472420718644212,5.703179359436035
82,82,27.880490429073618,6.6030964851379395
83,83,27.4317682294804,6.02584981918335
84,84,28.15358382264898,5.774782657623291
85,85,28.105709676641794,5.409319877624512
86,86,28.360299667287062,5.5167365074157715
87,87,28.833851824461437,7.087179660797119
88,88,25.256892110207453,6.1422343254089355
89,89,22.89754227947699,5.5521440505981445
90,90,20.94577298258462,5.075140476226807
91,91,21.121737245076407,5.739211082458496
92,92,21.038661011623336,5.271988391876221
93,93,24.028274190826053,6.14374303817749
94,94,25.14096396931906,5.893560886383057
95,95,26.781038772914595,5.331827640533447
96,96,28.834033899633447,5.17882776260376
97,97,29.54323576726459,4.6851325035095215
98,98,30.048705542330104,4.918824195861816
99,99,30.316682707595668,5.498284816741943
100,100,30.140117044881777,5.351336479187012
101,101,29.215426344473293,5.353609085083008
102,102,28.04637811646051,5.493511199951172
103,103,28.535559306448214,5.228216171264648
104,104,28.21188984191069,4.723474025726318
105,105,27.961413994788167,5.227352142333984
106,106,28.262582271451123,5.34552526473999
107,107,27.660054058254957,5.256672382354736
108,108,27.79387658406261,5.788100242614746
109,109,27.49713756963951,4.830506324768066
110,110,28.075405597796635,5.687377452850342
111,111,26.94272969891433,5.523964881896973
112,112,26.58580217731649,5.5572943687438965
113,113,25.161132559502477,5.20902681350708
114,114,23.717295190653527,4.957070350646973
115,115,24.908479322050436,4.705747604370117
116,116,25.00823464549098,5.285132884979248
117,117,26.58311627582381,5.962286472320557
118,118,27.822672840135557,6.579855918884277
119,119,27.35972553114532,5.170251846313477
120,120,26.704302274914717,4.876166820526123
121,121,27.705731973422758,4.785161972045898
122,122,26.876463678753364,5.558730125427246
123,123,26.996843682947205,5.339475154876709
124,124,27.15055172064657,6.221042156219482
125,125,27.01075502180753,4.823807716369629
126,126,26.89955841226989,4.462385654449463
127,127,28.84003810987642,4.784478187561035
128,128,28.073425458062,5.412283420562744
129,129,29.36503144902886,5.197137832641602
130,130,29.80727842062163,5.013097286224365
131,131,32.37131860237563,5.9127702713012695
132,132,33.52990405945274,6.086034297943115
133,133,34.14344907844102,6.084880828857422
134,134,31.529026406124807,6.252074241638184
135,135,29.135856458855326,5.156597137451172
136,136,27.44439164589457,5.266989231109619
137,137,26.38485380741087,4.420660018920898
138,138,25.500002066739047,4.602932453155518
139,139,24.74349282325091,4.903143882751465
140,140,26.129965712889216,4.927356243133545
141,141,30.233797436830592,5.7144856452941895
142,142,32.74959979109763,5.939748764038086
143,143,31.984634273843795,5.802425861358643
144,144,31.5846701052378,5.4842071533203125
145,145,30.502240101904604,5.727496147155762
146,146,29.668574915851583,5.936835765838623
147,147,27.760950754862193,6.096467018127441
148,148,27.157690269139547,5.154739856719971
149,149,26.346082413773136,6.004216194152832
150,150,24.86817146708443,4.908535003662109
151,151,24.99491777081763,6.305517196655273
152,152,24.975406189018166,5.82513427734375
153,153,24.77814781615235,6.431364059448242
154,154,24.58961480971409,5.819255352020264
155,155,24.846270964315764,6.864002704620361
156,156,25.177803825752505,5.253257751464844
157,157,26.570679381901844,4.934730052947998
158,158,28.562173756617835,5.51592493057251
159,159,25.94327934961392,5.644424915313721
160,160,23.3741964485995,5.886693000793457
161,161,21.730855099748606,5.520635604858398
162,162,21.445746766164863,5.185703754425049
163,163,22.182127300487494,4.916142463684082
164,164,24.168347631671526,5.303427696228027
165,165,25.664296307097704,5.320810317993164
166,166,27.020780877281524,5.773357391357422
167,167,26.651545580647763,5.900020122528076
