sample_idx,delta_ssim,delta_mt,delta_pd,winner_ssim,winner_mt,winner_pd
26,0.017785687996901278,4.244935512542725,-4.246677164536258,cnn,cnn,gan
27,0.029645301885254605,13.490119457244873,-5.951590783761549,cnn,cnn,gan
28,0.05224633325951533,7.736997127532959,-7.5824311295112174,cnn,cnn,gan
29,0.0464149132790177,5.9002685546875,-7.090496520061972,cnn,cnn,gan
30,0.04764500751119949,6.719937324523926,-9.11769536279277,cnn,cnn,gan
31,0.03308011549439582,9.415461540222168,-7.798958550091694,cnn,cnn,gan
32,0.04734223970314855,11.7681245803833,-8.012099789376382,cnn,cnn,gan
33,0.05191055661336752,13.23584794998169,-7.992919330775159,cnn,cnn,gan
34,0.05564578953597643,13.12288522720337,-8.448868502929422,cnn,cnn,gan
35,0.04804291747568723,8.16400957107544,-7.205796432989075,cnn,cnn,gan
36,0.05251047448299562,3.1715517044067383,-7.875280567716636,cnn,cnn,gan
37,0.03743818636798524,3.1034741401672363,-6.292953489676982,cnn,cnn,gan
38,0.05656397510840294,1.3623995780944824,-5.379562854617582,cnn,cnn,gan
39,0.04492518706944615,2.6726326942443848,-3.886171126905573,cnn,cnn,gan
40,0.0908271192528387,3.35744047164917,-3.8342045414024355,cnn,cnn,gan
41,0.0959139795455678,3.5117835998535156,-6.004470865065727,cnn,cnn,gan
42,0.12652669973464403,1.6252508163452148,-6.997562038872003,cnn,cnn,gan
43,0.15034878856407602,1.2848858833312988,-6.984029617323921,cnn,cnn,gan
44,0.17851819213788267,0.8350815773010254,-5.925737386288752,cnn,cnn,gan
45,0.19206344416956095,0.2069711685180664,-6.918646754031586,cnn,cnn,gan
46,0.1756583031682329,0.4070606231689453,-4.406039689451099,cnn,cnn,gan
47,0.18379564593875647,0.7085165977478027,-9.092857960913102,cnn,cnn,gan
48,0.16385054112081993,-0.3985104560852051,-9.72546950270006,cnn,gan,gan
49,0.16409091759339905,1.5694875717163086,-8.443118863706923,cnn,cnn,gan
50,0.16412879820120468,0.3277096748352051,-6.443326104934021,cnn,cnn,gan
51,0.1447297509357181,2.0941648483276367,-5.721627117117851,cnn,cnn,gan
52,0.15238527258827256,1.3137683868408203,-4.82901517143803,cnn,cnn,gan
53,0.18559375867418482,2.6572957038879395,-3.846379184150063,cnn,cnn,gan
54,0.14127698094472035,4.081710338592529,-4.673824925351717,cnn,cnn,gan
55,0.14675238184273837,2.5782084465026855,-6.147211496559969,cnn,cnn,gan
56,0.13874262675541366,2.3386168479919434,-6.665396058507866,cnn,cnn,gan
57,0.1406458771328502,1.3418521881103516,-6.582855791990649,cnn,cnn,gan
58,0.13650524090030852,2.2602524757385254,-6.798314331975675,cnn,cnn,gan
59,0.12007655987699517,2.344633102416992,-7.213367570166167,cnn,cnn,gan
60,0.10185965073828368,3.0356502532958984,-7.359820306904695,cnn,cnn,gan
61,0.09660811455706331,2.780329704284668,-6.214968807870456,cnn,cnn,gan
62,0.12212383402419819,-0.07007265090942383,-9.469816568827202,cnn,gan,gan
63,0.1326115049754243,-0.08297109603881836,-10.324832073619756,cnn,gan,gan
64,0.15095592854441908,1.1932158470153809,-8.009027369164066,cnn,cnn,gan
65,0.16039993041722866,-0.2439899444580078,-5.909408229536577,cnn,gan,gan
66,0.17420505893100946,0.7067909240722656,-5.0025153963535995,cnn,cnn,gan
67,0.17505702999513362,1.6130833625793457,-5.906224879848846,cnn,cnn,gan
68,0.16480046476809662,-0.403470516204834,-6.270411491765506,cnn,gan,gan
69,0.1624073898716215,1.236095905303955,-8.055833318467656,cnn,cnn,gan
70,0.17377647867438145,0.46565675735473633,-4.791417175348343,cnn,cnn,gan
71,0.13934670371891633,2.0277295112609863,-7.039306092210072,cnn,cnn,gan
72,0.12132626772463762,0.9235391616821289,-6.834790776641778,cnn,cnn,gan
73,0.11858050924477215,0.7659602165222168,-7.6024688274627685,cnn,cnn,gan
74,0.10888073319056513,0.8621988296508789,-8.18003949869281,cnn,cnn,gan
75,0.09668993521993868,0.4793844223022461,-9.618530700619797,cnn,cnn,gan
76,0.0891477711238231,1.24332857131958,-9.831056277140892,cnn,cnn,gan
77,0.09052617957345221,-0.13201189041137695,-9.591326603057613,cnn,gan,gan
78,0.09229960404807958,1.289968490600586,-10.345590775245523,cnn,cnn,gan
79,0.09747658480385751,-0.3894224166870117,-9.82681114697127,cnn,gan,gan
80,0.10496821765972753,-0.8060040473937988,-9.341334313446833,cnn,gan,gan
81,0.09269092717377009,1.1409878730773926,-8.706184969747014,cnn,cnn,gan
82,0.09044679747048123,-0.8804688453674316,-8.084550648979377,cnn,gan,gan
83,0.08431397062801949,0.03963279724121094,-6.39956198955246,cnn,cnn,gan
84,0.07474020099048528,3.287766456604004,-8.038770163555455,cnn,cnn,gan
85,0.0847318331965719,2.1089515686035156,-7.97342342109393,cnn,cnn,gan
86,0.0915392681730045,4.18082332611084,-10.349296367060862,cnn,cnn,gan
87,0.10951288803519982,0.6648192405700684,-10.587786986084183,cnn,cnn,gan
88,0.1388619562220102,0.07590866088867188,-7.979009777773516,cnn,cnn,gan
89,0.17344593228362432,0.2387700080871582,-7.100562517887155,cnn,cnn,gan
90,0.19022585067361003,0.40562963485717773,-4.8800666213924835,cnn,cnn,gan
91,0.18383620188430772,0.011494159698486328,-6.0433707490104425,cnn,cnn,gan
92,0.16108176180585054,-0.05791521072387695,-5.271622610904746,cnn,gan,gan
93,0.14504533882454057,0.30901193618774414,-6.267410979121021,cnn,cnn,gan
94,0.10544605943053675,1.4144525527954102,-4.56316234007101,cnn,cnn,gan
95,0.1189122403722293,1.662243366241455,-6.241783184723847,cnn,cnn,gan
96,0.10973591347474321,2.1362199783325195,-6.6540088426873645,cnn,cnn,gan
97,0.11858557510186146,2.2119545936584473,-7.950734005538294,cnn,cnn,gan
98,0.10071449990093678,3.8225035667419434,-8.208836636566513,cnn,cnn,gan
99,0.1059237721793197,2.418257713317871,-9.942731751809863,cnn,cnn,gan
100,0.0951468040128034,1.7049517631530762,-10.289873808000955,cnn,cnn,gan
101,0.10522638200762746,1.709373950958252,-9.470583180454003,cnn,cnn,gan
102,0.12761680555675597,3.0674586296081543,-8.996887683487799,cnn,cnn,gan
103,0.12877897504430402,1.2120704650878906,-8.817035424043663,cnn,cnn,gan
104,0.11590094126065908,2.5646700859069824,-9.043821735076822,cnn,cnn,gan
105,0.12193464581447988,1.4865074157714844,-10.055477774161222,cnn,cnn,gan
