method,sample_idx,metric_column,value
cnn,5,exceed_frac_abs_delta_p90,0.007680000000000006
cnn,5,exceed_frac_gt_p95,0.05
cnn,5,exceed_frac_sr_p95,0.044648
cnn,5,exceed_frac_delta_p95,-0.005352000000000003
cnn,5,exceed_frac_abs_delta_p95,0.005352000000000003
cnn,5,exceed_frac_gt_p99,0.01
cnn,5,exceed_frac_sr_p99,0.00866
cnn,5,exceed_frac_delta_p99,-0.001340000000000001
cnn,5,exceed_frac_abs_delta_p99,0.001340000000000001
cnn,5,pd_distance,27.01852197077857
cnn,5,mt_distance,5.628478050231934
cnn,5,ssim,0.5860435401093661
cnn,6,psnr,31.338762401290875
cnn,6,wpd_bias,-38.64744441680193
cnn,6,wpd_mae,326.5449725055528
cnn,6,wpd_rmse,773.1061532402149
cnn,6,wpd_w1,44.35720204250285
cnn,6,psd_log_l2,0.5657284148063008
cnn,6,psd_slope_gt,2.708055286320496
cnn,6,psd_slope_sr,1.4861530035330344
cnn,6,psd_slope_delta,-1.2219022827874617
cnn,6,psd_slope_abs_delta,1.2219022827874617
cnn,6,grad_mae,0.3975062725174918
cnn,6,grad_w1,0.19936101988821434
cnn,6,grad_kurtosis_gt,19.21963214301053
cnn,6,grad_kurtosis_sr,16.91863752435772
cnn,6,grad_kurtosis_delta,-2.3009946186528083
cnn,6,grad_kurtosis_abs_delta,2.3009946186528083
cnn,6,exceed_frac_gt_t5,0.829016
cnn,6,exceed_frac_sr_t5,0.825932
cnn,6,exceed_frac_delta_t5,-0.0030839999999999756
cnn,6,exceed_frac_abs_delta_t5,0.0030839999999999756
cnn,6,exceed_frac_gt_t10,0.434664
cnn,6,exceed_frac_sr_t10,0.436272
cnn,6,exceed_frac_delta_t10,0.0016079999999999983
cnn,6,exceed_frac_abs_delta_t10,0.0016079999999999983
cnn,6,exceed_frac_gt_t15,0.090252
cnn,6,exceed_frac_sr_t15,0.083088
cnn,6,exceed_frac_delta_t15,-0.007164000000000004
cnn,6,exceed_frac_abs_delta_t15,0.007164000000000004
cnn,6,exceed_frac_gt_p90,0.1
cnn,6,exceed_frac_sr_p90,0.09234
cnn,6,exceed_frac_delta_p90,-0.00766
cnn,6,exceed_frac_abs_delta_p90,0.00766
cnn,6,exceed_frac_gt_p95,0.05
cnn,6,exceed_frac_sr_p95,0.0426
cnn,6,exceed_frac_delta_p95,-0.007400000000000004
cnn,6,exceed_frac_abs_delta_p95,0.007400000000000004
cnn,6,exceed_frac_gt_p99,0.01
cnn,6,exceed_frac_sr_p99,0.007728
cnn,6,exceed_frac_delta_p99,-0.0022720000000000006
cnn,6,exceed_frac_abs_delta_p99,0.0022720000000000006
cnn,6,pd_distance,28.068979766562435
cnn,6,mt_distance,6.144000053405762
cnn,6,ssim,0.6104470927526627
cnn,7,psnr,31.13074607942621
cnn,7,wpd_bias,-48.34723932355751
cnn,7,wpd_mae,307.73585041558454
cnn,7,wpd_rmse,705.9303574253695
cnn,7,wpd_w1,60.2050185397248
cnn,7,psd_log_l2,0.6147404703544644
cnn,7,psd_slope_gt,2.6863219912181293
cnn,7,psd_slope_sr,1.4668043917099103
cnn,7,psd_slope_delta,-1.219517599508219
cnn,7,psd_slope_abs_delta,1.219517599508219
cnn,7,grad_mae,0.39094158124414563
cnn,7,grad_w1,0.2231354271334698
cnn,7,grad_kurtosis_gt,19.40674891989679
cnn,7,grad_kurtosis_sr,16.101926716115504
cnn,7,grad_kurtosis_delta,-3.304822203781285
cnn,7,grad_kurtosis_abs_delta,3.304822203781285
cnn,7,exceed_frac_gt_t5,0.86922
cnn,7,exceed_frac_sr_t5,0.87212
cnn,7,exceed_frac_delta_t5,0.0029000000000000137
cnn,7,exceed_frac_abs_delta_t5,0.0029000000000000137
cnn,7,exceed_frac_gt_t10,0.460136
cnn,7,exceed_frac_sr_t10,0.464152
cnn,7,exceed_frac_delta_t10,0.0040160000000000196
cnn,7,exceed_frac_abs_delta_t10,0.0040160000000000196
cnn,7,exceed_frac_gt_t15,0.095252
cnn,7,exceed_frac_sr_t15,0.08618
cnn,7,exceed_frac_delta_t15,-0.009071999999999997
cnn,7,exceed_frac_abs_delta_t15,0.009071999999999997
cnn,7,exceed_frac_gt_p90,0.1
cnn,7,exceed_frac_sr_p90,0.09058
cnn,7,exceed_frac_delta_p90,-0.009420000000000012
cnn,7,exceed_frac_abs_delta_p90,0.009420000000000012
cnn,7,exceed_frac_gt_p95,0.05
cnn,7,exceed_frac_sr_p95,0.04236
cnn,7,exceed_frac_delta_p95,-0.007640000000000001
cnn,7,exceed_frac_abs_delta_p95,0.007640000000000001
cnn,7,exceed_frac_gt_p99,0.01
cnn,7,exceed_frac_sr_p99,0.006472
cnn,7,exceed_frac_delta_p99,-0.003528
cnn,7,exceed_frac_abs_delta_p99,0.003528
cnn,7,pd_distance,29.26973016135952
cnn,7,mt_distance,5.672351837158203
cnn,7,ssim,0.5788093320390605
cnn,8,psnr,31.360491209352674
cnn,8,wpd_bias,-45.390068791902266
cnn,8,wpd_mae,300.281470491702
cnn,8,wpd_rmse,660.5428584979636
cnn,8,wpd_w1,52.582040677078965
cnn,8,psd_log_l2,0.6523686836173482
cnn,8,psd_slope_gt,2.681394427062346
cnn,8,psd_slope_sr,1.5541795013461386
cnn,8,psd_slope_delta,-1.1272149257162074
cnn,8,psd_slope_abs_delta,1.1272149257162074
cnn,8,grad_mae,0.38899178180769256
cnn,8,grad_w1,0.2296630141518205
cnn,8,grad_kurtosis_gt,19.72492902925247
cnn,8,grad_kurtosis_sr,17.55953272345065
cnn,8,grad_kurtosis_delta,-2.165396305801817
cnn,8,grad_kurtosis_abs_delta,2.165396305801817
cnn,8,exceed_frac_gt_t5,0.900284
cnn,8,exceed_frac_sr_t5,0.904576
cnn,8,exceed_frac_delta_t5,0.0042920000000000735
cnn,8,exceed_frac_abs_delta_t5,0.0042920000000000735
cnn,8,exceed_frac_gt_t10,0.493224
cnn,8,exceed_frac_sr_t10,0.49286
cnn,8,exceed_frac_delta_t10,-0.00036399999999997545
cnn,8,exceed_frac_abs_delta_t10,0.00036399999999997545
cnn,8,exceed_frac_gt_t15,0.099704
cnn,8,exceed_frac_sr_t15,0.08746
cnn,8,exceed_frac_delta_t15,-0.012244000000000005
cnn,8,exceed_frac_abs_delta_t15,0.012244000000000005
cnn,8,exceed_frac_gt_p90,0.1
cnn,8,exceed_frac_sr_p90,0.087764
cnn,8,exceed_frac_delta_p90,-0.01223600000000001
cnn,8,exceed_frac_abs_delta_p90,0.01223600000000001
cnn,8,exceed_frac_gt_p95,0.05
cnn,8,exceed_frac_sr_p95,0.040208
cnn,8,exceed_frac_delta_p95,-0.009792000000000002
cnn,8,exceed_frac_abs_delta_p95,0.009792000000000002
cnn,8,exceed_frac_gt_p99,0.01
cnn,8,exceed_frac_sr_p99,0.006888
cnn,8,exceed_frac_delta_p99,-0.003112
cnn,8,exceed_frac_abs_delta_p99,0.003112
cnn,8,pd_distance,29.63505050414828
cnn,8,mt_distance,7.50956392288208
cnn,8,ssim,0.5424755769298811
cnn,9,psnr,31.371026408537652
cnn,9,wpd_bias,-41.44450152923926
cnn,9,wpd_mae,288.2607483740837
cnn,9,wpd_rmse,599.4648989499779
cnn,9,wpd_w1,49.16999316437071
cnn,9,psd_log_l2,0.681537462074852
cnn,9,psd_slope_gt,2.6240306047279827
cnn,9,psd_slope_sr,1.5165907552593705
cnn,9,psd_slope_delta,-1.1074398494686122
cnn,9,psd_slope_abs_delta,1.1074398494686122
cnn,9,grad_mae,0.3796610425240004
cnn,9,grad_w1,0.21678010257301614
cnn,9,grad_kurtosis_gt,18.89682228236527
cnn,9,grad_kurtosis_sr,16.266140889454316
cnn,9,grad_kurtosis_delta,-2.6306813929109545
cnn,9,grad_kurtosis_abs_delta,2.6306813929109545
cnn,9,exceed_frac_gt_t5,0.92978
cnn,9,exceed_frac_sr_t5,0.934284
cnn,9,exceed_frac_delta_t5,0.0045039999999999525
cnn,9,exceed_frac_abs_delta_t5,0.0045039999999999525
cnn,9,exceed_frac_gt_t10,0.53286
cnn,9,exceed_frac_sr_t10,0.528936
cnn,9,exceed_frac_delta_t10,-0.003924000000000039
cnn,9,exceed_frac_abs_delta_t10,0.003924000000000039
cnn,9,exceed_frac_gt_t15,0.107044
cnn,9,exceed_frac_sr_t15,0.096648
cnn,9,exceed_frac_delta_t15,-0.010396000000000002
cnn,9,exceed_frac_abs_delta_t15,0.010396000000000002
cnn,9,exceed_frac_gt_p90,0.1
cnn,9,exceed_frac_sr_p90,0.088192
cnn,9,exceed_frac_delta_p90,-0.011807999999999999
cnn,9,exceed_frac_abs_delta_p90,0.011807999999999999
cnn,9,exceed_frac_gt_p95,0.05
cnn,9,exceed_frac_sr_p95,0.038676
cnn,9,exceed_frac_delta_p95,-0.011324
cnn,9,exceed_frac_abs_delta_p95,0.011324
cnn,9,exceed_frac_gt_p99,0.01
cnn,9,exceed_frac_sr_p99,0.006712
cnn,9,exceed_frac_delta_p99,-0.003288
cnn,9,exceed_frac_abs_delta_p99,0.003288
cnn,9,pd_distance,28.65602837253281
cnn,9,mt_distance,5.768454551696777
cnn,9,ssim,0.5305875142485871
cnn,10,psnr,31.816922329920537
cnn,10,wpd_bias,-39.83815196972408
cnn,10,wpd_mae,278.2545073653114
cnn,10,wpd_rmse,555.7312679885772
cnn,10,wpd_w1,53.656084115925694
cnn,10,psd_log_l2,0.7568204214551575
cnn,10,psd_slope_gt,2.5408636514117626
cnn,10,psd_slope_sr,1.494805354806124
cnn,10,psd_slope_delta,-1.0460582966056386
cnn,10,psd_slope_abs_delta,1.0460582966056386
cnn,10,grad_mae,0.36870187989129716
cnn,10,grad_w1,0.218423523104424
cnn,10,grad_kurtosis_gt,19.156872458932394
cnn,10,grad_kurtosis_sr,18.010296651981957
cnn,10,grad_kurtosis_delta,-1.1465758069504375
cnn,10,grad_kurtosis_abs_delta,1.1465758069504375
cnn,10,exceed_frac_gt_t5,0.945176
cnn,10,exceed_frac_sr_t5,0.948712
cnn,10,exceed_frac_delta_t5,0.0035359999999999836
cnn,10,exceed_frac_abs_delta_t5,0.0035359999999999836
cnn,10,exceed_frac_gt_t10,0.556484
cnn,10,exceed_frac_sr_t10,0.552708
cnn,10,exceed_frac_delta_t10,-0.0037760000000000016
cnn,10,exceed_frac_abs_delta_t10,0.0037760000000000016
cnn,10,exceed_frac_gt_t15,0.116736
cnn,10,exceed_frac_sr_t15,0.107272
cnn,10,exceed_frac_delta_t15,-0.009464
cnn,10,exceed_frac_abs_delta_t15,0.009464
cnn,10,exceed_frac_gt_p90,0.1
cnn,10,exceed_frac_sr_p90,0.088564
cnn,10,exceed_frac_delta_p90,-0.011436000000000002
cnn,10,exceed_frac_abs_delta_p90,0.011436000000000002
cnn,10,exceed_frac_gt_p95,0.05
cnn,10,exceed_frac_sr_p95,0.039132
cnn,10,exceed_frac_delta_p95,-0.010868000000000003
cnn,10,exceed_frac_abs_delta_p95,0.010868000000000003
cnn,10,exceed_frac_gt_p99,0.01
cnn,10,exceed_frac_sr_p99,0.0063
cnn,10,exceed_frac_delta_p99,-0.0037
cnn,10,exceed_frac_abs_delta_p99,0.0037
cnn,10,pd_distance,29.696969860459554
cnn,10,mt_distance,6.634506702423096
cnn,10,ssim,0.5321626280645544
cnn,11,psnr,31.748350858788758
cnn,11,wpd_bias,-43.37986882611018
cnn,11,wpd_mae,270.27078472056496
cnn,11,wpd_rmse,507.8111337650393
cnn,11,wpd_w1,49.50182970113581
cnn,11,psd_log_l2,0.80191130157697
cnn,11,psd_slope_gt,2.352269965977851
cnn,11,psd_slope_sr,1.4710416693649184
cnn,11,psd_slope_delta,-0.8812282966129328
cnn,11,psd_slope_abs_delta,0.8812282966129328
cnn,11,grad_mae,0.3677900042283905
cnn,11,grad_w1,0.21796784228540447
cnn,11,grad_kurtosis_gt,18.284984904522606
cnn,11,grad_kurtosis_sr,17.177324130865657
cnn,11,grad_kurtosis_delta,-1.1076607736569493
cnn,11,grad_kurtosis_abs_delta,1.1076607736569493
cnn,11,exceed_frac_gt_t5,0.946068
cnn,11,exceed_frac_sr_t5,0.9499
cnn,11,exceed_frac_delta_t5,0.0038319999999999466
cnn,11,exceed_frac_abs_delta_t5,0.0038319999999999466
cnn,11,exceed_frac_gt_t10,0.582608
cnn,11,exceed_frac_sr_t10,0.576908
cnn,11,exceed_frac_delta_t10,-0.005700000000000038
cnn,11,exceed_frac_abs_delta_t10,0.005700000000000038
cnn,11,exceed_frac_gt_t15,0.132712
cnn,11,exceed_frac_sr_t15,0.126
cnn,11,exceed_frac_delta_t15,-0.006711999999999996
cnn,11,exceed_frac_abs_delta_t15,0.006711999999999996
cnn,11,exceed_frac_gt_p90,0.1
cnn,11,exceed_frac_sr_p90,0.088852
cnn,11,exceed_frac_delta_p90,-0.011148000000000005
cnn,11,exceed_frac_abs_delta_p90,0.011148000000000005
cnn,11,exceed_frac_gt_p95,0.05
cnn,11,exceed_frac_sr_p95,0.040804
cnn,11,exceed_frac_delta_p95,-0.009196000000000003
cnn,11,exceed_frac_abs_delta_p95,0.009196000000000003
cnn,11,exceed_frac_gt_p99,0.01
cnn,11,exceed_frac_sr_p99,0.00368
cnn,11,exceed_frac_delta_p99,-0.00632
cnn,11,exceed_frac_abs_delta_p99,0.00632
cnn,11,pd_distance,28.68732565326105
cnn,11,mt_distance,5.910721302032471
cnn,11,ssim,0.485865417911638
cnn,12,psnr,31.323965112591917
cnn,12,wpd_bias,-42.03415437463163
cnn,12,wpd_mae,264.69706065698887
cnn,12,wpd_rmse,477.7448860366581
cnn,12,wpd_w1,46.361014311737414
cnn,12,psd_log_l2,0.9539183791233589
cnn,12,psd_slope_gt,2.2636711597595545
cnn,12,psd_slope_sr,1.445843938804531
cnn,12,psd_slope_delta,-0.8178272209550235
cnn,12,psd_slope_abs_delta,0.8178272209550235
cnn,12,grad_mae,0.3713575429796618
cnn,12,grad_w1,0.23368142016855964
cnn,12,grad_kurtosis_gt,17.398512855685922
cnn,12,grad_kurtosis_sr,17.529897966732445
cnn,12,grad_kurtosis_delta,0.13138511104652295
cnn,12,grad_kurtosis_abs_delta,0.13138511104652295
cnn,12,exceed_frac_gt_t5,0.928128
cnn,12,exceed_frac_sr_t5,0.931308
cnn,12,exceed_frac_delta_t5,0.0031800000000000717
cnn,12,exceed_frac_abs_delta_t5,0.0031800000000000717
