sample_idx,pos_idx,pd_distance_candidateDpd_expanded672,mt_distance_candidateDpd_expanded672
154,154,26.03818555638794,6.296319484710693
155,155,26.622155555031874,6.3071208000183105
156,156,26.06846400169658,5.5303497314453125
157,157,26.970010587311435,5.3122076988220215
158,158,28.785395762937974,6.417165756225586
159,159,26.067112550534457,5.799592971801758
160,160,23.308409320024364,5.909608364105225
161,161,21.626505818603686,4.678044319152832
162,162,20.160857445729068,4.490620136260986
163,163,21.27937352123644,4.7373504638671875
164,164,23.75691469853999,5.690972805023193
165,165,25.613273534679774,6.27132511138916
166,166,26.609812913129492,5.538632392883301
167,167,26.67603106428461,5.189915657043457
