sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateDpd_expanded672,mt_distance_cnn,mt_distance_gan,mt_distance_candidateDpd_expanded672,pd_winner_before,pd_winner_after_candidateDpd_expanded672,mt_winner_before,mt_winner_after_candidateDpd_expanded672,was_mt_gan_win_before
67,67,20.679919922717943,14.773695042869097,21.14447623018022,5.030301094055176,6.6433844566345215,5.273502826690674,gan,gan,cnn,cnn,0
68,68,21.77134223692748,15.500930745161975,22.233528047784482,6.074338436126709,5.670867919921875,6.438769340515137,gan,gan,gan,gan,1
69,69,24.168055816700438,16.112222498232782,24.93980706539931,5.17050838470459,6.406604290008545,5.51934814453125,gan,gan,cnn,cnn,0
70,70,24.673819113934496,19.882401938586153,25.55878649089108,5.396136283874512,5.861793041229248,5.77507209777832,gan,gan,cnn,cnn,0
71,71,25.505047306429027,18.465741214218955,26.358919932457205,5.1588335037231445,7.186563014984131,5.195189476013184,gan,gan,cnn,cnn,0
72,72,26.514111621573456,19.679320844931677,27.223228718934163,4.796044826507568,5.719583988189697,4.946654319763184,gan,gan,cnn,cnn,0
73,73,27.001473804134946,19.399004976672177,27.93642202034783,4.9851861000061035,5.75114631652832,5.295748710632324,gan,gan,cnn,cnn,0
74,74,28.28963162272453,20.10959212403172,29.110029474721106,4.782100200653076,5.644299030303955,5.018452167510986,gan,gan,cnn,cnn,0
75,75,29.367383683723347,19.74885298310355,30.1191095661006,5.201173305511475,5.680557727813721,5.644851207733154,gan,gan,cnn,cnn,0
76,76,30.056769521251926,20.225713244111034,30.772042518392308,5.207019329071045,6.450347900390625,5.621290683746338,gan,gan,cnn,cnn,0
77,77,29.944664675564518,20.353338072506904,30.444486749796713,6.132026672363281,6.000014781951904,6.406846523284912,gan,gan,gan,gan,1
78,78,30.300511724579902,19.95492094933438,30.895409979640593,5.8028388023376465,7.092807292938232,6.392919063568115,gan,gan,cnn,cnn,0
79,79,30.148051358309164,20.321240211337894,30.779447671679275,6.856454849243164,6.467032432556152,7.307291030883789,gan,gan,gan,gan,1
80,80,30.086252753371088,20.744918439924255,30.61781878564777,6.982686519622803,6.176682472229004,7.060382843017578,gan,gan,gan,gan,1
81,81,29.68907403762892,20.982889067881906,30.385907650224723,6.426537990570068,7.567525863647461,6.8297953605651855,gan,gan,cnn,cnn,0
82,82,28.90089773637945,20.81634708740007,29.725230381350695,7.1840739250183105,6.303605079650879,7.847750663757324,gan,gan,gan,gan,1
83,83,28.194313716720707,21.794751727168247,28.932906258819905,6.560110569000244,6.599743366241455,6.730490207672119,gan,gan,cnn,cnn,0
84,84,29.14514380262554,21.106373639070085,29.57118919554255,5.271510124206543,8.559276580810547,6.183201789855957,gan,gan,cnn,cnn,0
85,85,28.72250736297703,20.7490839418831,29.349005061936467,5.609640121459961,7.718591690063477,5.827697277069092,gan,gan,cnn,cnn,0
86,86,29.195361276159034,18.84606490909817,29.85054906371362,5.25334358215332,9.43416690826416,5.433422565460205,gan,gan,cnn,cnn,0
87,87,29.611902358359767,19.024115372275585,30.293164031931454,6.509652614593506,7.174471855163574,6.946260929107666,gan,gan,cnn,cnn,0
88,88,26.37509421416108,18.396084436387564,27.019174151933452,6.411813259124756,6.487721920013428,6.598159313201904,gan,gan,cnn,cnn,0
89,89,24.29846982632471,17.197907308437554,24.837167190713444,6.017302513122559,6.256072521209717,6.6478590965271,gan,gan,cnn,cnn,0
90,90,22.206834090995343,17.32676746960286,22.935836631760463,5.257880687713623,5.663510322570801,5.446591377258301,gan,gan,cnn,cnn,0
91,91,22.30942508877806,16.266054339767617,23.16317424083461,5.508337497711182,5.519831657409668,5.826524257659912,gan,gan,cnn,cnn,0
92,92,22.07932597419188,16.807703363287136,23.00349244380346,5.735818386077881,5.677903175354004,5.688666820526123,gan,gan,gan,gan,1
93,93,24.402894658345392,18.13548367922437,25.807430248470567,6.506997585296631,6.816009521484375,6.8780717849731445,gan,gan,cnn,cnn,0
94,94,24.570031527820365,20.006869187749356,26.274968334272142,5.102908611297607,6.517361164093018,5.754510879516602,gan,gan,cnn,cnn,0
95,95,26.879696075655563,20.637912890931716,28.703371924873643,5.015480041503906,6.677723407745361,5.171990871429443,gan,gan,cnn,cnn,0
96,96,28.904715116511554,22.25070627382419,30.46847405671444,5.121858596801758,7.258078575134277,5.453520774841309,gan,gan,cnn,cnn,0
97,97,30.15308546680866,22.202351461270364,31.66836657633646,5.011539936065674,7.223494529724121,5.156149387359619,gan,gan,cnn,cnn,0
98,98,31.264551411001506,23.055714774434993,32.687068911985875,4.942448139190674,8.764951705932617,5.103975296020508,gan,gan,cnn,cnn,0
99,99,30.940933752807226,20.998202000997363,32.37767342877527,5.342334747314453,7.760592460632324,5.663589000701904,gan,gan,cnn,cnn,0
100,100,31.181555022619012,20.891681214618057,32.29668445739447,5.912055015563965,7.617006778717041,6.419517517089844,gan,gan,cnn,cnn,0
101,101,30.40796712150836,20.937383941054357,31.60198180816144,5.357294082641602,7.0666680335998535,5.800354480743408,gan,gan,cnn,cnn,0
102,102,29.254680859214627,20.257793175726828,30.37843096436391,5.164434909820557,8.231893539428711,5.216141223907471,gan,gan,cnn,cnn,0
103,103,29.507549938987374,20.69051451494371,30.716774964720038,5.102769374847412,6.314839839935303,5.400722980499268,gan,gan,cnn,cnn,0
104,104,29.173745320955113,20.12992358587829,30.17101225499294,4.829194068908691,7.393864154815674,5.006143569946289,gan,gan,cnn,cnn,0
105,105,29.338582011466166,19.283104237304943,30.184332056133705,5.33697509765625,6.823482513427734,5.289511203765869,gan,gan,cnn,candidateDpd_expanded672,0
106,106,30.092821360744658,20.00547041151677,30.8931416582941,5.767349720001221,6.75129508972168,6.010871887207031,gan,gan,cnn,cnn,0
107,107,29.64376642955138,20.682183399063746,30.45720337678478,5.574344635009766,7.6041154861450195,5.616254806518555,gan,gan,cnn,cnn,0
108,108,28.940126674621943,21.1993064034262,29.641213553290534,5.6898322105407715,7.595790386199951,5.794633865356445,gan,gan,cnn,cnn,0
109,109,28.97319829057234,20.853111383838083,29.781528363636824,5.088190078735352,7.198193550109863,5.397735595703125,gan,gan,cnn,cnn,0
110,110,29.504241915198808,19.600364202728887,30.247635631655207,5.806641101837158,6.568319320678711,6.0661091804504395,gan,gan,cnn,cnn,0
111,111,28.17742348677506,18.815230764049467,28.96692467104607,5.513612270355225,8.167459487915039,5.702212333679199,gan,gan,cnn,cnn,0
112,112,27.49742127818127,19.372446559915602,28.47912782336571,5.637857913970947,6.682409286499023,5.587779521942139,gan,gan,cnn,candidateDpd_expanded672,0
113,113,26.010710160777133,18.415536047943895,27.11303651972489,5.502909183502197,6.949485778808594,5.511675834655762,gan,gan,cnn,cnn,0
114,114,24.541486090961616,16.84887862793787,25.660177917946513,5.123978614807129,5.899235248565674,5.10959005355835,gan,gan,cnn,candidateDpd_expanded672,0
115,115,25.270960377659716,17.25298248796687,26.500005561855748,4.689971923828125,7.232174873352051,4.776047229766846,gan,gan,cnn,cnn,0
116,116,25.095451409249726,17.129081493158413,26.526291358222714,5.35050630569458,7.636551856994629,5.548544406890869,gan,gan,cnn,cnn,0
117,117,27.14897424086504,18.592743212240446,28.717912633816727,5.260716915130615,8.683184623718262,5.498927593231201,gan,gan,cnn,cnn,0
118,118,27.925806328570985,19.893975298384717,29.949877601348017,6.84329080581665,9.465571403503418,7.072665691375732,gan,gan,cnn,cnn,0
