method_id,metric,cnn_mean,candidate_mean,mean_raw_delta,mean_improvement_delta,median_improvement_delta,n_improved,n_worsened,n_tied,n_valid
grad_only,exceed_abs_t15,0.0062105,0.0030612142857142847,-0.0031492857142857143,0.0031492857142857143,0.0013599999999999999,123,45,0,168
grad_only,exceed_abs_p90,0.010253619047619053,0.004123095238095243,-0.00613052380952381,0.00613052380952381,0.005403999999999999,137,31,0,168
grad_only,comp_curve_l1,115.52777777777779,97.13492063492063,-18.392857142857142,18.392857142857142,21.25,146,22,0,168
grad_only,comp_abs_t5,64.38095238095238,54.00595238095238,-10.375,10.375,6.0,135,25,8,168
grad_only,comp_abs_t10,187.16666666666666,167.73214285714286,-19.43452380952381,19.43452380952381,17.5,129,38,1,168
grad_only,comp_abs_t15,116.80952380952381,93.875,-22.93452380952381,22.93452380952381,20.5,137,30,1,168
grad_only,pd_distance,27.406283078086062,22.9326269066382,-4.473656171447863,4.473656171447863,5.2438278770124285,157,11,0,168
grad_only,mt_distance,5.867795200574966,6.055993423575447,0.188198223000481,-0.188198223000481,-0.20493626594543457,66,102,0,168
speed_grad,psnruv,31.192500433861134,33.47256336371026,2.2800629298491195,2.2800629298491195,2.315640396368771,168,0,0,168
speed_grad,ssim_speed,,,,,,,,,0
speed_grad,speed_mae,0.6940701629397319,0.5178990092116215,-0.17617115372811035,0.17617115372811035,0.172519695169473,168,0,0,168
speed_grad,speed_rmse,1.1077586003651096,0.8812768517194042,-0.22648174864570544,0.22648174864570544,0.20411218339733442,168,0,0,168
speed_grad,wpd_mae,231.67091095165674,166.05865127527937,-65.61225967637738,65.61225967637738,61.286060576467335,168,0,0,168
speed_grad,wpd_w1,45.27127092112853,23.64598794930052,-21.625282971828014,21.625282971828014,21.943421129185086,135,33,0,168
speed_grad,wpd_bias_abs,35.343902938857745,15.67530801045236,-19.668594928405387,19.668594928405387,21.84694027400385,122,46,0,168
speed_grad,grad_mae,0.3490557204526641,0.3123017177143877,-0.03675400273827641,0.03675400273827641,0.03731451287147469,168,0,0,168
speed_grad,grad_w1,0.23294292018237558,0.1958593688536483,-0.03708355132872731,0.03708355132872731,0.043082958816739875,153,15,0,168
speed_grad,grad_kurtosis_abs_delta,3.7003760441443694,2.9340305874682193,-0.76634545667615,0.76634545667615,0.21605120244997078,94,74,0,168
speed_grad,psd_log_l2,0.8335247431666106,0.9693656545146748,0.13584091134806417,-0.13584091134806417,-0.10278433316269686,2,166,0,168
speed_grad,psd_slope_abs_delta,0.9150108562505738,1.2875171426244076,0.3725062863738337,-0.3725062863738337,-0.31023049141182046,0,168,0,168
speed_grad,exceed_abs_t5,0.004242333333333336,0.005011547619047621,0.0007692142857142847,-0.0007692142857142847,-0.0005540000000000544,67,101,0,168
speed_grad,exceed_abs_t10,0.006580809523809519,0.003300880952380949,-0.0032799285714285712,0.0032799285714285712,0.002474000000000018,118,50,0,168
speed_grad,exceed_abs_t15,0.0062105,0.003115833333333334,-0.0030946666666666657,0.0030946666666666657,0.0014539999999999987,120,48,0,168
speed_grad,exceed_abs_p90,0.010253619047619053,0.0042261666666666715,-0.006027452380952382,0.006027452380952382,0.0057819999999999955,139,29,0,168
speed_grad,comp_curve_l1,115.52777777777779,111.32936507936508,-4.198412698412698,4.198412698412698,6.250000000000007,120,48,0,168
speed_grad,comp_abs_t5,64.38095238095238,58.80952380952381,-5.571428571428571,5.571428571428571,3.0,112,42,14,168
speed_grad,comp_abs_t10,187.16666666666666,188.0,0.8333333333333334,-0.8333333333333334,-2.0,79,87,2,168
speed_grad,comp_abs_t15,116.80952380952381,109.125,-7.684523809523809,7.684523809523809,7.0,114,49,5,168
speed_grad,pd_distance,27.406283078086062,22.970622717354576,-4.435660360731483,4.435660360731483,4.870081954694452,164,4,0,168
speed_grad,mt_distance,5.867795200574966,6.290474925722394,0.42267972514742896,-0.42267972514742896,-0.4818105697631836,42,126,0,168
grad_levelset,psnruv,31.192500433861134,33.463386286987415,2.2708858531262783,2.2708858531262783,2.3038956407907367,168,0,0,168
grad_levelset,ssim_speed,,,,,,,,,0
grad_levelset,speed_mae,0.6940701629397319,0.5185479052709763,-0.17552225766875554,0.17552225766875554,0.17249596744358695,168,0,0,168
grad_levelset,speed_rmse,1.1077586003651096,0.8843569304574563,-0.22340166990765326,0.22340166990765326,0.20039516287372017,168,0,0,168
grad_levelset,wpd_mae,231.67091095165674,166.17505392020385,-65.49585703145289,65.49585703145289,61.37647671589311,168,0,0,168
grad_levelset,wpd_w1,45.27127092112853,27.967716307319435,-17.303554613809098,17.303554613809098,17.822544156725776,128,40,0,168
grad_levelset,wpd_bias_abs,35.343902938857745,22.304955805957928,-13.038947132899818,13.038947132899818,16.816556021991854,114,54,0,168
grad_levelset,grad_mae,0.3490557204526641,0.3115995487367239,-0.037456171715940186,0.037456171715940186,0.03826297277239063,168,0,0,168
grad_levelset,grad_w1,0.23294292018237558,0.19432274703721855,-0.038620173145157054,0.038620173145157054,0.04569678567906431,150,18,0,168
grad_levelset,grad_kurtosis_abs_delta,3.7003760441443694,2.8487062035138413,-0.8516698406305279,0.8516698406305279,0.3215205034785633,97,71,0,168
grad_levelset,psd_log_l2,0.8335247431666106,0.9424934429004153,0.10896869973380467,-0.10896869973380467,-0.06944536627459175,10,158,0,168
grad_levelset,psd_slope_abs_delta,0.9150108562505738,1.3017876534831534,0.3867767972325796,-0.3867767972325796,-0.34298408073209846,0,168,0,168
grad_levelset,exceed_abs_t5,0.004242333333333336,0.004163357142857147,-7.897619047618983e-05,7.897619047618983e-05,0.00019000000000002348,94,74,0,168
grad_levelset,exceed_abs_t10,0.006580809523809519,0.0040596666666666646,-0.0025211428571428546,0.0025211428571428546,0.0020880000000000204,116,52,0,168
grad_levelset,exceed_abs_t15,0.0062105,0.0037411904761904774,-0.0024693095238095225,0.0024693095238095225,0.0012439999999999997,117,51,0,168
grad_levelset,exceed_abs_p90,0.010253619047619053,0.005486642857142863,-0.00476697619047619,0.00476697619047619,0.0038919999999999927,131,37,0,168
grad_levelset,comp_curve_l1,115.52777777777779,109.31845238095238,-6.209325396825396,6.209325396825396,8.249999999999993,121,46,1,168
grad_levelset,comp_abs_t5,64.38095238095238,58.595238095238095,-5.785714285714286,5.785714285714286,3.0,119,35,14,168
