method_id,metric,total_rows,finite_rows,missing_rows,missing_reason
levelset_only,exceed_abs_t5,168,0,168,no_source_artifact_found_in_repository
levelset_only,exceed_abs_t10,168,0,168,no_source_artifact_found_in_repository
levelset_only,exceed_abs_t15,168,0,168,no_source_artifact_found_in_repository
levelset_only,exceed_abs_p90,168,0,168,no_source_artifact_found_in_repository
levelset_only,comp_curve_l1,168,0,168,no_source_artifact_found_in_repository
levelset_only,comp_abs_t5,168,0,168,no_source_artifact_found_in_repository
levelset_only,comp_abs_t10,168,0,168,no_source_artifact_found_in_repository
levelset_only,comp_abs_t15,168,0,168,no_source_artifact_found_in_repository
levelset_only,pd_distance,168,0,168,no_source_artifact_found_in_repository
levelset_only,mt_distance,168,0,168,no_source_artifact_found_in_repository
speed_levelset,psnruv,168,0,168,no_source_artifact_found_in_repository
speed_levelset,ssim_speed,168,0,168,no_source_artifact_found_in_repository
speed_levelset,speed_mae,168,0,168,no_source_artifact_found_in_repository
speed_levelset,speed_rmse,168,0,168,no_source_artifact_found_in_repository
speed_levelset,wpd_mae,168,0,168,no_source_artifact_found_in_repository
speed_levelset,wpd_w1,168,0,168,no_source_artifact_found_in_repository
speed_levelset,wpd_bias_abs,168,0,168,no_source_artifact_found_in_repository
speed_levelset,grad_mae,168,0,168,no_source_artifact_found_in_repository
speed_levelset,grad_w1,168,0,168,no_source_artifact_found_in_repository
speed_levelset,grad_kurtosis_abs_delta,168,0,168,no_source_artifact_found_in_repository
speed_levelset,psd_log_l2,168,0,168,no_source_artifact_found_in_repository
speed_levelset,psd_slope_abs_delta,168,0,168,no_source_artifact_found_in_repository
speed_levelset,exceed_abs_t5,168,0,168,no_source_artifact_found_in_repository
speed_levelset,exceed_abs_t10,168,0,168,no_source_artifact_found_in_repository
speed_levelset,exceed_abs_t15,168,0,168,no_source_artifact_found_in_repository
speed_levelset,exceed_abs_p90,168,0,168,no_source_artifact_found_in_repository
speed_levelset,comp_curve_l1,168,0,168,no_source_artifact_found_in_repository
speed_levelset,comp_abs_t5,168,0,168,no_source_artifact_found_in_repository
speed_levelset,comp_abs_t10,168,0,168,no_source_artifact_found_in_repository
speed_levelset,comp_abs_t15,168,0,168,no_source_artifact_found_in_repository
speed_levelset,pd_distance,168,0,168,no_source_artifact_found_in_repository
speed_levelset,mt_distance,168,0,168,no_source_artifact_found_in_repository
grad_only,psnruv,168,0,168,no_source_artifact_found_in_repository
grad_only,ssim_speed,168,0,168,no_source_artifact_found_in_repository
grad_only,speed_mae,168,0,168,no_source_artifact_found_in_repository
grad_only,speed_rmse,168,0,168,no_source_artifact_found_in_repository
grad_only,wpd_mae,168,0,168,no_source_artifact_found_in_repository
grad_only,wpd_w1,168,0,168,no_source_artifact_found_in_repository
grad_only,wpd_bias_abs,168,0,168,no_source_artifact_found_in_repository
grad_only,grad_mae,168,0,168,no_source_artifact_found_in_repository
grad_only,grad_w1,168,0,168,no_source_artifact_found_in_repository
grad_only,grad_kurtosis_abs_delta,168,0,168,no_source_artifact_found_in_repository
grad_only,psd_log_l2,168,0,168,no_source_artifact_found_in_repository
grad_only,psd_slope_abs_delta,168,0,168,no_source_artifact_found_in_repository
grad_only,exceed_abs_t5,168,0,168,no_source_artifact_found_in_repository
grad_only,exceed_abs_t10,168,0,168,no_source_artifact_found_in_repository
grad_only,exceed_abs_t15,168,0,168,no_source_artifact_found_in_repository
grad_only,exceed_abs_p90,168,0,168,no_source_artifact_found_in_repository
grad_only,comp_curve_l1,168,0,168,no_source_artifact_found_in_repository
grad_only,comp_abs_t5,168,0,168,no_source_artifact_found_in_repository
grad_only,comp_abs_t10,168,0,168,no_source_artifact_found_in_repository
grad_only,comp_abs_t15,168,0,168,no_source_artifact_found_in_repository
grad_only,pd_distance,168,0,168,no_source_artifact_found_in_repository
grad_only,mt_distance,168,0,168,no_source_artifact_found_in_repository
speed_grad,psnruv,168,0,168,no_source_artifact_found_in_repository
speed_grad,ssim_speed,168,0,168,no_source_artifact_found_in_repository
speed_grad,speed_mae,168,0,168,no_source_artifact_found_in_repository
speed_grad,speed_rmse,168,0,168,no_source_artifact_found_in_repository
speed_grad,wpd_mae,168,0,168,no_source_artifact_found_in_repository
speed_grad,wpd_w1,168,0,168,no_source_artifact_found_in_repository
