sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV_plus_crit_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV_plus_crit_expanded2688,pd_winner_before,pd_winner_after_candidateUV_plus_crit_expanded2688,mt_winner_before,mt_winner_after_candidateUV_plus_crit_expanded2688,was_mt_gan_win_before
40,40,24.281572165890662,20.447367624488226,25.899784456121882,5.6310811042785645,8.988521575927734,5.802631378173828,gan,gan,cnn,cnn,0
41,41,23.457166445963043,17.452695580897316,24.397136623738287,5.389686584472656,8.901470184326172,5.702155590057373,gan,gan,cnn,cnn,0
42,42,21.63035540369367,14.632793364821667,22.289800492179218,5.757840156555176,7.383090972900391,5.790728569030762,gan,gan,cnn,cnn,0
43,43,20.76816702008209,13.784137402758168,20.782431388815354,5.7682366371154785,7.053122520446777,5.794510841369629,gan,gan,cnn,cnn,0
44,44,19.781150575177055,13.855413188888303,19.507922504270933,6.20600700378418,7.041088581085205,6.356598377227783,gan,gan,cnn,cnn,0
45,45,20.528037851461004,13.609391097429418,20.336046560900527,6.566225528717041,6.773196697235107,6.452759742736816,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
46,46,20.678325640697178,16.27228595124608,19.654394471292875,6.243154048919678,6.650214672088623,6.260787487030029,gan,gan,cnn,cnn,0
47,47,22.201753073772625,13.108895112859523,20.735707990835063,6.789880752563477,7.498397350311279,6.532431602478027,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
48,48,22.832495463547907,13.107025960847848,21.783944141402742,7.081502437591553,6.682991981506348,6.953740119934082,gan,gan,gan,gan,1
49,49,22.105793975200847,13.662675111493924,21.75268376171549,6.3195295333862305,7.889017105102539,6.586709976196289,gan,gan,cnn,cnn,0
50,50,21.30877833114525,14.865452226211227,21.357587716215516,6.3856120109558105,6.713321685791016,6.211559772491455,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
51,51,21.75849079768097,16.03686368056312,21.639229135133082,5.902731418609619,7.996896266937256,5.781176567077637,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
52,52,21.81632996072092,16.98731478928289,22.408479406794775,5.69123649597168,7.0050048828125,5.683382511138916,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
53,53,21.92458068590406,18.078201501754,22.83162923130759,5.261850833892822,7.919146537780762,5.25453519821167,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
54,54,22.97915159360149,18.305326668249773,23.777497658752278,5.500187397003174,9.581897735595703,5.39348030090332,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
55,55,23.57536347476084,17.428151978200873,24.555346891417983,5.2683796882629395,7.846588134765625,5.925946235656738,gan,gan,cnn,cnn,0
56,56,24.24948793523431,17.584091876726443,25.322504144183533,5.488292217254639,7.826909065246582,5.546879768371582,gan,gan,cnn,cnn,0
57,57,24.937493176964292,18.354637384973643,25.57604568547057,5.463809013366699,6.805661201477051,5.8180670738220215,gan,gan,cnn,cnn,0
58,58,25.56121844001433,18.762904108038654,26.35301279173742,6.08959436416626,8.349846839904785,5.752843856811523,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
59,59,25.864386079507888,18.65101850934172,26.636267556455635,5.546851634979248,7.89148473739624,5.4675822257995605,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
60,60,25.964725332360167,18.604905025455473,27.09426714977486,5.321651458740234,8.357301712036133,5.95731258392334,gan,gan,cnn,cnn,0
61,61,25.73100039673249,19.516031588862035,27.195474479861755,5.346891403198242,8.12722110748291,5.851151943206787,gan,gan,cnn,cnn,0
62,62,27.46350343812835,17.993686869301147,28.662453753715486,6.720277786254883,6.650205135345459,6.800365924835205,gan,gan,gan,gan,1
