sample_idx,pos_idx,pd_distance_candidateUV_plus_crit_expanded2688,mt_distance_candidateUV_plus_crit_expanded2688
78,78,30.94208315683247,5.706409931182861
79,79,30.946185250980996,6.10997200012207
80,80,31.112618136563537,5.851737976074219
81,81,31.142136238112847,5.53842306137085
82,82,30.73635998152427,5.829263687133789
83,83,30.23647392593812,5.331809997558594
84,84,30.533015602866783,5.3827948570251465
85,85,30.21359365984402,5.523316860198975
86,86,30.558858172274867,5.358607292175293
87,87,31.207787453623535,6.37294864654541
88,88,27.870769293135464,5.628422260284424
89,89,25.349049554799322,5.510476112365723
90,90,23.701943117384843,4.996170520782471
91,91,24.02581146207721,5.420149326324463
92,92,24.670300621706843,5.209155559539795
93,93,28.098082216915802,5.819470405578613
94,94,29.541252105931246,5.412434101104736
95,95,30.830394232320533,5.693726539611816
96,96,32.55154145355541,5.263097286224365
97,97,33.16206417395771,5.015492916107178
98,98,33.52611987571398,5.155776023864746
99,99,33.53135201804725,5.612075328826904
100,100,33.08686135573286,5.67232084274292
101,101,32.55257776864508,6.035810947418213
102,102,31.42400249932767,5.697810173034668
103,103,31.989649575956665,5.219367504119873
104,104,31.387583180909463,5.102527618408203
105,105,31.323520888317717,5.755486965179443
106,106,31.26020817761236,5.989709377288818
107,107,30.834310124716993,5.759398460388184
108,108,30.90848741276821,5.889491558074951
109,109,30.848566531306098,5.5737481117248535
110,110,31.282372950067682,6.008598327636719
111,111,30.046628791165592,5.800282001495361
112,112,29.5539614125872,5.65410852432251
113,113,28.364222653494807,5.59302282333374
114,114,27.00092672559898,5.271381378173828
115,115,27.315214842395907,5.2273430824279785
116,116,28.290306830356016,5.315110206604004
117,117,29.577707359976,5.540330410003662
118,118,31.246175994829937,6.442821502685547
119,119,31.11553166509406,5.764336109161377
120,120,30.433812669148363,4.962425708770752
121,121,31.217667318063928,5.231960773468018
122,122,30.71269750900259,5.5077805519104
123,123,30.39891554930512,5.703765869140625
124,124,30.24919799029009,5.6674418449401855
125,125,29.7626294062723,4.941458702087402
126,126,29.299371835212987,5.081768035888672
127,127,31.101983762718074,5.1141438484191895
128,128,30.265146283994248,4.809484481811523
129,129,31.211517101418725,5.499586582183838
130,130,31.242811694591097,5.448791980743408
131,131,33.61710317380569,6.500598907470703
132,132,35.07817557664102,6.383803844451904
133,133,35.174393823742996,5.68887996673584
134,134,32.57924428595663,5.327977180480957
135,135,30.21568882767325,4.6491546630859375
136,136,28.1447575726372,5.414249420166016
137,137,26.874435762490872,4.657722473144531
138,138,26.07954547942667,4.387629508972168
139,139,25.475953803586666,4.807519912719727
140,140,27.094849774580336,5.011519908905029
141,141,31.46268434972992,6.478985786437988
142,142,35.044603751576176,6.079463481903076
143,143,33.5980720323914,5.802132606506348
144,144,33.44608541931626,5.558604717254639
145,145,32.90975459723254,5.7651543617248535
146,146,32.13872222551218,6.430005073547363
147,147,30.050084585809707,6.141170501708984
148,148,28.868793768038916,5.360029220581055
149,149,28.142582969047506,5.72751522064209
150,150,26.568096242643946,6.023292064666748
151,151,25.938187270502965,5.674750328063965
152,152,25.659196851532275,6.156503677368164
153,153,25.30632178054972,6.473884582519531
154,154,24.647068484118364,6.664816856384277
155,155,24.99149546853291,6.272047519683838
156,156,25.958655939090765,5.125036239624023
157,157,27.130235601832926,5.292523384094238
158,158,29.252041461378287,5.827995300292969
159,159,26.470341627680256,5.031564235687256
160,160,24.213298414671076,5.151264667510986
161,161,22.925365584645682,5.1044087409973145
162,162,22.809956896891283,4.287561893463135
163,163,24.008081202597264,4.761203289031982
164,164,25.60982640399908,5.32251501083374
165,165,27.243334599457864,4.723657608032227
166,166,28.38279802359731,5.230871677398682
167,167,28.15327440931439,4.771040439605713
