sample_idx,pos_idx,pd_distance_candidateUV_expanded672,mt_distance_candidateUV_expanded672
129,129,32.181831583893384,6.416697978973389
130,130,32.34221900277262,5.412082672119141
131,131,34.888119612114316,7.2776384353637695
132,132,36.34167324480528,8.431888580322266
133,133,36.850505632832245,6.936621189117432
134,134,34.40913447356217,7.357652187347412
135,135,31.974215446559448,7.463048458099365
136,136,29.49735462197274,6.461745262145996
137,137,28.121299142937346,4.965421199798584
138,138,27.198262108315184,4.696872711181641
139,139,26.27373330740436,4.787646293640137
140,140,28.022602399034678,5.22293758392334
141,141,32.37156277051402,6.112510681152344
142,142,35.740440583165125,6.657445430755615
143,143,34.263952036684316,5.990081310272217
144,144,34.085882669054264,6.3383684158325195
145,145,33.447322020275024,6.012951850891113
146,146,32.631961959495065,6.529153823852539
147,147,30.743326481644765,6.653848171234131
148,148,29.617962223632677,5.628264904022217
149,149,28.9655297644828,6.250897407531738
150,150,27.11698267679081,6.416074752807617
151,151,26.566784738275107,6.07993221282959
152,152,26.45776564597789,6.368716716766357
153,153,25.976818287966115,6.684411525726318
154,154,25.275820469362706,6.45353364944458
155,155,25.737838130159634,6.529455184936523
156,156,26.418004770154585,5.964658737182617
157,157,28.036902288819544,5.786848068237305
158,158,30.173214305386036,6.0244293212890625
159,159,27.292770131366442,4.915822982788086
160,160,24.891383166941168,5.234604835510254
161,161,23.735661266290165,4.447856903076172
162,162,23.271624622279358,4.498733997344971
163,163,24.77559748139803,4.996791839599609
164,164,26.49159904241884,5.507266998291016
165,165,28.220617409767083,5.544563293457031
166,166,29.526376356874103,5.930952548980713
167,167,29.34042195537196,5.738412380218506
