sample_idx,training_size,delta_c_minus_uv_ssim_speed,delta_c_minus_uv_ssim_uv_mean,c_speed_ssim_gt_uv,c_uv_ssim_gt_uv
149,168,0.0013677468586567043,-0.002410176930097596,True,False
150,168,0.0056489206503409495,0.0021620760906823078,True,True
151,168,0.007417587021777083,0.0015335659316424444,True,True
152,168,0.0077107316554957395,-0.00016034910341145014,True,False
153,168,0.004320157770141608,-0.0003886840318338969,True,False
154,168,0.00889259863146763,-0.00021651990740934046,True,False
155,168,-0.0020884011904998,-0.004188478507087812,False,False
156,168,-0.0027570752523938813,-0.003522755230465746,False,False
157,168,-0.0032200331594620657,-0.0038754372606566445,False,False
158,168,-0.004236153543341281,-0.004909827172809966,False,False
159,168,0.00019154578378655085,-0.005298769157025651,True,False
160,168,-3.703696036205795e-05,-0.004982866006000286,False,False
161,168,0.005540608526676483,-0.0030511358041896974,True,False
162,168,-0.0008846312259160882,-0.0042839026066421315,False,False
163,168,0.000685182176608512,-0.005202530399127436,True,False
164,168,-0.004286727536195412,-0.005755318433863232,False,False
165,168,-0.003019516283980672,-0.00571120598906949,False,False
166,168,0.0036683223107276675,-0.0034922539836064193,True,False
167,168,0.009378143198763511,-0.004198300202949645,True,False
0,672,-0.00039662693015085626,-0.004963708184211102,False,False
1,672,0.0031470910141412345,-0.003153785829007827,True,False
2,672,-0.001713132312734178,-0.00450445700738078,False,False
3,672,-0.0022064632900449244,-0.0046675144786810785,False,False
4,672,-0.002404805702543089,-0.0040628488484834024,False,False
5,672,-0.0013689053168489673,-0.004402684983183303,False,False
6,672,-0.0013133996884041599,-0.004443164925931442,False,False
7,672,-0.0010025675534023337,-0.0040337566401003055,False,False
8,672,-0.0009079043599687919,-0.004109443141915525,False,False
9,672,-0.0016084359392374292,-0.004694994403373398,False,False
10,672,-0.001529308693004272,-0.005027108447790196,False,False
11,672,-0.000998684117967108,-0.005590435407677563,False,False
12,672,-0.00032059248364757487,-0.0059595701127797,False,False
13,672,-0.0006602253340989295,-0.0049588659878923025,False,False
14,672,0.0002437858768645773,-0.007107000375436878,True,False
15,672,-0.00014790730614999692,-0.007457808440403335,False,False
16,672,-0.001077265480373013,-0.007402570139290243,False,False
17,672,-0.0008302883050085308,-0.005324823106974685,False,False
18,672,0.0010670541260187072,-0.006402521102249592,True,False
19,672,0.004690220790783517,-0.0047108440762919646,True,False
20,672,0.0071578434970929194,-0.0038916570007030415,True,False
21,672,0.0034891896369170228,-0.0059422469508909614,True,False
22,672,0.002438266924357557,-0.004616730286070014,True,False
23,672,0.001453951984869084,-0.004261384645372068,True,False
24,672,6.769499910874721e-05,-0.0046149841407906456,True,False
25,672,-0.00017788821894737517,-0.004169424091405971,False,False
26,672,0.012608131529082467,-0.00023854154815272643,True,False
27,672,0.007873653254502733,-0.004868665372813719,True,False
28,672,-0.0032943720232144758,-0.005135994101625796,False,False
29,672,-0.004430231513330107,-0.005344026677531977,False,False
30,672,-0.004333746016167317,-0.00468316320539186,False,False
31,672,-0.0035517572327457003,-0.0037678852209903635,False,False
32,672,-0.0024427917696677737,-0.0034024952153441923,False,False
33,672,-0.0013869369698878975,-0.0026818717424264005,False,False
34,672,-0.001262194424083929,-0.0022570166534126024,False,False
35,672,-0.0008931010523095528,-0.002164582790965097,False,False
36,672,-0.0003546342490576837,-0.00185024523806121,False,False
37,672,-0.001093033121789877,-0.0026626088455656838,False,False
38,672,-0.0009815175526032283,-0.002674352415158898,False,False
39,672,-0.0015081105486695057,-0.003115043448287391,False,False
40,672,-0.001261154838862244,-0.002823617357659902,False,False
41,672,-0.001915773905933893,-0.003951292496447434,False,False
42,672,-0.0023430142065848925,-0.004062821256789806,False,False
43,672,-0.002907180095054307,-0.004285186114063144,False,False
44,672,-0.003339246436002141,-0.005103782753586028,False,False
45,672,-0.0032054998514554622,-0.005773129932075238,False,False
46,672,-0.0025897919042972006,-0.0052102641384812465,False,False
47,672,-0.0032542530639402267,-0.00544424750695649,False,False
48,672,-0.0033015765621887683,-0.00566052940723305,False,False
49,672,-0.0034928175812973805,-0.005685369561636899,False,False
50,672,-0.003910891166658215,-0.00514317819374277,False,False
51,672,-0.004181196288177036,-0.005848378881274652,False,False
52,672,-0.003359540583880105,-0.005722940366873708,False,False
53,672,-0.003370039417789683,-0.006303551984940814,False,False
54,672,-0.003123805651970568,-0.006089587788490336,False,False
55,672,-0.00285988069018861,-0.006430240255469677,False,False
56,672,-0.002852210657400822,-0.006239431064498202,False,False
57,672,-0.0023314659556621375,-0.005829743815180866,False,False
58,672,-0.0017035873452125871,-0.005417848328190589,False,False
59,672,-0.0014489565900003276,-0.0059257924364795045,False,False
60,672,-0.0013060508741009613,-0.005389861975363175,False,False
61,672,-0.0008255331697022417,-0.00517145039848943,False,False
62,672,0.0004318827388257729,-0.004016353529469496,True,False
63,672,0.00029263313954930315,-0.004637650867898135,True,False
64,672,-0.0015878970768780087,-0.005462160347984191,False,False
65,672,-0.001929584503197912,-0.005092065672152923,False,False
66,672,-0.002475152800019087,-0.005582982829352212,False,False
67,672,-0.0022411529625154802,-0.00535423909751509,False,False
68,672,-0.0005228009414562917,-0.0005260665323184588,False,False
69,672,0.0007441985516721816,-0.0038523244705959137,True,False
70,672,0.002489047984333026,-0.0020822648737635063,True,False
71,672,0.0027602008904017428,-0.002483008965305289,True,False
72,672,0.002586170674521493,-0.0023210902130849087,True,False
73,672,0.002237655327442689,-0.0030214672091019024,True,False
74,672,0.0021618730499111116,-0.0034418115542735883,True,False
75,672,0.002109738182162313,-0.003888908926288237,True,False
76,672,0.0019047098353696112,-0.004135479521916174,True,False
77,672,0.0016161165136566735,-0.004630272987562356,True,False
78,672,0.001760089059441472,-0.004594857957285203,True,False
79,672,0.0012687590452584718,-0.0044969773411487335,True,False
80,672,0.0010584123878910612,-0.004787274884957116,True,False
81,672,0.0011233780268363747,-0.003918879935649988,True,False
82,672,0.0007812312619949191,-0.004952016485863964,True,False
83,672,0.001068229171205748,-0.0047070185083052385,True,False
84,672,0.0008848378171396609,-0.0047448642245276895,True,False
85,672,0.0014341745439060416,-0.0028985667026425466,True,False
86,672,0.0007585907991316532,-0.004228515563402313,True,False
87,672,0.0005330679369750513,-0.004718053063711425,True,False
88,672,-0.0017362784914174423,-0.005322157483037437,False,False
89,672,-0.0029612719952128996,-0.005367098813123583,False,False
90,672,-0.004096907696242602,-0.006380674414439791,False,False
91,672,-0.004517467057922331,0.0013794591141934598,False,True
92,672,-0.00352030202009479,-0.005016904052453808,False,False
93,672,-0.0014070526966671881,-0.0051254228302299865,False,False
