sample_idx,method,training_size,family,delta_ssim_speed_vs_cnn,delta_ssim_uv_mean_vs_cnn,speed_ssim_gt_cnn,uv_ssim_gt_cnn
112,candidateC_2688,2688,candidateC,0.07433416176678886,0.0759075318351553,True,True
113,candidateC_2688,2688,candidateC,0.0774316240003885,0.07622854419333314,True,True
114,candidateC_2688,2688,candidateC,0.07898997396663332,0.08121698808819333,True,True
115,candidateC_2688,2688,candidateC,0.06821988158409631,0.08019799052595544,True,True
116,candidateC_2688,2688,candidateC,0.08054595380661489,0.09115588419949461,True,True
117,candidateC_2688,2688,candidateC,0.07825380041969765,0.09968692837329496,True,True
118,candidateC_2688,2688,candidateC,0.07271296931209925,0.10367587273513712,True,True
119,candidateC_2688,2688,candidateC,0.0735350286474975,0.09864968439229016,True,True
120,candidateC_2688,2688,candidateC,0.08319119229544769,0.10618112472295738,True,True
121,candidateC_2688,2688,candidateC,0.08121160105110092,0.09860262225809802,True,True
122,candidateC_2688,2688,candidateC,0.08726062316217698,0.102088795889821,True,True
123,candidateC_2688,2688,candidateC,0.08480916505283598,0.09568847705548778,True,True
124,candidateC_2688,2688,candidateC,0.08876565330048725,0.0869810448392816,True,True
125,candidateC_2688,2688,candidateC,0.07680651359329682,0.08804706075218471,True,True
126,candidateC_2688,2688,candidateC,0.0873330102861074,0.08585335681173634,True,True
127,candidateC_2688,2688,candidateC,0.08989675898937488,0.0789146831816796,True,True
128,candidateC_2688,2688,candidateC,0.08303152562037741,0.08390250860964865,True,True
129,candidateC_2688,2688,candidateC,0.08769213344843163,0.08471774942650967,True,True
130,candidateC_2688,2688,candidateC,0.10151955601809581,0.08030054194581648,True,True
131,candidateC_2688,2688,candidateC,0.09526050038227973,0.07946325511762609,True,True
132,candidateC_2688,2688,candidateC,0.09907044195785375,0.08431750846931552,True,True
133,candidateC_2688,2688,candidateC,0.10204586400736926,0.08443423574140696,True,True
134,candidateC_2688,2688,candidateC,0.0843076232651564,0.07512552345115076,True,True
135,candidateC_2688,2688,candidateC,0.08728227602469996,0.07537936895670039,True,True
136,candidateC_2688,2688,candidateC,0.10190726718174281,0.0873412677149592,True,True
137,candidateC_2688,2688,candidateC,0.09812188550358225,0.08877504422018578,True,True
138,candidateC_2688,2688,candidateC,0.09478313486369139,0.0944458222495107,True,True
139,candidateC_2688,2688,candidateC,0.0947487468072945,0.09748866292350655,True,True
140,candidateC_2688,2688,candidateC,0.08947639573669253,0.09674013681573057,True,True
141,candidateC_2688,2688,candidateC,0.0930547385074979,0.10488391028902799,True,True
142,candidateC_2688,2688,candidateC,0.08788675356929254,0.10842859588803633,True,True
143,candidateC_2688,2688,candidateC,0.0816990844289539,0.10557360737279575,True,True
144,candidateC_2688,2688,candidateC,0.07773352310302473,0.10182074620720205,True,True
145,candidateC_2688,2688,candidateC,0.085039850659823,0.09918570840100338,True,True
146,candidateC_2688,2688,candidateC,0.0829816989631641,0.09900587022803886,True,True
147,candidateC_2688,2688,candidateC,0.08809723177146112,0.10171962184540706,True,True
148,candidateC_2688,2688,candidateC,0.09117034546701608,0.09809045608750966,True,True
149,candidateC_2688,2688,candidateC,0.09190620495043622,0.09907496068098198,True,True
150,candidateC_2688,2688,candidateC,0.08107820570205704,0.08631523198004087,True,True
151,candidateC_2688,2688,candidateC,0.08503061550038071,0.09014644958277906,True,True
152,candidateC_2688,2688,candidateC,0.07350518529255057,0.09291962765606754,True,True
153,candidateC_2688,2688,candidateC,0.08029305615118665,0.08958766548363717,True,True
154,candidateC_2688,2688,candidateC,0.058232394597592885,0.0724321359075133,True,True
155,candidateC_2688,2688,candidateC,0.08704517654699084,0.0787921344394863,True,True
156,candidateC_2688,2688,candidateC,0.07325004946447988,0.07143446705889223,True,True
157,candidateC_2688,2688,candidateC,0.08005039929256019,0.0682567535502564,True,True
158,candidateC_2688,2688,candidateC,0.07521248128334501,0.06782689156132737,True,True
