sample_idx,method,family,training_size,ssim_u,ssim_v,ssim_uv_mean,ssim_speed
126,cnn,baseline,baseline,0.7632853004428107,0.7645318808739581,0.7639085906583845,0.7247003569825754
127,cnn,baseline,baseline,0.7881820381207568,0.7787721379017091,0.783477088011233,0.7263841997354553
128,cnn,baseline,baseline,0.7710894962730658,0.7825605842280462,0.776825040250556,0.7496934803132498
129,cnn,baseline,baseline,0.7629533536020694,0.7975565196215254,0.7802549366117975,0.737828526164999
130,cnn,baseline,baseline,0.7814902080165063,0.7939421710298699,0.7877161895231881,0.7198772383193105
131,cnn,baseline,baseline,0.7806647944785151,0.7967730896336865,0.7887189420561008,0.7154136731270808
132,cnn,baseline,baseline,0.7751759387196474,0.7835117040442598,0.7793438213819537,0.7045636199556212
133,cnn,baseline,baseline,0.7688238576749685,0.7909263487577349,0.7798751032163518,0.7043103870950062
134,cnn,baseline,baseline,0.7941304970694422,0.8046306516495039,0.7993805743594731,0.7389853042008018
135,cnn,baseline,baseline,0.7948557453455515,0.8117774885081938,0.8033166169268726,0.7422972139518027
136,cnn,baseline,baseline,0.7723860200801046,0.8025874382677547,0.7874867291739296,0.7241738996985783
137,cnn,baseline,baseline,0.775532775749403,0.799250765421696,0.7873917705855495,0.7351064262743786
138,cnn,baseline,baseline,0.774240859830709,0.784501753899804,0.7793713068652566,0.7390150637384008
139,cnn,baseline,baseline,0.7697946594435031,0.7743482260039264,0.7720714427237148,0.7345335074897213
140,cnn,baseline,baseline,0.7698659794038945,0.761480210054123,0.7656730947290087,0.7302568277197992
141,cnn,baseline,baseline,0.7498738310559855,0.7224498449813526,0.736161838018669,0.6960397475329267
142,cnn,baseline,baseline,0.7120802102389409,0.7205109259811185,0.7162955681100297,0.6736953906589047
143,cnn,baseline,baseline,0.7287821055407355,0.712601134256763,0.7206916198987492,0.6992212349010573
144,cnn,baseline,baseline,0.738492523148025,0.7067576611032915,0.7226250921256583,0.70412226487593
145,cnn,baseline,baseline,0.7309253891337011,0.7148547968067984,0.7228900929702498,0.6987455359494039
146,cnn,baseline,baseline,0.747572703456755,0.7007431242016657,0.7241579138292104,0.7058718758579288
147,cnn,baseline,baseline,0.7429635287190731,0.6963243055897832,0.7196439171544282,0.7007377896484354
148,cnn,baseline,baseline,0.7306970684032944,0.7049180242089995,0.717807546306147,0.6907534338948544
149,cnn,baseline,baseline,0.7296014490670848,0.7055348756074226,0.7175681623372536,0.6816786097665676
150,cnn,baseline,baseline,0.7524600949172625,0.7314820585253354,0.741971076721299,0.7033801771962426
151,cnn,baseline,baseline,0.7606301449489132,0.7350646729823155,0.7478474089656144,0.7126640990744104
152,cnn,baseline,baseline,0.772515968887288,0.7394137394303133,0.7559648541588007,0.7370714592807796
153,cnn,baseline,baseline,0.7960301209373334,0.7566314691285292,0.7763307950329312,0.7461943019377684
154,cnn,baseline,baseline,0.8327865141546594,0.7782022255981983,0.8054943698764289,0.7757722038289014
155,cnn,baseline,baseline,0.8338891307227788,0.7896367885256387,0.8117629596242087,0.7603718673213282
156,cnn,baseline,baseline,0.845330775645015,0.8082795055190206,0.8268051405820178,0.7846349573833308
157,cnn,baseline,baseline,0.8400961942248044,0.8268445540961822,0.8334703741604933,0.7732334863739729
158,cnn,baseline,baseline,0.8386160560327518,0.848098832556698,0.8433574442947249,0.7820967256192402
159,cnn,baseline,baseline,0.8595843561983019,0.8718732671173927,0.8657288116578472,0.825238683644084
160,cnn,baseline,baseline,0.873212674608412,0.880863880032133,0.8770382773202725,0.851644680492516
161,cnn,baseline,baseline,0.8691207240350592,0.8660893858037312,0.8676050549193952,0.868469672398966
162,cnn,baseline,baseline,0.8620426760848898,0.8489718039320766,0.8555072400084832,0.8586330744533134
163,cnn,baseline,baseline,0.854946543567982,0.8632320497371659,0.859089296652574,0.8673800714879869
164,cnn,baseline,baseline,0.8468741756334561,0.845592093930993,0.8462331347822245,0.8385353249391989
165,cnn,baseline,baseline,0.834339232968615,0.8285689498535221,0.8314540914110686,0.8266539798737333
166,cnn,baseline,baseline,0.8334587616580038,0.8308188426682085,0.8321388021631062,0.8395961933334238
167,cnn,baseline,baseline,0.8258835623802196,0.8299193323159912,0.8279014473481054,0.8382488800049053
0,gan,baseline,baseline,0.7495489540890957,0.7743074319438984,0.7619281930164971,0.754824360659849
1,gan,baseline,baseline,0.721043289800692,0.782330167859039,0.7516867288298654,0.7691994293890417
2,gan,baseline,baseline,0.7242743569022512,0.7598006552974481,0.7420375060998496,0.7479181981368149
3,gan,baseline,baseline,0.7240524654921348,0.7754492100774537,0.7497508377847942,0.7538151171361542
4,gan,baseline,baseline,0.756032384509861,0.7635529078337195,0.7597926461717903,0.7298398939315699
5,gan,baseline,baseline,0.7638486155385255,0.7585694223927582,0.7612090189656417,0.7141055950831554
6,gan,baseline,baseline,0.75575636335727,0.7612286255646173,0.7584924944609437,0.7068980901088221
7,gan,baseline,baseline,0.714471343266418,0.7564254101260797,0.7354483766962489,0.7003560519896598
8,gan,baseline,baseline,0.7321400747496759,0.7682840357603794,0.7502120552550277,0.6972593389525155
9,gan,baseline,baseline,0.712949642934442,0.7530303468889535,0.7329899949116978,0.6717964881869627
10,gan,baseline,baseline,0.7446956954609391,0.7519694772785845,0.7483325863697619,0.6756051211290214
11,gan,baseline,baseline,0.7216211567540344,0.7597433438569385,0.7406822503054864,0.6594192997453914
12,gan,baseline,baseline,0.7193969066834266,0.7411058902737471,0.7302513984785868,0.6469321811804223
13,gan,baseline,baseline,0.717921401082433,0.7205857432152718,0.7192535721488524,0.640697322259472
14,gan,baseline,baseline,0.6922075837062217,0.7193928630982817,0.7058002234022517,0.6231703180417316
15,gan,baseline,baseline,0.6768375941183585,0.7213277475265084,0.6990826708224335,0.6113607126314043
16,gan,baseline,baseline,0.7100051480626838,0.6862965422008955,0.6981508451317897,0.6204858038620968
17,gan,baseline,baseline,0.7300641299629022,0.7041663073776138,0.717115218670258,0.6437627791545756
18,gan,baseline,baseline,0.7342848185626726,0.7505539715999529,0.7424193950813127,0.7002615121943867
19,gan,baseline,baseline,0.7420216632798327,0.7827956651374044,0.7624086642086185,0.7119193830973893
20,gan,baseline,baseline,0.714517888256109,0.7466166698792874,0.7305672790676982,0.6477491162304868
21,gan,baseline,baseline,0.6801766830325934,0.7347136338201231,0.7074451584263582,0.616180513714597
22,gan,baseline,baseline,0.6685734764057121,0.7315081992481238,0.700040837826918,0.6299197135826609
23,gan,baseline,baseline,0.6771173214072871,0.759190744862468,0.7181540331348775,0.6605060715906709
24,gan,baseline,baseline,0.6882142092680209,0.7797199439719913,0.7339670766200062,0.6945997107708146
25,gan,baseline,baseline,0.6776104180886413,0.7928156839303887,0.735213051009515,0.6898450561463316
26,gan,baseline,baseline,0.6967631891509273,0.7778244571493619,0.7372938231501446,0.6873516084097011
27,gan,baseline,baseline,0.7218412800636669,0.7884217534291006,0.7551315167463837,0.7314552316599952
28,gan,baseline,baseline,0.7075049846809646,0.7890789745340667,0.7482919796075156,0.7041135746389374
29,gan,baseline,baseline,0.7129951734490675,0.7903372199181963,0.7516661966836319,0.7138457933820591
30,gan,baseline,baseline,0.7421688446031366,0.7848822949531875,0.763525569778162,0.7354369411800756
31,gan,baseline,baseline,0.7526255389829482,0.7999755909026195,0.7763005649427839,0.7511041179054705
32,gan,baseline,baseline,0.7487324824408637,0.8072039060898366,0.7779681942653501,0.7643730199149075
33,gan,baseline,baseline,0.759913970479195,0.8084624622302801,0.7841882163547376,0.7805302757284186
34,gan,baseline,baseline,0.7785454210268611,0.7961143090696285,0.7873298650482448,0.7811557422989832
35,gan,baseline,baseline,0.751690119692164,0.7760004105872772,0.7638452651397206,0.7590162964816837
36,gan,baseline,baseline,0.7295048054907429,0.7548186612850767,0.7421617333879098,0.724793731869943
37,gan,baseline,baseline,0.7747332419867471,0.7498712664666792,0.7623022542267132,0.7322673224056373
38,gan,baseline,baseline,0.7886701526340318,0.7598956863890179,0.7742829195115248,0.7515122391401574
39,gan,baseline,baseline,0.7912597672459188,0.7619511631459743,0.7766054651959466,0.7586912017008116
40,gan,baseline,baseline,0.7714111402533153,0.7674713982790152,0.7694412692661652,0.779056911439064
41,gan,baseline,baseline,0.7730333525751573,0.7156394327065733,0.7443363926408653,0.7393929511882298
42,gan,baseline,baseline,0.794911223648313,0.6911751495757414,0.7430431866120273,0.773023721066633
