method,sample_idx,psnr,ssim,speed_mae,speed_rmse,wpd_bias,wpd_mae,wpd_rmse,wpd_w1,psd_log_l2,psd_slope_delta,grad_mae,grad_w1,grad_kurtosis_delta,exceed_err_5ms,exceed_err_10ms,exceed_err_15ms,exceed_err_20ms,exceed_err_p90,exceed_err_p95,exceed_err_p99,exceed_frac_abs_delta_t5,exceed_frac_abs_delta_t10,exceed_frac_abs_delta_t15,exceed_frac_abs_delta_p90,exceed_frac_abs_delta_p95,exceed_frac_abs_delta_p99
gan,41,32.55576131342773,0.716241608555978,0.6708419908348914,1.0624092265309197,46.31270358363985,130.05800293042208,260.6746669233197,46.36593352792828,0.34080425070038917,0.22655362635046483,0.28274423716179187,0.057072922359639844,8.021384807382614,0.0041200000000000125,0.026888000000000023,0.007559999999999983,0.0004559999999999998,0.004732,0.005375999999999999,0.003847999999999999,0.00412,0.026888,0.00756,0.004752,0.005428,0.003872
bicubic,41,35.90552186572856,0.8245925996414171,0.40349433163462345,0.7685563866748976,-14.19712505928491,71.35687518027706,170.9331143395676,21.203087583184065,0.9489165074567415,1.0763402828481574,0.2563125741515897,0.22560203857050365,-2.9463326376507553,0.0033080000000000886,-0.0045319999999999805,-0.005044000000000007,-0.00033200000000000005,-0.0035680000000000017,-0.0027560000000000015,-0.0012560000000000002,0.003308,0.004532,0.005044,0.003548,0.002704,0.001232
cnn,42,35.781063957990334,0.8294024976377539,0.4412472236371936,0.7493587775043801,-1.0714530839913794,76.92436291150067,161.0242094837297,9.07916905953217,0.5646793570394077,0.4620298944135359,0.21876934100681852,0.1485528370205517,-1.44214572802532,0.0012480000000000269,0.0025319999999999787,-0.0014320000000000027,-0.0004680000000000001,-0.0007000000000000062,-0.0025200000000000014,0.00030400000000000045,0.001248,0.002532,0.001432,0.000644,0.002468,0.000316
gan,42,32.9842981314092,0.7241858780199465,0.6316097245151039,0.9926187861110544,41.527398580268624,117.50001001077142,238.9779420956012,41.58118509233659,0.29154739811843855,0.22259190221627678,0.26497470675736257,0.0451703579962361,5.007758020398235,0.005620000000000069,0.029976000000000003,0.003235999999999989,0.002012,0.004251999999999992,0.0055639999999999995,0.002043999999999999,0.00562,0.029976,0.003236,0.004308,0.005616,0.002056
bicubic,42,36.565628180536734,0.8363258340094502,0.37257764369971036,0.6988549823115383,-12.773764720196047,62.951529675712486,152.74211249559715,18.606039522000472,0.8296165293085486,1.0016993013946704,0.23139936439140035,0.2028069573431462,-5.169038678485524,0.0035640000000000116,-0.005452000000000012,-0.00408,-0.0005080000000000002,-0.0038600000000000023,-0.0026480000000000045,-0.0015399999999999997,0.003564,0.005452,0.00408,0.003804,0.002596,0.001528
cnn,43,35.86371418802151,0.8278639726290462,0.424774521337848,0.7206870889272586,-2.284252249779504,69.4275077873169,145.69436036807528,10.498082382288247,0.556193594105637,0.4605237528159334,0.2140997094489829,0.1499499434660929,-1.7313910715792495,0.0037280000000000646,-0.0031240000000000157,-0.0006239999999999996,0.0005839999999999999,8.799999999999086e-05,-0.0018280000000000032,-0.0010480000000000003,0.003728,0.003124,0.000624,0.000164,0.001796,0.001048
gan,43,32.849247881515296,0.7129525936110558,0.6243331066670759,0.9688248440029509,39.340737514432064,109.91721536277039,224.35507078864325,39.412395302178226,0.27941824033626206,0.1528152349965315,0.2649037629615776,0.04342060965018124,0.8045185878489036,0.008660000000000001,0.026544000000000012,0.000904000000000002,0.001972,0.0004639999999999922,0.003695999999999998,0.0031800000000000005,0.00866,0.026544,0.000904,0.00054,0.003728,0.00318
bicubic,43,36.65718130263744,0.8369391803558516,0.35802466434144004,0.6714639268247121,-12.23945923368831,58.669899470042765,146.13112947639775,17.31068790294845,0.8013666325897507,0.9678559105252162,0.22351622644662866,0.19606847756920978,-6.422646254626848,0.0041160000000000085,-0.005628000000000022,-0.004559999999999995,-0.0002040000000000002,-0.004612000000000005,-0.003700000000000002,-0.0017759999999999998,0.004116,0.005628,0.00456,0.004536,0.003668,0.001776
cnn,44,35.000224235455725,0.8266627415396096,0.4330523693637752,0.761913185088979,-4.017477666857873,65.07062860999993,145.97783526041766,7.599978372532202,0.5948179292133123,0.3973384553122279,0.21579170075427156,0.14929465195373892,-4.5073134588778885,0.0045600000000000085,-0.005556000000000005,3.200000000000425e-05,-0.00029199999999999994,0.0014119999999999966,-0.00038799999999999946,-0.0008719999999999995,0.00456,0.005556,3.2e-05,0.001456,0.000388,0.000872
gan,44,32.24624416721567,0.7101959866752019,0.6361054482912035,1.0087798003117263,36.73787138759796,105.13363339750988,246.9026638374926,37.36007674827656,0.2906375481699683,0.10855591625032224,0.26484284145341397,0.04781895929143285,5.480458437510535,0.010171999999999959,0.01649199999999995,0.007456000000000004,0.0017519999999999999,0.003023999999999999,0.009295999999999999,0.003256,0.010172,0.016492,0.007456,0.003068,0.009296,0.003256
bicubic,44,35.862623003418165,0.8342742757188273,0.3653287230111719,0.710332193602033,-13.32529370588458,54.317255994573216,145.1996497911325,17.539025218987085,0.8679676869547767,0.9618205670838051,0.22759169261061146,0.2004643625859089,-6.6342651069437935,0.006727999999999956,-0.010196000000000038,-0.0034319999999999976,-0.0009400000000000001,-0.004292000000000004,-0.002576000000000002,-0.001712,0.006728,0.010196,0.003432,0.004248,0.002576,0.001712
cnn,45,33.717983670503976,0.8108338044257899,0.49832058418217035,0.8989932841219782,-4.681481025269311,67.5659665328555,165.6316078472601,8.763583205500963,0.7481729183120008,0.1428117642118134,0.2534807694652109,0.17372353199388538,-2.005890035686818,0.006016000000000021,-0.006452000000000013,-0.0015879999999999991,0.000328,-0.002124000000000001,-0.0013680000000000012,-0.0013640000000000006,0.006016,0.006452,0.001588,0.002024,0.001336,0.00134
gan,45,31.293468847105878,0.6946385178604114,0.7160615009083728,1.1553867733114291,43.03263312886491,111.28782283867801,269.0253445504265,43.17285474281843,0.32512278836304426,-0.09166644526481482,0.3134983589962997,0.053913321369812126,0.7188786322973328,0.019823999999999953,0.017087999999999992,0.008784,0.0007439999999999999,0.006815999999999989,0.008708,0.005640000000000001,0.019824,0.017088,0.008784,0.006916,0.00874,0.005664
bicubic,45,34.52734681891182,0.8173699223069477,0.4330076304762245,0.8404260425834075,-16.97654698303659,57.63619077445273,159.13897025163635,20.596093173131994,1.0968495153093856,0.8400871426450194,0.27278262001122366,0.24347263494557056,-6.398580296047147,0.012395999999999963,-0.011239999999999972,-0.0033959999999999962,-0.000388,-0.005028000000000005,-0.0034400000000000056,-0.0017920000000000002,0.012396,0.01124,0.003396,0.004928,0.003408,0.001768
cnn,46,32.82306749424016,0.7789322423645223,0.5689438709438102,1.0023484441465984,-6.466287432434123,77.08168715363783,184.26061814737824,11.562103483887697,0.8529003212896201,0.04610906985535923,0.2879160912695809,0.19837944771221713,-0.4028334779499936,0.008564000000000016,-0.007084000000000035,-0.0016159999999999994,5.6000000000000006e-05,0.0008239999999999914,-0.001572000000000004,-0.0017040000000000007,0.008564,0.007084,0.001616,0.000868,0.001572,0.001676
gan,46,30.54058406520525,0.659644435507861,0.79084015250247,1.2595778978407177,49.95517463251411,125.82219252230574,283.0497225009803,49.983037660409536,0.3768780396779007,-0.1454371517118025,0.3494768754071843,0.0702280235912915,0.7344249064782602,0.017255999999999938,0.02227199999999996,0.005875999999999999,0.00074,0.013379999999999989,0.008464,0.005507999999999999,0.017256,0.022272,0.005876,0.013424,0.008464,0.005536
bicubic,46,33.805466996627985,0.7941023226858411,0.4865134393355242,0.9131988996331352,-19.604939877817017,65.90537728403065,174.59610732586614,24.00832629794951,1.2755583288185646,0.8463500860642528,0.30949957312148146,0.27864109150824945,-6.39109164577448,0.012199999999999989,-0.01777200000000001,-0.0033159999999999995,-0.000452,-0.005376000000000006,-0.0036400000000000043,-0.001752,0.0122,0.017772,0.003316,0.005332,0.00364,0.001724
cnn,47,32.73629912923382,0.7859137444124031,0.5676705639200316,1.0041373841634647,-7.405205556780978,78.2465890414198,185.98454297755595,11.814370829623863,0.8624172553913607,-0.03032197955598681,0.28503420802513757,0.19147806977783607,-1.7910792654135719,0.006352000000000024,-0.004080000000000028,-0.0018839999999999968,-1.200000000000002e-05,0.0002839999999999926,-0.0026760000000000048,-0.0013360000000000004,0.006352,0.00408,0.001884,0.000288,0.002668,0.00132
gan,47,30.416833211650463,0.665075486816478,0.7948086726225099,1.2706008663439028,51.62963223194107,126.50628249108428,302.7764823147525,51.67561320033759,0.4086553077423917,-0.1880971677489498,0.34747573458150804,0.07097197963236711,-1.5650957995250288,0.013859999999999983,0.01627999999999996,0.005848000000000006,0.00066,0.020011999999999988,0.007639999999999994,0.007908,0.01386,0.01628,0.005848,0.020016,0.007648,0.007924
bicubic,47,33.76699004928187,0.8021381146490935,0.4815413184870438,0.9119129512944281,-19.618453275067733,66.43176628140353,175.35114085456075,24.378104312264725,1.3548265685725158,0.8769033806918123,0.303077989095942,0.2715692438438707,-6.402795951131605,0.01269600000000004,-0.01516400000000001,-0.0031160000000000007,-0.000428,-0.006556000000000006,-0.004364,-0.0022760000000000002,0.012696,0.015164,0.003116,0.006552,0.004356,0.00226
cnn,48,32.30837445145338,0.7871166700606632,0.5640706925170906,0.99857047384839,-7.462672310295509,74.88132741115373,177.08691209576963,12.187428112869153,0.9379866672664668,-0.09875316018560776,0.2852069852276763,0.19445863718828907,1.3321148226726116,0.006131999999999915,-0.005907999999999969,-0.0027959999999999964,7.999999999999999e-05,-0.0018800000000000067,-0.0032960000000000003,-0.001424,0.006132,0.005908,0.002796,0.0017,0.003272,0.001408
gan,48,30.026878695732123,0.6773265358141329,0.7844280727503872,1.2690674521713161,49.57997345766591,120.09687337217309,293.38672344569903,49.743015962529284,0.41865301583262604,-0.21782215372409253,0.3413861118039205,0.06484756317182425,0.8301367689071526,0.013863999999999987,0.01794000000000001,0.005431999999999999,0.000684,0.01981999999999999,0.009027999999999994,0.007076000000000001,0.013864,0.01794,0.005432,0.02,0.009052,0.007092
bicubic,48,33.36901325752316,0.8034157497750377,0.4751408941823499,0.9034140292930061,-18.8702419587214,63.40441196275953,167.91993248338525,23.392559474804905,1.4450480065416411,0.8236408005183709,0.3011405534633494,0.2693465518358121,-5.134064587482857,0.012683999999999918,-0.015251999999999988,-0.0029439999999999987,-0.000308,-0.008404000000000009,-0.004468,-0.002476,0.012684,0.015252,0.002944,0.008224,0.004444,0.00246
cnn,49,32.31195072001539,0.7860962141647602,0.5535153689421795,0.9790755620390417,-8.538567685687047,68.22731565077753,161.95950385867872,11.016443023290117,0.9819415546110938,-0.21817617103014975,0.27982790985377354,0.19076736133649924,-0.030477084832476464,0.006384000000000056,-0.00868399999999997,-0.0021039999999999982,-3.9999999999999996e-05,-0.002360000000000001,-0.003136,-0.0016880000000000003,0.006384,0.008684,0.002104,0.002232,0.003096,0.00168
gan,49,29.971253364739503,0.6720955992383972,0.7804065434694185,1.2536557340189523,44.468383792713006,112.68557218280351,264.3556250013152,44.55998205763355,0.43356266005628624,-0.28126241868388213,0.33613040316003145,0.06699370569945809,1.4088297116578694,0.01793200000000006,0.021384000000000014,0.005899999999999999,0.000428,0.026079999999999992,0.009547999999999994,0.007148,0.017932,0.021384,0.0059,0.026208,0.009588,0.007156
bicubic,49,33.33399643033602,0.8015014237824406,0.4676168122268936,0.8904015451158065,-18.145484179384322,58.98551039169194,157.47864857855998,21.619482246138713,1.5266811889289693,0.7694911774969984,0.29826583848028976,0.26731789554795016,-5.524134856266258,0.011120000000000019,-0.015847999999999973,-0.0026879999999999994,-0.000204,-0.01061200000000001,-0.00528,-0.00262,0.01112,0.015848,0.002688,0.010484,0.00524,0.002612
cnn,50,32.348350713394055,0.7839932296052042,0.5368628923184,0.946403003418229,-9.337017918180974,61.91574052905182,143.55693234004562,11.444199395383404,1.01753528056693,-0.15147629611572722,0.27282669211009075,0.1893917026894853,-1.5330945918739474,0.0027280000000000637,-0.013075999999999977,-0.002464,-7.999999999999998e-06,-0.0063600000000000045,-0.004056000000000004,-0.0032760000000000003,0.002728,0.013076,0.002464,0.006336,0.00404,0.003276
gan,50,29.865446163186434,0.660649314051651,0.7640882095564699,1.222421039327439,38.00727814511687,100.86270455426066,224.47330903313116,38.013873095939836,0.41610048859111975,-0.2843259186519931,0.33595610263377074,0.07294068427095303,-1.0413610279001588,0.016920000000000046,0.01646000000000003,0.00554,0.000264,0.028735999999999984,0.011011999999999994,0.006407999999999999,0.01692,0.01646,0.00554,0.02876,0.011028,0.006408
bicubic,50,33.33021065430763,0.8006758330198801,0.45739936483774435,0.8668393352337131,-16.772842586258324,54.293608262797235,143.32163846858467,18.97527479181037,1.563067351965271,0.7611488236129884,0.2904956896794039,0.25906643684191066,-7.244255248618453,0.008972000000000091,-0.017051999999999956,-0.0024720000000000002,-4.8e-05,-0.01165200000000001,-0.006748000000000004,-0.0026840000000000006,0.008972,0.017052,0.002472,0.011628,0.006732,0.002684
cnn,51,32.19523413297044,0.7788464645941089,0.523352534392209,0.9162407251706884,-9.277414510612342,56.64095687418661,129.37198977347322,9.81597343995117,1.0671648029979577,-0.14418818766443042,0.2696356821334209,0.1882159088254274,-2.5456097875058035,0.0020320000000000338,-0.007951999999999987,-0.0010160000000000002,-2.8e-05,-0.008656000000000011,-0.0061200000000000004,-0.0037160000000000006,0.002032,0.007952,0.001016,0.008624,0.006056,0.003708
gan,51,29.781031780439204,0.6506782118103573,0.7511736736332852,1.176565512091629,34.33161661754008,93.52331538008205,191.05567791666994,34.33172802337714,0.42685362640213287,-0.24429167378769767,0.3309820830646324,0.07176202034370155,-2.297212850168563,0.015472000000000041,0.01807600000000001,0.003144,9.999999999999999e-05,0.02763199999999999,0.010527999999999996,0.008207999999999998,0.015472,0.018076,0.003144,0.027668,0.010592,0.008216
bicubic,51,33.07179275192539,0.79354742358653,0.4517307436316142,0.8487879653788516,-15.655855634434676,50.93153050278823,130.73031955700122,17.402012262613354,1.5924432844455418,0.746238369571246,0.28879522948471986,0.2574350616622131,-8.116853221124252,0.007708000000000048,-0.016887999999999986,-0.0015040000000000001,-2.8e-05,-0.012392,-0.008004000000000004,-0.0030480000000000004,0.007708,0.016888,0.001504,0.012356,0.00794,0.00304
cnn,52,32.64266815515035,0.7879764782539388,0.5228705368924477,0.898732932549652,-9.84680170202166,54.55843073436296,121.19845207003257,9.988787090733178,1.0832698834118923,-0.08642632406596995,0.2717133677392516,0.1923297868901437,-3.0122450195435917,-0.0014600000000000168,-0.009464,9.999999999999994e-05,-3.2e-05,-0.008112000000000008,-0.009148000000000003,-0.005148,0.00146,0.009464,0.0001,0.007816,0.00906,0.005148
gan,52,29.99940393531049,0.6588126426005964,0.7772804068884173,1.1925226647072364,31.354064022273278,89.89900264807409,174.75479072675483,31.403488332725388,0.4257394015767494,-0.1823621655261376,0.3307599920295719,0.06914895813371134,-4.339246929222755,0.014843999999999968,0.028008000000000005,0.0018679999999999999,-1.1999999999999997e-05,0.026316000000000006,0.012295999999999994,0.010199999999999999,0.014844,0.028008,0.001868,0.026612,0.012384,0.0102
bicubic,52,33.40345503617185,0.7978712177794437,0.45637923457364454,0.8437006182157488,-14.98053920472239,48.78452725109556,120.66498976815058,16.321775504626917,1.6225179854556313,0.7492669311855962,0.2914404086289419,0.26036806176834787,-7.3985672458174765,0.006423999999999985,-0.019208000000000003,-0.000732,-3.2e-05,-0.012408000000000002,-0.008940000000000003,-0.004564,0.006424,0.019208,0.000732,0.012112,0.008852,0.004564
cnn,53,32.75022479746413,0.7957361048974346,0.518943263037149,0.8869781544521119,-8.844595850371832,52.054578829628234,116.13663534797736,9.067438649448215,1.1011991205038627,-0.14824005731995937,0.26943026452295676,0.18726264554281788,-1.5579768055238183,-0.0023800000000000487,-0.004980000000000012,-0.000652,-3.2e-05,-0.006184000000000009,-0.008092000000000002,-0.005468000000000001,0.00238,0.00498,0.000652,0.006176,0.008004,0.005448
gan,53,30.1715949200018,0.6817048958432563,0.7526206230028845,1.1712598437461923,28.208715961225856,82.19984111995088,171.05479670520495,28.270528393291606,0.4185070868638288,-0.24317396802524982,0.32292656588264834,0.049537332470999736,-1.4568569866381385,0.015447999999999906,0.02882399999999999,0.00118,-1.6e-05,0.023947999999999997,0.015179999999999999,0.009088,0.015448,0.028824,0.00118,0.023956,0.015268,0.009108
bicubic,53,33.58214271982722,0.8058741425161384,0.4526078668756155,0.8255708046491936,-14.372690318508985,46.60963738001995,114.89102087440395,15.397048620232825,1.6128460964282856,0.693657324485716,0.2888709063051613,0.2568399104024769,-6.701772501840479,0.0019279999999999298,-0.013512000000000024,-0.000648,-3.2e-05,-0.011996000000000007,-0.009632000000000002,-0.004984000000000001,0.001928,0.013512,0.000648,0.011988,0.009544,0.004964
cnn,54,32.73704365727693,0.7969246170597182,0.5305423513531878,0.8966831908741799,-9.326625026392948,52.27243174276799,117.09744358548001,9.405044323284724,1.137745979060461,-0.19050399202083268,0.2760632777997002,0.19756792538598172,0.15534243884613552,-0.0036319999999999686,-0.007624000000000006,-0.000588,-3.2e-05,-0.0063,-0.006652000000000005,-0.005752,0.003632,0.007624,0.000588,0.006164,0.006568,0.005716
gan,54,30.263395547535495,0.6884142421366198,0.7489725301863132,1.169057704604787,26.354068652713835,79.52581883857466,170.90241868700434,26.3591814269504,0.41905223880141473,-0.24840877428979757,0.32374778047453107,0.04519192154268009,-0.7143510916236586,0.014436000000000004,0.029599999999999987,0.0008719999999999999,1.9999999999999998e-05,0.027735999999999983,0.019059999999999994,0.005308,0.014436,0.0296,0.000872,0.027872,0.019144,0.005344
bicubic,54,33.59408887859349,0.808431708101344,0.45480220731263815,0.8283282141515074,-14.405984641521403,46.29816428901627,115.37471539731683,15.343927473850005,1.6354363354229564,0.6772654810385519,0.2921844808123986,0.25988856524014126,-6.016469759670597,0.0027319999999999567,-0.01363600000000001,-0.00076,-3.2e-05,-0.012140000000000012,-0.009836000000000004,-0.006192,0.002732,0.013636,0.00076,0.012004,0.009752,0.006156
cnn,55,32.47536524369654,0.7926824261030356,0.5331628466889337,0.9080835863242452,-8.64577826243555,53.070558315483055,124.24256611041409,8.99128601623794,1.1207926277436981,-0.24145838149533683,0.28144983979107613,0.19817791150895725,0.3953907905311773,0.0006279999999999619,-0.0038720000000000004,-0.000828,-2.8e-05,-0.0033000000000000113,-0.006564,-0.004664000000000001,0.000628,0.003872,0.000828,0.003152,0.00648,0.004664
gan,55,29.93100958525074,0.6898046978414403,0.7564143718396135,1.1893514775626606,26.14634690231144,80.22345136548037,182.6097572103825,26.194673179299098,0.42821868912499655,-0.24333110612120512,0.3243348137711801,0.03667626852045291,0.3650328188066716,0.012560000000000016,0.02774399999999999,0.001636,3.2000000000000005e-05,0.027012000000000008,0.019676,0.006088000000000001,0.01256,0.027744,0.001636,0.02716,0.01976,0.006088
bicubic,55,33.29340658237086,0.8045115664337955,0.46164749083036655,0.8400693424916245,-14.784589827076884,47.34906451104588,119.66965980822005,15.687549718797852,1.6127407891106786,0.6598437746231784,0.2985753593641121,0.26723423474765096,-5.369503545960987,0.0020200000000000218,-0.013576000000000005,-0.00106,-2.8e-05,-0.01283200000000001,-0.010072000000000005,-0.00638,0.00202,0.013576,0.00106,0.012684,0.009988,0.00638
cnn,56,32.1469587572324,0.7807294373923886,0.5422741221514699,0.9151692098581767,-8.675623377888332,54.065694744431326,126.53383921608327,9.373070859474232,1.0787444263635433,-0.2516183346435845,0.2917745209273786,0.2039674027375149,6.389680784248242,-0.0035479999999999956,-0.0024480000000000057,-0.0005960000000000001,-8.000000000000001e-06,-0.003924000000000011,-0.0052280000000000035,-0.004732,0.003548,0.002448,0.000596,0.003848,0.0052,0.004716
gan,56,29.628376609207404,0.6760090725338657,0.7590200494396184,1.1929226155136923,24.892608941801058,79.9958511454529,184.9426563518527,24.89878022740168,0.4222576553117132,-0.25506394999187343,0.32714313079404006,0.034331428428988967,1.4371752889463245,0.007971999999999979,0.023356000000000002,0.0015519999999999998,6.8e-05,0.023272,0.015423999999999993,0.007028000000000001,0.007972,0.023356,0.001552,0.023348,0.015452,0.007044
bicubic,56,32.92257204883304,0.7932122064355801,0.4721282635405003,0.8488755528989405,-15.186343526666471,48.84726049593221,122.9365995285756,16.512151716768376,1.599210757633519,0.6422844609429714,0.30755502154752334,0.27580548785815123,-4.3190913406656755,0.0022839999999999527,-0.012744000000000005,-0.001288,-2e-05,-0.012931999999999999,-0.010596000000000001,-0.006064,0.002284,0.012744,0.001288,0.012856,0.010568,0.006048
cnn,57,31.508336739053256,0.7698011430503396,0.5544515959475346,0.928869107593477,-9.586169285399212,55.86297230579513,128.72487971376196,10.21759159274356,1.0975301433385576,-0.19703228755383284,0.30070749219581344,0.21744405732267535,6.491524417957596,0.008519999999999972,-0.0037679999999999936,-0.0007079999999999999,-3.2e-05,-0.003828000000000012,-0.006764000000000006,-0.004384,0.00852,0.003768,0.000708,0.003784,0.006764,0.004372
gan,57,29.1045452427085,0.6619126429656585,0.7586779228110306,1.195229152154138,24.22105075393477,80.89702220340911,190.86045300184946,24.246600877405754,0.4163477085195709,-0.2091490809671135,0.3325498030404337,0.03335636887553326,1.3400618875963275,0.01728799999999997,0.020279999999999992,0.002044,0.00012800000000000002,0.017423999999999995,0.013728000000000004,0.007611999999999999,0.017288,0.02028,0.002044,0.017468,0.013728,0.007624
bicubic,57,32.1950592891556,0.7806639488979453,0.4878735872459878,0.8716805460234935,-16.088421943544777,51.47806389342948,129.83942925665195,17.483596997672393,1.554630644586152,0.665242636248152,0.3175192744835034,0.2862192108415005,-3.8482530265289867,0.008307999999999982,-0.013499999999999998,-0.001444,-3.2e-05,-0.014104000000000005,-0.011328000000000005,-0.006504,0.008308,0.0135,0.001444,0.01406,0.011328,0.006492
cnn,58,31.000612350408026,0.7633760860485179,0.5643780687008467,0.9448800727509672,-10.815503843735005,58.408908115742896,137.36702514628215,11.53054274789615,1.0607511268072607,-0.1865832287159206,0.3103279417901744,0.22379049439436985,9.603321691303522,0.0019520000000000648,-0.0054519999999999985,-0.0005919999999999999,-3.2e-05,-0.005448000000000008,-0.01054,-0.004528,0.001952,0.005452,0.000592,0.005428,0.010468,0.004524
gan,58,28.59629418280436,0.6545770598003763,0.7766149780782093,1.221839003611215,25.60688368346397,85.18787797979472,201.12532395551432,25.628524717587975,0.4097014855974395,-0.21914129748628186,0.34185887067676546,0.02841733125545492,0.956338431526353,0.011955999999999967,0.02091599999999999,0.0027199999999999998,0.000144,0.016375999999999988,0.012583999999999998,0.007323999999999999,0.011956,0.020916,0.00272,0.016396,0.012656,0.007328
bicubic,58,31.648557945490587,0.773527970438817,0.502049471097306,0.8925791262856798,-16.75951105596503,54.118275951930684,135.54313947794853,18.081583376475635,1.5445003219537803,0.6625307551326527,0.3271979730108799,0.2954564821929945,-4.551873977307768,0.0040280000000000316,-0.015072000000000002,-0.001544,-3.2e-05,-0.015036000000000008,-0.011860000000000002,-0.006504,0.004028,0.015072,0.001544,0.015016,0.011788,0.0065
cnn,59,31.015823877761484,0.7638881485909927,0.5803319729695892,0.9668762820383854,-12.365415138298102,62.403525988954456,143.1439028437297,12.889427720236405,1.025059645872868,-0.1797999817983209,0.31660514392600114,0.2239860461265898,5.171058941924095,-0.00031999999999998696,-0.008112000000000008,-0.0007359999999999999,-2.8e-05,-0.006716,-0.012744000000000005,-0.0043040000000000005,0.00032,0.008112,0.000736,0.00666,0.012732,0.004292
gan,59,28.730860257058026,0.6623659878007245,0.7849285727654676,1.2352905843642834,24.755574543564638,88.7600617462939,215.73183319026478,24.756994081475952,0.4202547540379409,-0.19229240148673554,0.34760212538656843,0.04024647487853461,2.604911290484573,0.009700000000000042,0.01780799999999999,0.003172,0.000204,0.012731999999999993,0.009111999999999995,0.0055720000000000006,0.0097,0.017808,0.003172,0.012788,0.009124,0.005584
bicubic,59,31.677165817173663,0.771418461916987,0.5197612562262082,0.913813432176814,-17.44719754543917,57.82828396625521,141.65290692682666,18.52084408985584,1.5026471105631507,0.6738812744225346,0.33703419643677623,0.304096815336711,-3.9050038634855575,0.0011039999999999939,-0.014212000000000002,-0.001928,-2.8e-05,-0.014544000000000001,-0.013324000000000003,-0.006248,0.001104,0.014212,0.001928,0.014488,0.013312,0.006236
cnn,60,30.762772407467036,0.752121296121259,0.5979381584868925,0.9919271961659777,-13.084968891041244,66.91371638599664,152.3617117949105,13.437172646414723,1.0280994065070832,-0.17251209072930784,0.32992778354471486,0.23667278731552044,8.448755803151712,0.0012839999999999518,-0.009800000000000003,-0.001316,-3.999999999999999e-06,-0.008171999999999999,-0.010996000000000006,-0.004508,0.001284,0.0098,0.001316,0.008052,0.010952,0.004508
gan,60,28.329066536207602,0.6386033023390256,0.8209861218333899,1.281137085645791,26.854160662409253,96.47516085891633,228.82377723096505,26.85419611213376,0.4098576890441385,-0.20419308234230016,0.35886967158164884,0.04368721586108101,3.7170583852540844,0.011367999999999934,0.017883999999999983,0.003468,0.000256,0.013420000000000001,0.008583999999999994,0.0057079999999999995,0.011368,0.017884,0.003464,0.01354,0.008628,0.005708
bicubic,60,31.392781692322075,0.75801146393276,0.540548166034621,0.9369626171880339,-18.273237256984466,62.360574346813344,148.09274174940498,20.194355744370746,1.4847630506375333,0.6807117744604176,0.3515580994773348,0.3178195763273411,-3.534705073725661,0.0043079999999999785,-0.01680000000000001,-0.002224,-1.6e-05,-0.01641200000000001,-0.013396000000000005,-0.006324,0.004308,0.0168,0.002224,0.016292,0.013352,0.006324
cnn,61,29.865895259214497,0.7316682848941807,0.6210563023469404,1.0264364872555027,-14.003759659894243,74.02938824037426,166.8933278083929,14.549620609384055,1.0003592543750937,-0.16510343170283104,0.34121073105028793,0.2424162084693834,6.847720358597016,-9.999999999998899e-05,-0.01017599999999999,-0.001552,8e-06,-0.008036000000000001,-0.011396000000000003,-0.004564,0.0001,0.010176,0.001552,0.008004,0.011396,0.004552
gan,61,27.391972712538024,0.6118961429930881,0.8511262771810442,1.322105601928544,28.979904896811483,104.54859508404935,239.60408695545988,28.981129229073655,0.4111994140827223,-0.19826463205153733,0.37410674370013247,0.040883120844005284,1.9863049846144918,0.013839999999999963,0.018792000000000003,0.0040479999999999995,0.000272,0.014067999999999997,0.009607999999999998,0.005492,0.01384,0.018792,0.004048,0.0141,0.009608,0.005504
bicubic,61,30.548116217519095,0.7377778789176709,0.5608025369539827,0.9638949038956134,-19.41685582940907,67.88563510919269,157.27168004126585,22.683592461466098,1.460634262191253,0.6839911628847073,0.36453266055226063,0.32947862057009863,-3.9355205329317116,0.007604000000000055,-0.018904000000000004,-0.002736,-8e-06,-0.017312000000000008,-0.013052000000000001,-0.006524,0.007604,0.018904,0.002736,0.01728,0.013052,0.006512
cnn,62,29.902881536510645,0.7208498444476638,0.6006031228597898,0.9854420317419174,-15.03852300956489,66.01611803685918,150.94451734265962,16.142053577617347,1.0518191312346843,-0.06561979959713948,0.3431670336020191,0.262824848406741,4.568179973675219,0.0032119999999999926,-0.013319999999999999,-0.0014720000000000002,0.0,-0.010276000000000007,-0.010212000000000006,-0.0059640000000000006,0.003212,0.01332,0.001472,0.01026,0.010152,0.00596
gan,62,27.555737336852317,0.6026153504491242,0.8118284607482658,1.2599778205728782,23.73748757635989,92.42763904013358,213.28052580834932,23.75556784360125,0.42740744250890444,-0.15287739634492015,0.35622730888911613,0.05883964690749388,2.3675410939634016,0.01437199999999994,0.015236,0.0025839999999999995,0.00016800000000000002,0.012268000000000001,0.007231999999999995,0.004059999999999999,0.014372,0.015236,0.002584,0.012284,0.007292,0.004064
