method,sample_idx,psnr,ssim,speed_mae,speed_rmse,wpd_bias,wpd_mae,wpd_rmse,wpd_w1,psd_log_l2,psd_slope_delta,grad_mae,grad_w1,grad_kurtosis_delta,exceed_err_5ms,exceed_err_10ms,exceed_err_15ms,exceed_err_20ms,exceed_err_p90,exceed_err_p95,exceed_err_p99,exceed_frac_abs_delta_t5,exceed_frac_abs_delta_t10,exceed_frac_abs_delta_t15,exceed_frac_abs_delta_p90,exceed_frac_abs_delta_p95,exceed_frac_abs_delta_p99
bicubic,141,31.03219874287059,0.705245133423511,0.7036834880040428,1.1101761063359035,-39.41861151614571,186.11772158562795,330.428077072211,53.958348107133304,1.3810401395755252,1.0216136480631248,0.4230098882672576,0.37800923112673174,1.9213161110399266,0.007092000000000098,0.0046319999999999695,-0.014499999999999985,-0.004043999999999999,-0.007928000000000004,-0.007872000000000004,-0.004024,0.007092,0.004632,0.0145,0.00782,0.00786,0.004008
cnn,142,29.474606350342583,0.6736953906589047,0.8893930400240351,1.3238283085463969,-30.897731103088432,237.0017838697793,389.9351671803152,44.26646482586347,1.0608323874762868,-0.0731110063935434,0.4445733381180445,0.3002551295322489,2.7121458282697777,0.007627999999999968,0.0046640000000000015,-0.01472000000000001,-0.0024800000000000004,-0.012248000000000009,-0.007404000000000001,-0.003952,0.007628,0.004664,0.01472,0.012228,0.007336,0.00394
gan,142,27.52755399592653,0.5763906862899847,1.1483156549526532,1.7025904501380236,143.1625960636713,321.774906865235,545.9773457415969,143.16309939730678,0.41252948513486004,-0.2750818412033249,0.473250643967071,0.06260873413035986,7.055463400614412,0.0037279999999999536,0.054728,0.033528,0.002412,0.021896,0.012859999999999996,0.0043,0.003728,0.054728,0.033528,0.021916,0.012928,0.004312
bicubic,142,30.436648150619924,0.682945937291469,0.7933756543579956,1.2418472438462307,-46.42922763350747,204.43911217492203,355.66746647540407,62.290691089216686,1.5965401093261513,0.8506217197224375,0.47986536275960046,0.4298256681750014,-0.2095920732543899,0.010151999999999939,0.0034720000000000306,-0.020199999999999996,-0.0036680000000000003,-0.013024000000000008,-0.008444,-0.004744,0.010152,0.003472,0.0202,0.013004,0.008376,0.004732
cnn,143,29.963558750666998,0.6992212349010573,0.8565013443750059,1.2925140315289556,-23.409451439701726,223.72410977335042,371.7038373170053,34.07631929540608,1.1164022037052816,-0.2893552347897832,0.42675185839119595,0.2813342244177648,3.8155535781917713,0.006967999999999974,0.0043239999999999945,-0.00909600000000002,-0.00202,-0.012931999999999999,-0.005316000000000001,-0.003536,0.006968,0.004324,0.009096,0.01288,0.00528,0.003512
gan,143,27.964528115073264,0.5935422937963132,1.1253617601695451,1.668296080724869,145.95381556556342,314.04753350170887,537.9308528328597,145.9538178185463,0.4516532607768686,-0.489430704285319,0.46045331535471823,0.051741619790875715,6.376193018630751,0.0047119999999999385,0.05454800000000004,0.034336000000000005,0.003352,0.022396,0.012415999999999996,0.007656000000000001,0.004712,0.054548,0.034336,0.022448,0.012452,0.00768
bicubic,143,30.89503141945041,0.7045040120300758,0.7694619703132191,1.220408852290245,-43.057744223278014,194.61405912755808,340.027854115333,57.715734919157036,1.6998348402059111,0.6730770854012889,0.45963094271604105,0.4082510832267737,-1.1114175737849088,0.010903999999999914,0.0012280000000000069,-0.0189,-0.002604,-0.015128000000000003,-0.009176000000000004,-0.0050360000000000005,0.010904,0.001228,0.0189,0.015076,0.00914,0.005012
cnn,144,29.991838493509032,0.70412226487593,0.8558771703228464,1.3043325635218788,-21.97450626834323,215.69100960331392,358.9192111437764,31.46429611307242,1.215802369449235,-0.39701827555246716,0.4208185591540356,0.2814984702230211,2.662008289449483,0.007464000000000026,-0.0017719999999999958,-0.009116000000000013,-0.0008520000000000001,-0.010132000000000002,-0.006520000000000005,-0.004064,0.007464,0.001776,0.009116,0.010128,0.006512,0.00402
gan,144,27.972099536278403,0.5961166744435904,1.1257553927607742,1.6745701206492154,143.93562364730442,303.93305870322746,521.2740840587551,143.93562364730442,0.47432825044102034,-0.5757227327227774,0.46035327873532883,0.04862122411092876,4.50349875777597,0.006916000000000033,0.05896799999999991,0.034552,0.0032679999999999996,0.024891999999999997,0.014179999999999998,0.006140000000000001,0.006916,0.058968,0.034552,0.024896,0.014188,0.006184
bicubic,144,30.924258475328056,0.7062515876226078,0.7665081168196662,1.230311768880381,-40.8822851461074,186.9370212556665,328.28750906131404,55.04025550841714,1.7852163150227616,0.627289775140818,0.4561848480036543,0.4047347006399491,-2.060003106849262,0.0127560000000001,-0.0033960000000000656,-0.016848000000000002,-0.0017480000000000002,-0.016368000000000008,-0.008288000000000004,-0.004684,0.012756,0.003396,0.016848,0.016364,0.00828,0.00464
