sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE2,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE2,pd_winner_before,pd_winner_after_candidateE2,mt_winner_before,mt_winner_after_candidateE2,was_mt_gan_win_before
37,37,33.456602216246914,27.16364872656993,35.06261099299405,6.489102840423584,9.59257698059082,6.319820404052734,gan,gan,cnn,candidateE2,0
38,38,29.159912858159764,23.780350003542182,30.575437841479587,6.054014682769775,7.416414260864258,6.743630409240723,gan,gan,cnn,cnn,0
39,39,25.24426875811477,21.358097631209198,26.754513311165294,5.873856067657471,8.546488761901855,6.23399019241333,gan,gan,cnn,cnn,0
40,40,24.281572165890662,20.447367624488226,25.352490982295805,5.6310811042785645,8.988521575927734,6.465548992156982,gan,gan,cnn,cnn,0
41,41,23.457166445963043,17.452695580897316,24.108734471769136,5.389686584472656,8.901470184326172,5.4374189376831055,gan,gan,cnn,cnn,0
42,42,21.63035540369367,14.632793364821667,22.315155345535924,5.757840156555176,7.383090972900391,5.965879917144775,gan,gan,cnn,cnn,0
43,43,20.76816702008209,13.784137402758168,21.35012617837168,5.7682366371154785,7.053122520446777,6.189363956451416,gan,gan,cnn,cnn,0
44,44,19.781150575177055,13.855413188888303,20.294207281610614,6.20600700378418,7.041088581085205,6.28621768951416,gan,gan,cnn,cnn,0
45,45,20.528037851461004,13.609391097429418,20.96386450585447,6.566225528717041,6.773196697235107,6.608054161071777,gan,gan,cnn,cnn,0
46,46,20.678325640697178,16.27228595124608,21.041584792605285,6.243154048919678,6.650214672088623,6.3354668617248535,gan,gan,cnn,cnn,0
47,47,22.201753073772625,13.108895112859523,22.28600065196482,6.789880752563477,7.498397350311279,6.731667518615723,gan,gan,cnn,candidateE2,0
48,48,22.832495463547907,13.107025960847848,23.10026302283922,7.081502437591553,6.682991981506348,6.889229774475098,gan,gan,gan,gan,1
49,49,22.105793975200847,13.662675111493924,22.30857785374813,6.3195295333862305,7.889017105102539,6.379955291748047,gan,gan,cnn,cnn,0
50,50,21.30877833114525,14.865452226211227,21.385411240271665,6.3856120109558105,6.713321685791016,6.213052272796631,gan,gan,cnn,candidateE2,0
51,51,21.75849079768097,16.03686368056312,21.886598363681898,5.902731418609619,7.996896266937256,5.993113994598389,gan,gan,cnn,cnn,0
52,52,21.81632996072092,16.98731478928289,22.03101893378234,5.69123649597168,7.0050048828125,5.846640110015869,gan,gan,cnn,cnn,0
53,53,21.92458068590406,18.078201501754,22.097324596810445,5.261850833892822,7.919146537780762,5.367271900177002,gan,gan,cnn,cnn,0
54,54,22.97915159360149,18.305326668249773,23.132318957944566,5.500187397003174,9.581897735595703,5.792768955230713,gan,gan,cnn,cnn,0
55,55,23.57536347476084,17.428151978200873,23.76037826781544,5.2683796882629395,7.846588134765625,5.289385795593262,gan,gan,cnn,cnn,0
56,56,24.24948793523431,17.584091876726443,24.43945882443005,5.488292217254639,7.826909065246582,5.616914749145508,gan,gan,cnn,cnn,0
57,57,24.937493176964292,18.354637384973643,25.1846293218008,5.463809013366699,6.805661201477051,5.713089942932129,gan,gan,cnn,cnn,0
58,58,25.56121844001433,18.762904108038654,25.810609898412732,6.08959436416626,8.349846839904785,6.1709184646606445,gan,gan,cnn,cnn,0
59,59,25.864386079507888,18.65101850934172,26.061082005161197,5.546851634979248,7.89148473739624,5.714182376861572,gan,gan,cnn,cnn,0
60,60,25.964725332360167,18.604905025455473,26.179547734698215,5.321651458740234,8.357301712036133,5.878750801086426,gan,gan,cnn,cnn,0
61,61,25.73100039673249,19.516031588862035,26.069285497795367,5.346891403198242,8.12722110748291,5.619718551635742,gan,gan,cnn,cnn,0
62,62,27.46350343812835,17.993686869301147,27.918175500153424,6.720277786254883,6.650205135345459,7.378791809082031,gan,gan,gan,gan,1
63,63,28.524583670890912,18.199751597271156,28.864469313920914,7.660599708557129,7.5776286125183105,7.718905448913574,gan,gan,gan,gan,1
64,64,24.7100597287657,16.701032359601633,24.973970448538125,5.944510459899902,7.137726306915283,6.4205145835876465,gan,gan,cnn,cnn,0
65,65,22.148883751156426,16.23947552161985,22.432894194868467,5.820770263671875,5.576780319213867,6.114047050476074,gan,gan,gan,gan,1
66,66,20.981857591368968,15.979342195015368,21.249856746748705,5.701828956604004,6.4086198806762695,6.079107284545898,gan,gan,cnn,cnn,0
67,67,20.679919922717943,14.773695042869097,20.940080718660806,5.030301094055176,6.6433844566345215,5.261585712432861,gan,gan,cnn,cnn,0
68,68,21.77134223692748,15.500930745161975,21.952185494149457,6.074338436126709,5.670867919921875,6.4181227684021,gan,gan,gan,gan,1
69,69,24.168055816700438,16.112222498232782,24.464673274279598,5.17050838470459,6.406604290008545,5.41264009475708,gan,gan,cnn,cnn,0
70,70,24.673819113934496,19.882401938586153,24.92378940957491,5.396136283874512,5.861793041229248,5.527253150939941,gan,gan,cnn,cnn,0
71,71,25.505047306429027,18.465741214218955,25.837667917138564,5.1588335037231445,7.186563014984131,5.105685234069824,gan,gan,cnn,candidateE2,0
72,72,26.514111621573456,19.679320844931677,26.797779092723868,4.796044826507568,5.719583988189697,4.849745273590088,gan,gan,cnn,cnn,0
73,73,27.001473804134946,19.399004976672177,27.438566999167964,4.9851861000061035,5.75114631652832,5.1498613357543945,gan,gan,cnn,cnn,0
74,74,28.28963162272453,20.10959212403172,28.701296469698917,4.782100200653076,5.644299030303955,4.785513401031494,gan,gan,cnn,cnn,0
75,75,29.367383683723347,19.74885298310355,29.78427506725713,5.201173305511475,5.680557727813721,5.379513263702393,gan,gan,cnn,cnn,0
76,76,30.056769521251926,20.225713244111034,30.41114775649528,5.207019329071045,6.450347900390625,5.159417152404785,gan,gan,cnn,candidateE2,0
77,77,29.944664675564518,20.353338072506904,30.250292312860264,6.132026672363281,6.000014781951904,6.386878490447998,gan,gan,gan,gan,1
78,78,30.300511724579902,19.95492094933438,30.644946438580646,5.8028388023376465,7.092807292938232,6.277007102966309,gan,gan,cnn,cnn,0
79,79,30.148051358309164,20.321240211337894,30.603702838301462,6.856454849243164,6.467032432556152,7.260031223297119,gan,gan,gan,gan,1
80,80,30.086252753371088,20.744918439924255,30.48498254069777,6.982686519622803,6.176682472229004,6.880258083343506,gan,gan,gan,gan,1
81,81,29.68907403762892,20.982889067881906,30.235652207678765,6.426537990570068,7.567525863647461,6.689926624298096,gan,gan,cnn,cnn,0
82,82,28.90089773637945,20.81634708740007,29.598233722627167,7.1840739250183105,6.303605079650879,7.788028717041016,gan,gan,gan,gan,1
83,83,28.194313716720707,21.794751727168247,28.81881390577929,6.560110569000244,6.599743366241455,6.735424041748047,gan,gan,cnn,cnn,0
84,84,29.14514380262554,21.106373639070085,29.51551901876769,5.271510124206543,8.559276580810547,6.22929573059082,gan,gan,cnn,cnn,0
85,85,28.72250736297703,20.7490839418831,29.247717458367333,5.609640121459961,7.718591690063477,5.754185199737549,gan,gan,cnn,cnn,0
86,86,29.195361276159034,18.84606490909817,29.713276105482727,5.25334358215332,9.43416690826416,5.451908588409424,gan,gan,cnn,cnn,0
87,87,29.611902358359767,19.024115372275585,30.08151608660675,6.509652614593506,7.174471855163574,6.613193511962891,gan,gan,cnn,cnn,0
88,88,26.37509421416108,18.396084436387564,26.8215501955952,6.411813259124756,6.487721920013428,6.320529937744141,gan,gan,cnn,candidateE2,0
89,89,24.29846982632471,17.197907308437554,24.594484013032165,6.017302513122559,6.256072521209717,5.95866060256958,gan,gan,cnn,candidateE2,0
90,90,22.206834090995343,17.32676746960286,22.461278784325977,5.257880687713623,5.663510322570801,5.422430992126465,gan,gan,cnn,cnn,0
91,91,22.30942508877806,16.266054339767617,22.58715382114223,5.508337497711182,5.519831657409668,5.569027900695801,gan,gan,cnn,cnn,0
92,92,22.07932597419188,16.807703363287136,22.305737102389426,5.735818386077881,5.677903175354004,5.702787399291992,gan,gan,gan,gan,1
93,93,24.402894658345392,18.13548367922437,24.75073302732099,6.506997585296631,6.816009521484375,6.551904678344727,gan,gan,cnn,cnn,0
94,94,24.570031527820365,20.006869187749356,24.932867484312222,5.102908611297607,6.517361164093018,5.197722911834717,gan,gan,cnn,cnn,0
95,95,26.879696075655563,20.637912890931716,27.159049682086945,5.015480041503906,6.677723407745361,5.042051315307617,gan,gan,cnn,cnn,0
96,96,28.904715116511554,22.25070627382419,29.325825638306693,5.121858596801758,7.258078575134277,5.1765265464782715,gan,gan,cnn,cnn,0
97,97,30.15308546680866,22.202351461270364,30.583928325941887,5.011539936065674,7.223494529724121,4.887757778167725,gan,gan,cnn,candidateE2,0
98,98,31.264551411001506,23.055714774434993,31.64940818140408,4.942448139190674,8.764951705932617,4.995506763458252,gan,gan,cnn,cnn,0
99,99,30.940933752807226,20.998202000997363,31.304084763386395,5.342334747314453,7.760592460632324,5.440126895904541,gan,gan,cnn,cnn,0
100,100,31.181555022619012,20.891681214618057,31.501611924534604,5.912055015563965,7.617006778717041,5.857967376708984,gan,gan,cnn,candidateE2,0
101,101,30.40796712150836,20.937383941054357,30.738317317348915,5.357294082641602,7.0666680335998535,5.433768272399902,gan,gan,cnn,cnn,0
102,102,29.254680859214627,20.257793175726828,29.568132225670684,5.164434909820557,8.231893539428711,5.268490314483643,gan,gan,cnn,cnn,0
103,103,29.507549938987374,20.69051451494371,29.852550815784273,5.102769374847412,6.314839839935303,5.208885669708252,gan,gan,cnn,cnn,0
104,104,29.173745320955113,20.12992358587829,29.441997151490888,4.829194068908691,7.393864154815674,4.919677734375,gan,gan,cnn,cnn,0
105,105,29.338582011466166,19.283104237304943,29.63446687980822,5.33697509765625,6.823482513427734,5.318482398986816,gan,gan,cnn,candidateE2,0
106,106,30.092821360744658,20.00547041151677,30.313858459898373,5.767349720001221,6.75129508972168,5.964792728424072,gan,gan,cnn,cnn,0
107,107,29.64376642955138,20.682183399063746,29.830325640059556,5.574344635009766,7.6041154861450195,5.697098255157471,gan,gan,cnn,cnn,0
108,108,28.940126674621943,21.1993064034262,29.230543050709464,5.6898322105407715,7.595790386199951,5.900883674621582,gan,gan,cnn,cnn,0
109,109,28.97319829057234,20.853111383838083,29.233974432805734,5.088190078735352,7.198193550109863,5.144204616546631,gan,gan,cnn,cnn,0
110,110,29.504241915198808,19.600364202728887,29.72616571535411,5.806641101837158,6.568319320678711,6.001055717468262,gan,gan,cnn,cnn,0
111,111,28.17742348677506,18.815230764049467,28.371857117578724,5.513612270355225,8.167459487915039,5.584524154663086,gan,gan,cnn,cnn,0
112,112,27.49742127818127,19.372446559915602,27.78407909185814,5.637857913970947,6.682409286499023,5.576773166656494,gan,gan,cnn,candidateE2,0
113,113,26.010710160777133,18.415536047943895,26.319480710641844,5.502909183502197,6.949485778808594,5.543158054351807,gan,gan,cnn,cnn,0
