sample_idx,pos_idx,pd_distance_candidateE2,mt_distance_candidateE2
63,63,28.864469313920914,7.718905448913574
64,64,24.973970448538125,6.4205145835876465
65,65,22.432894194868467,6.114047050476074
66,66,21.249856746748705,6.079107284545898
67,67,20.940080718660806,5.261585712432861
68,68,21.952185494149457,6.4181227684021
69,69,24.464673274279598,5.41264009475708
70,70,24.92378940957491,5.527253150939941
71,71,25.837667917138564,5.105685234069824
72,72,26.797779092723868,4.849745273590088
73,73,27.438566999167964,5.1498613357543945
74,74,28.701296469698917,4.785513401031494
75,75,29.78427506725713,5.379513263702393
76,76,30.41114775649528,5.159417152404785
77,77,30.250292312860264,6.386878490447998
78,78,30.644946438580646,6.277007102966309
79,79,30.603702838301462,7.260031223297119
80,80,30.48498254069777,6.880258083343506
81,81,30.235652207678765,6.689926624298096
82,82,29.598233722627167,7.788028717041016
83,83,28.81881390577929,6.735424041748047
84,84,29.51551901876769,6.22929573059082
85,85,29.247717458367333,5.754185199737549
86,86,29.713276105482727,5.451908588409424
87,87,30.08151608660675,6.613193511962891
88,88,26.8215501955952,6.320529937744141
89,89,24.594484013032165,5.95866060256958
90,90,22.461278784325977,5.422430992126465
91,91,22.58715382114223,5.569027900695801
92,92,22.305737102389426,5.702787399291992
93,93,24.75073302732099,6.551904678344727
94,94,24.932867484312222,5.197722911834717
95,95,27.159049682086945,5.042051315307617
96,96,29.325825638306693,5.1765265464782715
97,97,30.583928325941887,4.887757778167725
98,98,31.64940818140408,4.995506763458252
99,99,31.304084763386395,5.440126895904541
100,100,31.501611924534604,5.857967376708984
101,101,30.738317317348915,5.433768272399902
102,102,29.568132225670684,5.268490314483643
103,103,29.852550815784273,5.208885669708252
104,104,29.441997151490888,4.919677734375
105,105,29.63446687980822,5.318482398986816
106,106,30.313858459898373,5.964792728424072
107,107,29.830325640059556,5.697098255157471
108,108,29.230543050709464,5.900883674621582
109,109,29.233974432805734,5.144204616546631
110,110,29.72616571535411,6.001055717468262
111,111,28.371857117578724,5.584524154663086
112,112,27.78407909185814,5.576773166656494
113,113,26.319480710641844,5.543158054351807
114,114,24.823777285089456,5.043895244598389
115,115,25.59262946411653,4.709284782409668
116,116,25.415157531065756,5.36751127243042
117,117,27.502501758054226,5.348495006561279
118,118,28.39444814921721,6.353506088256836
119,119,27.648973976904706,5.250578880310059
120,120,28.49787953494308,4.959049701690674
121,121,29.457905595616566,5.415183067321777
122,122,28.316648553795346,5.5934929847717285
123,123,29.457912549967126,6.268685817718506
124,124,28.694628701838532,6.18543004989624
125,125,29.050995478721337,5.881651401519775
126,126,28.72493787024372,5.198545455932617
127,127,30.8309879694691,5.421459197998047
128,128,29.531313235444173,5.959519386291504
129,129,31.020869793493695,5.864867210388184
130,130,31.5471792261184,6.835227012634277
131,131,34.36290425295934,7.358262538909912
132,132,35.44600668806523,7.945048809051514
133,133,36.076167348428555,8.454715728759766
134,134,33.93207754755418,7.706424713134766
135,135,31.455802219395846,7.713066101074219
136,136,29.184088085971705,7.383106708526611
137,137,28.08300498174438,5.627100467681885
138,138,27.418510236798713,6.033626556396484
139,139,26.668479821779997,6.2878875732421875
140,140,28.106131654600166,6.233214378356934
141,141,31.406058080660223,6.853033542633057
142,142,33.40110809478472,7.935880661010742
143,143,33.08858147497422,6.922715187072754
144,144,33.602768817506615,5.973954677581787
145,145,32.18053882848903,6.034926891326904
146,146,31.221502821225382,6.55720853805542
147,147,28.77085606557472,6.213574409484863
148,148,28.141334301732467,5.402932643890381
149,149,26.942733348777285,6.5654215812683105
150,150,25.582439501771336,5.882802963256836
151,151,25.42292284461291,6.0198845863342285
152,152,25.542466490838127,5.823243618011475
153,153,25.7699949209912,6.425118923187256
154,154,25.54899133273711,6.059920787811279
155,155,26.263564187658066,6.171390533447266
156,156,25.325009378694773,5.910562038421631
157,157,25.988630502967577,4.630477428436279
158,158,27.559120927498103,5.946478366851807
159,159,24.77685065004339,4.993558883666992
160,160,21.750445452575725,5.470206260681152
161,161,20.169018139959118,5.132167816162109
162,162,18.4123581700209,4.3510260581970215
163,163,19.3476346055687,5.363319396972656
164,164,22.084798184432326,5.683117389678955
165,165,23.601232975122333,5.267576694488525
166,166,24.52150987656028,5.607752323150635
167,167,24.235443659282193,5.555367946624756
