sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE2_fixed_lowlambda,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE2_fixed_lowlambda,pd_winner_before,pd_winner_after_candidateE2_fixed_lowlambda,mt_winner_before,mt_winner_after_candidateE2_fixed_lowlambda,was_mt_gan_win_before
79,79,30.148051358309164,20.321240211337894,29.842046193339222,6.856454849243164,6.467032432556152,6.452939510345459,gan,gan,gan,candidateE2_fixed_lowlambda,1
80,80,30.086252753371088,20.744918439924255,29.672372942786094,6.982686519622803,6.176682472229004,6.575841426849365,gan,gan,gan,gan,1
81,81,29.68907403762892,20.982889067881906,29.28278583254663,6.426537990570068,7.567525863647461,6.2185468673706055,gan,gan,cnn,candidateE2_fixed_lowlambda,0
82,82,28.90089773637945,20.81634708740007,28.516745072117295,7.1840739250183105,6.303605079650879,6.202706813812256,gan,gan,gan,candidateE2_fixed_lowlambda,1
83,83,28.194313716720707,21.794751727168247,27.67501542543765,6.560110569000244,6.599743366241455,6.172905445098877,gan,gan,cnn,candidateE2_fixed_lowlambda,0
84,84,29.14514380262554,21.106373639070085,28.654117871290293,5.271510124206543,8.559276580810547,5.370546340942383,gan,gan,cnn,cnn,0
85,85,28.72250736297703,20.7490839418831,28.359396547593267,5.609640121459961,7.718591690063477,5.326705455780029,gan,gan,cnn,candidateE2_fixed_lowlambda,0
86,86,29.195361276159034,18.84606490909817,28.78278693366639,5.25334358215332,9.43416690826416,5.2630414962768555,gan,gan,cnn,cnn,0
87,87,29.611902358359767,19.024115372275585,29.20612245452973,6.509652614593506,7.174471855163574,6.364438533782959,gan,gan,cnn,candidateE2_fixed_lowlambda,0
88,88,26.37509421416108,18.396084436387564,26.165028747031705,6.411813259124756,6.487721920013428,5.88822078704834,gan,gan,cnn,candidateE2_fixed_lowlambda,0
89,89,24.29846982632471,17.197907308437554,24.09297801227372,6.017302513122559,6.256072521209717,5.799047470092773,gan,gan,cnn,candidateE2_fixed_lowlambda,0
90,90,22.206834090995343,17.32676746960286,22.05698072490836,5.257880687713623,5.663510322570801,5.3093671798706055,gan,gan,cnn,cnn,0
91,91,22.30942508877806,16.266054339767617,22.198377969930384,5.508337497711182,5.519831657409668,5.475582599639893,gan,gan,cnn,candidateE2_fixed_lowlambda,0
92,92,22.07932597419188,16.807703363287136,21.99051018689557,5.735818386077881,5.677903175354004,5.675093173980713,gan,gan,gan,candidateE2_fixed_lowlambda,1
93,93,24.402894658345392,18.13548367922437,24.45466683262075,6.506997585296631,6.816009521484375,6.3231377601623535,gan,gan,cnn,candidateE2_fixed_lowlambda,0
94,94,24.570031527820365,20.006869187749356,24.73467186697185,5.102908611297607,6.517361164093018,5.234945774078369,gan,gan,cnn,cnn,0
95,95,26.879696075655563,20.637912890931716,26.972408162383942,5.015480041503906,6.677723407745361,5.011723518371582,gan,gan,cnn,candidateE2_fixed_lowlambda,0
96,96,28.904715116511554,22.25070627382419,29.07077366058605,5.121858596801758,7.258078575134277,5.093347549438477,gan,gan,cnn,candidateE2_fixed_lowlambda,0
97,97,30.15308546680866,22.202351461270364,30.27764741329175,5.011539936065674,7.223494529724121,4.990019798278809,gan,gan,cnn,candidateE2_fixed_lowlambda,0
98,98,31.264551411001506,23.055714774434993,31.37779559179503,4.942448139190674,8.764951705932617,4.987686634063721,gan,gan,cnn,cnn,0
99,99,30.940933752807226,20.998202000997363,30.97496622757962,5.342334747314453,7.760592460632324,5.328693389892578,gan,gan,cnn,candidateE2_fixed_lowlambda,0
100,100,31.181555022619012,20.891681214618057,31.058619218137157,5.912055015563965,7.617006778717041,5.791552543640137,gan,gan,cnn,candidateE2_fixed_lowlambda,0
101,101,30.40796712150836,20.937383941054357,30.286804556915527,5.357294082641602,7.0666680335998535,5.33590030670166,gan,gan,cnn,candidateE2_fixed_lowlambda,0
102,102,29.254680859214627,20.257793175726828,29.261797937948764,5.164434909820557,8.231893539428711,5.12725305557251,gan,gan,cnn,candidateE2_fixed_lowlambda,0
103,103,29.507549938987374,20.69051451494371,29.46861986421875,5.102769374847412,6.314839839935303,5.297316551208496,gan,gan,cnn,cnn,0
104,104,29.173745320955113,20.12992358587829,29.105469911713556,4.829194068908691,7.393864154815674,4.744640350341797,gan,gan,cnn,candidateE2_fixed_lowlambda,0
105,105,29.338582011466166,19.283104237304943,29.18944150022855,5.33697509765625,6.823482513427734,5.332457065582275,gan,gan,cnn,candidateE2_fixed_lowlambda,0
106,106,30.092821360744658,20.00547041151677,29.960393484910014,5.767349720001221,6.75129508972168,5.685825347900391,gan,gan,cnn,candidateE2_fixed_lowlambda,0
107,107,29.64376642955138,20.682183399063746,29.55574456867034,5.574344635009766,7.6041154861450195,5.515636444091797,gan,gan,cnn,candidateE2_fixed_lowlambda,0
108,108,28.940126674621943,21.1993064034262,28.77749817679805,5.6898322105407715,7.595790386199951,5.67641019821167,gan,gan,cnn,candidateE2_fixed_lowlambda,0
109,109,28.97319829057234,20.853111383838083,28.75174209417413,5.088190078735352,7.198193550109863,5.104992866516113,gan,gan,cnn,cnn,0
110,110,29.504241915198808,19.600364202728887,29.352347030288723,5.806641101837158,6.568319320678711,5.753010272979736,gan,gan,cnn,candidateE2_fixed_lowlambda,0
111,111,28.17742348677506,18.815230764049467,28.084767580079134,5.513612270355225,8.167459487915039,5.872146129608154,gan,gan,cnn,cnn,0
112,112,27.49742127818127,19.372446559915602,27.508028149371906,5.637857913970947,6.682409286499023,5.512017726898193,gan,gan,cnn,candidateE2_fixed_lowlambda,0
113,113,26.010710160777133,18.415536047943895,25.979661829725195,5.502909183502197,6.949485778808594,5.569339752197266,gan,gan,cnn,cnn,0
114,114,24.541486090961616,16.84887862793787,24.403335715251934,5.123978614807129,5.899235248565674,5.049507141113281,gan,gan,cnn,candidateE2_fixed_lowlambda,0
115,115,25.270960377659716,17.25298248796687,25.33834728019399,4.689971923828125,7.232174873352051,4.598429203033447,gan,gan,cnn,candidateE2_fixed_lowlambda,0
116,116,25.095451409249726,17.129081493158413,25.04216805831458,5.35050630569458,7.636551856994629,5.255475044250488,gan,gan,cnn,candidateE2_fixed_lowlambda,0
117,117,27.14897424086504,18.592743212240446,27.109239880800864,5.260716915130615,8.683184623718262,5.49134635925293,gan,gan,cnn,cnn,0
118,118,27.925806328570985,19.893975298384717,27.892575630502208,6.84329080581665,9.465571403503418,6.724830627441406,gan,gan,cnn,candidateE2_fixed_lowlambda,0
119,119,27.187847892928154,20.557132674744736,27.227515462553097,5.218785285949707,6.129123687744141,5.206503391265869,gan,gan,cnn,candidateE2_fixed_lowlambda,0
120,120,28.146732976702577,21.528863701574615,28.00934112324964,4.889072418212891,7.93386173248291,4.838364124298096,gan,gan,cnn,candidateE2_fixed_lowlambda,0
121,121,29.135888828595842,21.37188887795256,29.01823742855254,5.373913288116455,7.535200595855713,5.440187931060791,gan,gan,cnn,cnn,0
122,122,28.017758663142306,22.491589595860475,27.780145092050972,5.264456272125244,7.450175762176514,5.229921340942383,gan,gan,cnn,candidateE2_fixed_lowlambda,0
123,123,29.152924001075785,22.17220391892049,28.888423276568332,6.196282386779785,8.431406021118164,5.987905502319336,gan,gan,cnn,candidateE2_fixed_lowlambda,0
124,124,28.184626374879375,22.119830159019614,27.862161293420627,6.166434288024902,6.818744659423828,5.879202842712402,gan,gan,cnn,candidateE2_fixed_lowlambda,0
125,125,28.43981263564626,21.313574573250694,28.07394267702519,5.748098373413086,10.086677551269531,5.513979911804199,gan,gan,cnn,candidateE2_fixed_lowlambda,0
126,126,28.023492407781937,22.88972837862729,27.363270945685937,4.992148399353027,8.052214622497559,4.626769065856934,gan,gan,cnn,candidateE2_fixed_lowlambda,0
127,127,30.000730217921266,24.85609607980766,29.32594178043439,5.114649772644043,13.074076652526855,4.943749904632568,gan,gan,cnn,candidateE2_fixed_lowlambda,0
128,128,28.391923421353447,23.315252316365218,27.56649989998915,5.476268768310547,7.28298807144165,4.963778972625732,gan,gan,cnn,candidateE2_fixed_lowlambda,0
129,129,29.465245102227872,24.209883048645104,28.46804138378165,5.373117923736572,9.33877944946289,5.189393997192383,gan,gan,cnn,candidateE2_fixed_lowlambda,0
130,130,30.27324308013254,23.783031491875988,29.045135097921605,5.609683513641357,11.313863754272461,5.045897006988525,gan,gan,cnn,candidateE2_fixed_lowlambda,0
