sample_idx,pos_idx,pd_distance_candidateE2_fixed_lowlambda,mt_distance_candidateE2_fixed_lowlambda
117,117,27.109239880800864,5.49134635925293
118,118,27.892575630502208,6.724830627441406
119,119,27.227515462553097,5.206503391265869
120,120,28.00934112324964,4.838364124298096
121,121,29.01823742855254,5.440187931060791
122,122,27.780145092050972,5.229921340942383
123,123,28.888423276568332,5.987905502319336
124,124,27.862161293420627,5.879202842712402
125,125,28.07394267702519,5.513979911804199
126,126,27.363270945685937,4.626769065856934
127,127,29.32594178043439,4.943749904632568
128,128,27.56649989998915,4.963778972625732
129,129,28.46804138378165,5.189393997192383
130,130,29.045135097921605,5.045897006988525
131,131,31.84042680730574,5.808904647827148
132,132,32.90724603497218,6.096010684967041
133,133,32.928055028505796,6.036264896392822
134,134,31.211127149384954,5.589813232421875
135,135,28.651641726847995,5.371469974517822
136,136,26.688539708397453,5.57262659072876
137,137,25.5968999553511,4.666652679443359
138,138,25.18351154139035,5.0867838859558105
139,139,24.82691556565221,5.040236473083496
140,140,25.99059384976727,5.227269172668457
141,141,28.900364721164664,5.831849575042725
142,142,30.20134237994261,6.196117877960205
143,143,30.36848264631796,5.625011920928955
144,144,30.62402438033972,5.705644607543945
145,145,29.326576092969418,6.085023403167725
146,146,28.2806769785549,6.354883670806885
147,147,25.824112399166946,5.472661972045898
148,148,25.866309375460634,5.188868522644043
149,149,24.74999782438794,5.615036964416504
150,150,23.89621175642928,5.213641166687012
151,151,24.18481478319742,5.381086826324463
152,152,24.515867878229443,5.892496109008789
153,153,25.18378515317628,6.229738712310791
154,154,25.345394860666513,6.261453628540039
155,155,26.27498431471096,6.1310296058654785
156,156,25.4473441427022,5.27285099029541
157,157,25.9810877748274,4.749385356903076
158,158,27.6172382046357,5.948967933654785
159,159,24.70412938567045,5.2987871170043945
160,160,22.06307082273669,4.962283134460449
161,161,20.10231099226616,4.929897308349609
162,162,18.70866877957675,4.607345104217529
163,163,19.80559261680338,5.203365802764893
164,164,22.268936982183913,5.545472621917725
165,165,23.863400739232414,5.040897369384766
166,166,24.829786229250903,5.735880374908447
167,167,24.661309752848624,5.73694372177124
