sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_expanded2688,pd_winner_before,pd_winner_after_candidateB_expanded2688,mt_winner_before,mt_winner_after_candidateB_expanded2688,was_mt_gan_win_before
123,123,29.152924001075785,22.17220391892049,23.812347673339268,6.196282386779785,8.431406021118164,6.275181770324707,gan,gan,cnn,cnn,0
124,124,28.184626374879375,22.119830159019614,23.338523029255136,6.166434288024902,6.818744659423828,6.198737621307373,gan,gan,cnn,cnn,0
125,125,28.43981263564626,21.313574573250694,22.768686258743482,5.748098373413086,10.086677551269531,5.448888301849365,gan,gan,cnn,candidateB_expanded2688,0
126,126,28.023492407781937,22.88972837862729,22.184376778367113,4.992148399353027,8.052214622497559,5.046749114990234,gan,candidateB_expanded2688,cnn,cnn,0
127,127,30.000730217921266,24.85609607980766,23.53554015225496,5.114649772644043,13.074076652526855,5.41109561920166,gan,candidateB_expanded2688,cnn,cnn,0
128,128,28.391923421353447,23.315252316365218,22.89778343308571,5.476268768310547,7.28298807144165,5.128028392791748,gan,candidateB_expanded2688,cnn,candidateB_expanded2688,0
129,129,29.465245102227872,24.209883048645104,23.993605306152578,5.373117923736572,9.33877944946289,6.2623372077941895,gan,candidateB_expanded2688,cnn,cnn,0
130,130,30.27324308013254,23.783031491875988,24.686957774138214,5.609683513641357,11.313863754272461,5.270695209503174,gan,gan,cnn,candidateB_expanded2688,0
131,131,33.0539968727652,25.23355611194131,26.584117554144772,6.2030792236328125,12.011610984802246,6.559534549713135,gan,gan,cnn,cnn,0
132,132,33.926806040190684,25.90821112354989,28.43065475610899,6.331444263458252,12.388164520263672,6.728977203369141,gan,gan,cnn,cnn,0
133,133,34.52507377701583,25.596877045000497,28.942835518405186,6.299666404724121,7.647167682647705,6.266441345214844,gan,gan,cnn,candidateB_expanded2688,0
134,134,32.518921837890055,23.04058254540847,26.592755582482003,7.141453742980957,13.276667594909668,5.604438304901123,gan,gan,cnn,candidateB_expanded2688,0
135,135,29.944179549584543,20.502693507156053,25.31647564824448,6.298990726470947,11.993122100830078,5.814341068267822,gan,gan,cnn,candidateB_expanded2688,0
136,136,27.83279512215704,19.71188765946126,24.330946285898815,6.232182025909424,6.450465202331543,6.334447383880615,gan,gan,cnn,cnn,0
137,137,26.69652879915387,18.35521341147029,23.073447211173498,5.208233833312988,9.66958236694336,4.798069477081299,gan,gan,cnn,candidateB_expanded2688,0
138,138,26.265900126493325,18.5898403985513,22.86285987205128,5.562473773956299,8.217479705810547,5.047177314758301,gan,gan,cnn,candidateB_expanded2688,0
139,139,25.72843674372112,17.55339321269266,22.056594352477834,5.6482439041137695,9.790724754333496,4.905564308166504,gan,gan,cnn,candidateB_expanded2688,0
140,140,26.928885115678263,17.632487734588345,23.62340367469442,5.719569206237793,11.421890258789062,5.241246700286865,gan,gan,cnn,candidateB_expanded2688,0
141,141,30.122683212798776,22.35126448334632,26.791737349701222,6.186624050140381,8.889102935791016,7.082003593444824,gan,gan,cnn,cnn,0
142,142,31.864668972443802,25.40867751345393,29.885013414881662,7.186554908752441,8.55953311920166,7.403757572174072,gan,gan,cnn,cnn,0
143,143,31.729557469133276,25.608920781987035,28.465677744163372,5.864097595214844,9.649337768554688,6.151178359985352,gan,gan,cnn,cnn,0
144,144,31.838603860361527,24.790495069985838,28.679649285863306,5.560759544372559,9.771649360656738,5.852355003356934,gan,gan,cnn,cnn,0
145,145,30.39245353837724,25.26410594488553,28.97713302807393,5.902344226837158,8.558032035827637,6.031980991363525,gan,gan,cnn,cnn,0
146,146,29.28670842660694,23.86618294113101,27.085425164852094,5.959416389465332,7.056334018707275,6.8269362449646,gan,gan,cnn,cnn,0
147,147,26.585106339400784,22.003227031713678,25.71204481265658,5.6108717918396,6.8347039222717285,6.698649883270264,gan,gan,cnn,cnn,0
148,148,26.258461074996504,21.1331690923618,24.791844683632085,5.0148024559021,8.882506370544434,6.350427150726318,gan,gan,cnn,cnn,0
149,149,25.194205211404583,21.36081867901896,22.450533357478715,5.752551078796387,8.038224220275879,6.8335700035095215,gan,gan,cnn,cnn,0
150,150,24.128591365700505,20.19277068635915,21.13442837556952,5.291886329650879,7.924254417419434,5.842928409576416,gan,gan,cnn,cnn,0
151,151,24.240085612250784,19.596870056685123,20.080866499638216,5.580901145935059,7.460690975189209,6.519160270690918,gan,gan,cnn,cnn,0
152,152,24.594151699851988,17.338820427078797,19.46383236267693,5.931854248046875,8.478921890258789,6.658609390258789,gan,gan,cnn,cnn,0
153,153,25.168802860244767,16.23765159094386,18.846339788799884,6.290019989013672,6.548172950744629,6.60235071182251,gan,gan,cnn,cnn,0
154,154,25.31020070022765,16.834477000311573,18.733956256890412,5.889771461486816,5.736759185791016,6.213982105255127,gan,gan,gan,gan,1
