sample_idx,pos_idx,pd_distance_candidateE2_fixed_lowlambda_expanded1344,mt_distance_candidateE2_fixed_lowlambda_expanded1344
147,147,25.933799262773693,5.329569339752197
148,148,26.057311396320756,5.004662036895752
149,149,25.14939424746611,5.741532325744629
150,150,24.272053481879013,5.201035499572754
151,151,24.43488888438554,5.3476386070251465
152,152,25.02253447272862,5.849327087402344
153,153,25.488031218358035,6.327059268951416
154,154,25.51177503357717,5.997986793518066
155,155,26.25443587383666,6.194348335266113
156,156,25.34721154804303,5.815131187438965
157,157,25.86091806874198,4.746853351593018
158,158,27.533674860622227,5.898161888122559
159,159,24.727792437184167,5.350124835968018
160,160,21.991802818328406,5.275073528289795
161,161,20.038026162806034,5.071451663970947
162,162,18.803058091675243,4.536858558654785
163,163,19.73519522534991,5.3362202644348145
164,164,22.12769206222583,5.440453052520752
165,165,23.9714350731309,4.989157199859619
166,166,24.786944096511533,5.586790561676025
167,167,24.587591089199428,6.052083969116211
