sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE2_fixed_lowlambda_expanded1344,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE2_fixed_lowlambda_expanded1344,pd_winner_before,pd_winner_after_candidateE2_fixed_lowlambda_expanded1344,mt_winner_before,mt_winner_after_candidateE2_fixed_lowlambda_expanded1344,was_mt_gan_win_before
44,44,19.781150575177055,13.855413188888303,19.955321844430376,6.20600700378418,7.041088581085205,6.35176420211792,gan,gan,cnn,cnn,0
45,45,20.528037851461004,13.609391097429418,20.583604147847062,6.566225528717041,6.773196697235107,6.74108362197876,gan,gan,cnn,cnn,0
46,46,20.678325640697178,16.27228595124608,20.72575148821811,6.243154048919678,6.650214672088623,6.234667778015137,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
47,47,22.201753073772625,13.108895112859523,22.26373060014277,6.789880752563477,7.498397350311279,6.402536869049072,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
48,48,22.832495463547907,13.107025960847848,22.87664731101704,7.081502437591553,6.682991981506348,6.706212043762207,gan,gan,gan,gan,1
49,49,22.105793975200847,13.662675111493924,22.230112560181816,6.3195295333862305,7.889017105102539,6.427304267883301,gan,gan,cnn,cnn,0
50,50,21.30877833114525,14.865452226211227,21.192854338122274,6.3856120109558105,6.713321685791016,6.29347562789917,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
51,51,21.75849079768097,16.03686368056312,21.716612913023148,5.902731418609619,7.996896266937256,5.883444786071777,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
52,52,21.81632996072092,16.98731478928289,21.915507824908353,5.69123649597168,7.0050048828125,5.773189067840576,gan,gan,cnn,cnn,0
53,53,21.92458068590406,18.078201501754,21.74294166950984,5.261850833892822,7.919146537780762,5.405754089355469,gan,gan,cnn,cnn,0
54,54,22.97915159360149,18.305326668249773,22.854985839988487,5.500187397003174,9.581897735595703,6.015250205993652,gan,gan,cnn,cnn,0
55,55,23.57536347476084,17.428151978200873,23.36202186790886,5.2683796882629395,7.846588134765625,5.322520732879639,gan,gan,cnn,cnn,0
56,56,24.24948793523431,17.584091876726443,24.014168351771147,5.488292217254639,7.826909065246582,5.684354305267334,gan,gan,cnn,cnn,0
57,57,24.937493176964292,18.354637384973643,24.517915176492355,5.463809013366699,6.805661201477051,5.321061134338379,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
58,58,25.56121844001433,18.762904108038654,25.27926418517732,6.08959436416626,8.349846839904785,6.030209064483643,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
59,59,25.864386079507888,18.65101850934172,25.401594888749166,5.546851634979248,7.89148473739624,5.155322551727295,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
60,60,25.964725332360167,18.604905025455473,25.53594152975712,5.321651458740234,8.357301712036133,5.238323211669922,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
61,61,25.73100039673249,19.516031588862035,25.458953401610334,5.346891403198242,8.12722110748291,5.292846202850342,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
62,62,27.46350343812835,17.993686869301147,27.089302047323283,6.720277786254883,6.650205135345459,6.3359785079956055,gan,gan,gan,candidateE2_fixed_lowlambda_expanded1344,1
63,63,28.524583670890912,18.199751597271156,27.995335348045494,7.660599708557129,7.5776286125183105,6.725894927978516,gan,gan,gan,candidateE2_fixed_lowlambda_expanded1344,1
64,64,24.7100597287657,16.701032359601633,24.296883850630785,5.944510459899902,7.137726306915283,5.640061378479004,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
65,65,22.148883751156426,16.23947552161985,21.787044563626115,5.820770263671875,5.576780319213867,5.354370594024658,gan,gan,gan,candidateE2_fixed_lowlambda_expanded1344,1
66,66,20.981857591368968,15.979342195015368,20.691529424979173,5.701828956604004,6.4086198806762695,5.339639186859131,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
67,67,20.679919922717943,14.773695042869097,20.34493392419155,5.030301094055176,6.6433844566345215,4.624192237854004,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
68,68,21.77134223692748,15.500930745161975,21.543153331468755,6.074338436126709,5.670867919921875,5.787060737609863,gan,gan,gan,gan,1
69,69,24.168055816700438,16.112222498232782,23.98403763311895,5.17050838470459,6.406604290008545,5.024712562561035,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
70,70,24.673819113934496,19.882401938586153,24.441904809406743,5.396136283874512,5.861793041229248,5.236876487731934,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
71,71,25.505047306429027,18.465741214218955,25.119106317369795,5.1588335037231445,7.186563014984131,5.073815822601318,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
72,72,26.514111621573456,19.679320844931677,26.024846508365126,4.796044826507568,5.719583988189697,4.57520866394043,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
73,73,27.001473804134946,19.399004976672177,26.521324521489856,4.9851861000061035,5.75114631652832,4.9734206199646,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
74,74,28.28963162272453,20.10959212403172,27.67029023589145,4.782100200653076,5.644299030303955,4.6927056312561035,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
75,75,29.367383683723347,19.74885298310355,28.839904407448202,5.201173305511475,5.680557727813721,5.165040493011475,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
76,76,30.056769521251926,20.225713244111034,29.424288599652797,5.207019329071045,6.450347900390625,5.275936603546143,gan,gan,cnn,cnn,0
77,77,29.944664675564518,20.353338072506904,29.272218107302262,6.132026672363281,6.000014781951904,5.682769775390625,gan,gan,gan,candidateE2_fixed_lowlambda_expanded1344,1
78,78,30.300511724579902,19.95492094933438,29.549228427443808,5.8028388023376465,7.092807292938232,5.315710544586182,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
79,79,30.148051358309164,20.321240211337894,29.50069065336447,6.856454849243164,6.467032432556152,6.243238925933838,gan,gan,gan,candidateE2_fixed_lowlambda_expanded1344,1
80,80,30.086252753371088,20.744918439924255,29.393497323051932,6.982686519622803,6.176682472229004,6.089162826538086,gan,gan,gan,candidateE2_fixed_lowlambda_expanded1344,1
81,81,29.68907403762892,20.982889067881906,28.88273993008567,6.426537990570068,7.567525863647461,6.253402233123779,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
82,82,28.90089773637945,20.81634708740007,28.32437010196658,7.1840739250183105,6.303605079650879,6.472146987915039,gan,gan,gan,gan,1
83,83,28.194313716720707,21.794751727168247,27.415700549287667,6.560110569000244,6.599743366241455,6.04641056060791,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
84,84,29.14514380262554,21.106373639070085,28.436347095296565,5.271510124206543,8.559276580810547,5.226607322692871,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
85,85,28.72250736297703,20.7490839418831,28.076073561083955,5.609640121459961,7.718591690063477,5.204665660858154,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
86,86,29.195361276159034,18.84606490909817,28.50583330127812,5.25334358215332,9.43416690826416,5.0631632804870605,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
87,87,29.611902358359767,19.024115372275585,28.962114500749372,6.509652614593506,7.174471855163574,5.962045192718506,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
88,88,26.37509421416108,18.396084436387564,25.923285643086395,6.411813259124756,6.487721920013428,5.707480430603027,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
89,89,24.29846982632471,17.197907308437554,23.84472581271382,6.017302513122559,6.256072521209717,5.71398401260376,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
90,90,22.206834090995343,17.32676746960286,21.900270730109927,5.257880687713623,5.663510322570801,5.247814655303955,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
91,91,22.30942508877806,16.266054339767617,21.979770581486417,5.508337497711182,5.519831657409668,5.352302551269531,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
92,92,22.07932597419188,16.807703363287136,21.818459414605925,5.735818386077881,5.677903175354004,5.533706188201904,gan,gan,gan,candidateE2_fixed_lowlambda_expanded1344,1
93,93,24.402894658345392,18.13548367922437,24.32286995130065,6.506997585296631,6.816009521484375,6.4197492599487305,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
94,94,24.570031527820365,20.006869187749356,24.573114260458468,5.102908611297607,6.517361164093018,5.256360054016113,gan,gan,cnn,cnn,0
95,95,26.879696075655563,20.637912890931716,26.852272974131925,5.015480041503906,6.677723407745361,5.059547424316406,gan,gan,cnn,cnn,0
96,96,28.904715116511554,22.25070627382419,28.973110886065268,5.121858596801758,7.258078575134277,5.096860408782959,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
97,97,30.15308546680866,22.202351461270364,30.046790743207207,5.011539936065674,7.223494529724121,4.733675956726074,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
98,98,31.264551411001506,23.055714774434993,31.160713087986213,4.942448139190674,8.764951705932617,5.27918004989624,gan,gan,cnn,cnn,0
99,99,30.940933752807226,20.998202000997363,30.712449054154344,5.342334747314453,7.760592460632324,5.361037254333496,gan,gan,cnn,cnn,0
100,100,31.181555022619012,20.891681214618057,30.805484953353385,5.912055015563965,7.617006778717041,5.7116289138793945,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
101,101,30.40796712150836,20.937383941054357,30.145216715679684,5.357294082641602,7.0666680335998535,5.246460914611816,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
102,102,29.254680859214627,20.257793175726828,28.987981514063854,5.164434909820557,8.231893539428711,5.151859283447266,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
103,103,29.507549938987374,20.69051451494371,29.251710660950334,5.102769374847412,6.314839839935303,5.053034782409668,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
104,104,29.173745320955113,20.12992358587829,28.91988419990338,4.829194068908691,7.393864154815674,4.773934841156006,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
105,105,29.338582011466166,19.283104237304943,29.08557742276155,5.33697509765625,6.823482513427734,5.396485805511475,gan,gan,cnn,cnn,0
