sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateC_expanded1344,mt_distance_cnn,mt_distance_gan,mt_distance_candidateC_expanded1344,pd_winner_before,pd_winner_after_candidateC_expanded1344,mt_winner_before,mt_winner_after_candidateC_expanded1344,was_mt_gan_win_before
60,60,25.964725332360167,18.604905025455473,21.723648413547448,5.321651458740234,8.357301712036133,7.045806407928467,gan,gan,cnn,cnn,0
61,61,25.73100039673249,19.516031588862035,22.080089697825837,5.346891403198242,8.12722110748291,6.002017974853516,gan,gan,cnn,cnn,0
62,62,27.46350343812835,17.993686869301147,23.481314319998692,6.720277786254883,6.650205135345459,6.647908687591553,gan,gan,gan,candidateC_expanded1344,1
63,63,28.524583670890912,18.199751597271156,24.306272176789175,7.660599708557129,7.5776286125183105,7.651425361633301,gan,gan,gan,gan,1
64,64,24.7100597287657,16.701032359601633,20.609218018003734,5.944510459899902,7.137726306915283,5.909665584564209,gan,gan,cnn,candidateC_expanded1344,0
65,65,22.148883751156426,16.23947552161985,18.74840122695968,5.820770263671875,5.576780319213867,5.948667526245117,gan,gan,gan,gan,1
66,66,20.981857591368968,15.979342195015368,17.26849308019605,5.701828956604004,6.4086198806762695,5.808671951293945,gan,gan,cnn,cnn,0
67,67,20.679919922717943,14.773695042869097,16.304154622953444,5.030301094055176,6.6433844566345215,4.855058670043945,gan,gan,cnn,candidateC_expanded1344,0
68,68,21.77134223692748,15.500930745161975,16.634890681632452,6.074338436126709,5.670867919921875,5.403640270233154,gan,gan,gan,candidateC_expanded1344,1
69,69,24.168055816700438,16.112222498232782,18.908912926877974,5.17050838470459,6.406604290008545,5.243794918060303,gan,gan,cnn,cnn,0
70,70,24.673819113934496,19.882401938586153,19.401367333548063,5.396136283874512,5.861793041229248,5.408352851867676,gan,candidateC_expanded1344,cnn,cnn,0
71,71,25.505047306429027,18.465741214218955,19.918603343444616,5.1588335037231445,7.186563014984131,6.282496929168701,gan,gan,cnn,cnn,0
72,72,26.514111621573456,19.679320844931677,21.807587945194854,4.796044826507568,5.719583988189697,5.101051330566406,gan,gan,cnn,cnn,0
73,73,27.001473804134946,19.399004976672177,22.8567419525576,4.9851861000061035,5.75114631652832,5.941871166229248,gan,gan,cnn,cnn,0
74,74,28.28963162272453,20.10959212403172,23.827755614751222,4.782100200653076,5.644299030303955,5.642597675323486,gan,gan,cnn,cnn,0
75,75,29.367383683723347,19.74885298310355,24.209357865096692,5.201173305511475,5.680557727813721,5.917943000793457,gan,gan,cnn,cnn,0
76,76,30.056769521251926,20.225713244111034,25.440711406193138,5.207019329071045,6.450347900390625,5.67141056060791,gan,gan,cnn,cnn,0
77,77,29.944664675564518,20.353338072506904,25.244940688135745,6.132026672363281,6.000014781951904,5.541139125823975,gan,gan,gan,candidateC_expanded1344,1
78,78,30.300511724579902,19.95492094933438,25.363263524372677,5.8028388023376465,7.092807292938232,5.785485744476318,gan,gan,cnn,candidateC_expanded1344,0
79,79,30.148051358309164,20.321240211337894,26.06651596780685,6.856454849243164,6.467032432556152,6.024439811706543,gan,gan,gan,candidateC_expanded1344,1
80,80,30.086252753371088,20.744918439924255,25.665427250331454,6.982686519622803,6.176682472229004,5.8024702072143555,gan,gan,gan,candidateC_expanded1344,1
81,81,29.68907403762892,20.982889067881906,25.66688808995898,6.426537990570068,7.567525863647461,5.288098335266113,gan,gan,cnn,candidateC_expanded1344,0
82,82,28.90089773637945,20.81634708740007,25.461801914571986,7.1840739250183105,6.303605079650879,5.9932332038879395,gan,gan,gan,candidateC_expanded1344,1
83,83,28.194313716720707,21.794751727168247,24.706451129726666,6.560110569000244,6.599743366241455,5.48349142074585,gan,gan,cnn,candidateC_expanded1344,0
84,84,29.14514380262554,21.106373639070085,25.331825271338587,5.271510124206543,8.559276580810547,5.78054666519165,gan,gan,cnn,cnn,0
85,85,28.72250736297703,20.7490839418831,24.78999222566788,5.609640121459961,7.718591690063477,5.506434917449951,gan,gan,cnn,candidateC_expanded1344,0
86,86,29.195361276159034,18.84606490909817,25.324223474465022,5.25334358215332,9.43416690826416,5.649367332458496,gan,gan,cnn,cnn,0
87,87,29.611902358359767,19.024115372275585,25.635585051619607,6.509652614593506,7.174471855163574,6.8404669761657715,gan,gan,cnn,cnn,0
88,88,26.37509421416108,18.396084436387564,22.493826267897465,6.411813259124756,6.487721920013428,6.494276523590088,gan,gan,cnn,cnn,0
