,time,avg_pow
98,2024-09-05 02:00:00,841486.7859059881
99,2024-09-05 03:00:00,794841.1228275782
100,2024-09-05 04:00:00,775985.886627149
101,2024-09-05 05:00:00,764445.7596782761
102,2024-09-05 06:00:00,772841.2228492862
103,2024-09-05 07:00:00,758991.3292869083
104,2024-09-05 08:00:00,732049.9375720551
105,2024-09-05 09:00:00,726414.9227985668
106,2024-09-05 10:00:00,744343.2161082777
107,2024-09-05 11:00:00,731983.1479655452
108,2024-09-05 12:00:00,768289.3328156244
109,2024-09-05 13:00:00,795536.9565547458
110,2024-09-05 14:00:00,801775.3590215188
111,2024-09-05 15:00:00,723443.3943453571
112,2024-09-05 16:00:00,659764.8436015559
113,2024-09-05 17:00:00,674131.4560785023
114,2024-09-05 18:00:00,664373.1026338838
115,2024-09-05 19:00:00,698816.6551131553
116,2024-09-05 20:00:00,737082.1315602307
117,2024-09-05 21:00:00,762685.9602712403
118,2024-09-05 22:00:00,663427.9957247766
119,2024-09-05 23:00:00,688565.6584454621
120,2024-09-06 00:00:00,645672.4802042975
121,2024-09-06 01:00:00,612590.4227335426
122,2024-09-06 02:00:00,621812.1986257071
123,2024-09-06 03:00:00,629144.4911281404
124,2024-09-06 04:00:00,686956.8481956507
125,2024-09-06 05:00:00,724129.5800559826
126,2024-09-06 06:00:00,741531.4289255998
127,2024-09-06 07:00:00,727911.7309507468
128,2024-09-06 08:00:00,674411.4599692492
129,2024-09-06 09:00:00,645507.6568071627
130,2024-09-06 10:00:00,668692.208121266
131,2024-09-06 11:00:00,633931.1876974383
132,2024-09-06 12:00:00,601315.9757189598
133,2024-09-06 13:00:00,599837.231754369
134,2024-09-06 14:00:00,604356.4218374479
135,2024-09-06 15:00:00,631426.0054984046
136,2024-09-06 16:00:00,582507.8489981291
137,2024-09-06 17:00:00,534350.8137241628
138,2024-09-06 18:00:00,462348.12028802105
139,2024-09-06 19:00:00,417547.39750697167
140,2024-09-06 20:00:00,357541.7768933518
141,2024-09-06 21:00:00,330035.75154863705
142,2024-09-06 22:00:00,358953.5980773193
143,2024-09-06 23:00:00,327890.7054874616
144,2024-09-07 00:00:00,278066.63842012145
145,2024-09-07 01:00:00,338948.1238738936
146,2024-09-07 02:00:00,572455.9326784675
147,2024-09-07 03:00:00,587572.3618545502
148,2024-09-07 04:00:00,590112.635471317
149,2024-09-07 05:00:00,591352.7119839814
150,2024-09-07 06:00:00,597845.7373406723
151,2024-09-07 07:00:00,597038.3059689678
152,2024-09-07 08:00:00,594513.7955118732
153,2024-09-07 09:00:00,597126.4247747246
154,2024-09-07 10:00:00,597456.2910215829
155,2024-09-07 11:00:00,597419.057355929
156,2024-09-07 12:00:00,655678.6409490637
157,2024-09-07 13:00:00,687652.2570397742
158,2024-09-07 14:00:00,689305.75497256
159,2024-09-07 15:00:00,684136.0620165139
