method,sample_idx,psnr,wpd_bias,wpd_mae,wpd_rmse,wpd_w1,psd_log_l2,psd_slope_gt,psd_slope_sr,psd_slope_delta,psd_slope_abs_delta,grad_mae,grad_w1,grad_kurtosis_gt,grad_kurtosis_sr,grad_kurtosis_delta,grad_kurtosis_abs_delta,exceed_frac_gt_t5,exceed_frac_sr_t5,exceed_frac_delta_t5,exceed_frac_abs_delta_t5,exceed_frac_gt_t10,exceed_frac_sr_t10,exceed_frac_delta_t10,exceed_frac_abs_delta_t10,exceed_frac_gt_t15,exceed_frac_sr_t15,exceed_frac_delta_t15,exceed_frac_abs_delta_t15,exceed_frac_gt_p90,exceed_frac_sr_p90,exceed_frac_delta_p90,exceed_frac_abs_delta_p90,exceed_frac_gt_p95,exceed_frac_sr_p95,exceed_frac_delta_p95,exceed_frac_abs_delta_p95,exceed_frac_gt_p99,exceed_frac_sr_p99,exceed_frac_delta_p99,exceed_frac_abs_delta_p99,key,pd_distance,mt_distance,ssim
cnn,25,32.551973374121204,-39.67846369025563,468.59253760146345,952.8549385654705,71.63690084844687,1.175332261792815,1.302439309306081,0.7381436960157041,-0.564295613290377,0.564295613290377,0.46351786527523126,0.3306580306655405,29.87729426144925,39.144761590635106,9.267467329185855,9.267467329185855,0.966664,0.970968,0.0043040000000000855,0.0043040000000000855,0.69522,0.70292,0.00770000000000004,0.00770000000000004,0.297728,0.299848,0.0021200000000000108,0.0021200000000000108,0.1,0.094896,-0.005104000000000011,0.005104000000000011,0.05,0.03904,-0.010960000000000004,0.010960000000000004,0.01,0.004324,-0.0056760000000000005,0.0056760000000000005,cnn_s25_speed_p160_x0_y0,36.58411526021696,11.371563911437988,0.5231426682354472
cnn,26,32.65715000253616,-51.66391057425702,511.00649161371325,982.453358459747,70.91288726630188,1.2057423546362682,1.36343181145653,0.9339335608313717,-0.42949825062515834,0.42949825062515834,0.4935715500222092,0.33892274107495224,30.074899373935402,31.0759991446898,1.0010997707543972,1.0010997707543972,0.973664,0.977564,0.0039000000000000146,0.0039000000000000146,0.694832,0.699092,0.0042600000000000415,0.0042600000000000415,0.281388,0.281652,0.00026399999999998647,0.00026399999999998647,0.1,0.098968,-0.0010320000000000051,0.0010320000000000051,0.05,0.037188,-0.012812000000000004,0.012812000000000004,0.01,0.00258,-0.00742,0.00742,cnn_s26_speed_p160_x0_y0,35.02599363200026,7.043282985687256,0.5191432035272462
cnn,27,32.43554725561233,-38.12872132907133,539.2322537921307,1075.806699306839,68.37386644919721,1.0338251268491814,1.4301850683749284,0.8402521985068162,-0.5899328698681122,0.5899328698681122,0.502052729104065,0.32916734875855846,30.553059026435648,34.957736202170125,4.404677175734477,4.404677175734477,0.973756,0.979836,0.006080000000000085,0.006080000000000085,0.6991,0.705464,0.006363999999999925,0.006363999999999925,0.259612,0.256308,-0.003304000000000029,0.003304000000000029,0.1,0.101964,0.0019639999999999935,0.0019639999999999935,0.05,0.044196,-0.005804000000000004,0.005804000000000004,0.01,0.005568,-0.004432,0.004432,cnn_s27_speed_p160_x0_y0,36.89696946573002,6.4783101081848145,0.5455050057267327
cnn,28,32.39861919012853,-40.40806193198708,499.8231641258566,979.0243041280014,65.45114687293683,1.025674076311513,1.3816553585843958,0.8598363475897968,-0.521819010994599,0.521819010994599,0.4856880705704119,0.33174486955070287,31.30021162000042,25.834257798600074,-5.465953821400348,5.465953821400348,0.975776,0.980836,0.0050600000000000644,0.0050600000000000644,0.6937,0.69752,0.0038200000000000456,0.0038200000000000456,0.251436,0.24662,-0.004815999999999987,0.004815999999999987,0.1,0.097332,-0.0026680000000000037,0.0026680000000000037,0.05,0.044252,-0.005748000000000003,0.005748000000000003,0.01,0.005456,-0.004544,0.004544,cnn_s28_speed_p160_x0_y0,38.33189346230645,7.210402011871338,0.5493210205946714
cnn,29,32.77239492835451,-26.169729443212475,471.3270377630293,957.4354611822343,47.41525503169682,0.9228290696278139,1.458995885035728,0.8051884789267718,-0.6538074061089563,0.6538074061089563,0.4766164514857466,0.3028223590577397,31.01819154924459,28.692283267729287,-2.3259082815153036,2.3259082815153036,0.974032,0.979144,0.005112000000000005,0.005112000000000005,0.702372,0.708828,0.006456000000000017,0.006456000000000017,0.247508,0.241484,-0.006024000000000002,0.006024000000000002,0.1,0.097128,-0.0028719999999999996,0.0028719999999999996,0.05,0.04946,-0.0005400000000000058,0.0005400000000000058,0.01,0.008584,-0.0014160000000000006,0.0014160000000000006,cnn_s29_speed_p160_x0_y0,38.84347398326436,6.963974952697754,0.5706943453302812
cnn,30,33.05434940011379,-22.75783955756376,438.71927618828465,952.1856816491994,47.534778654148276,0.9346884955902305,1.5074900912917104,0.9048070144650043,-0.6026830768267061,0.6026830768267061,0.46673511929422323,0.3056893123209824,31.765399477195576,33.458716762467155,1.6933172852715792,1.6933172852715792,0.974988,0.976996,0.0020080000000000098,0.0020080000000000098,0.708288,0.716668,0.008379999999999943,0.008379999999999943,0.23394,0.233364,-0.0005760000000000209,0.0005760000000000209,0.1,0.0917,-0.008300000000000002,0.008300000000000002,0.05,0.04428,-0.005720000000000003,0.005720000000000003,0.01,0.008864,-0.0011359999999999999,0.0011359999999999999,cnn_s30_speed_p160_x0_y0,39.94080457344863,8.127463340759277,0.5959090966970294
cnn,31,32.90329769043908,-15.67100064092977,409.8108667034604,868.8148701848337,45.27174895209974,0.9510075024444029,1.5549593252563907,1.0169791840577502,-0.5379801411986405,0.5379801411986405,0.4604744525880125,0.2948960421955272,30.08197901220304,29.562198083418004,-0.5197809287850355,0.5197809287850355,0.973648,0.974812,0.0011640000000000539,0.0011640000000000539,0.701956,0.709004,0.007047999999999943,0.007047999999999943,0.204312,0.197444,-0.006867999999999985,0.006867999999999985,0.1,0.095004,-0.0049960000000000004,0.0049960000000000004,0.05,0.039852,-0.010148000000000004,0.010148000000000004,0.01,0.007864,-0.0021360000000000007,0.0021360000000000007,cnn_s31_speed_p160_x0_y0,39.104318483733294,6.818642616271973,0.5933565142986378
cnn,32,33.02557990556471,-5.9519138969735,385.69790253652036,852.2134222710496,37.29522908616093,1.0390081069692407,1.6310854899128304,1.0721674246862967,-0.5589180652265338,0.5589180652265338,0.44980215489013164,0.2879616333957816,29.079297963010763,33.05644844994937,3.9771504869386085,3.9771504869386085,0.9738,0.97506,0.0012600000000000389,0.0012600000000000389,0.69454,0.696732,0.0021919999999999717,0.0021919999999999717,0.196372,0.193844,-0.0025280000000000025,0.0025280000000000025,0.1,0.095104,-0.0048960000000000115,0.0048960000000000115,0.05,0.044364,-0.005636000000000002,0.005636000000000002,0.01,0.008048,-0.0019520000000000006,0.0019520000000000006,cnn_s32_speed_p160_x0_y0,38.55925876668554,7.461033821105957,0.6141962458916969
cnn,33,33.13841166027277,-15.843431562956813,352.71875426421553,764.751857341383,39.744213044836684,1.1318069454482156,1.7707978373166178,1.3237611536788798,-0.44703668363773796,0.44703668363773796,0.4413939123562078,0.29505791064170783,29.01807613165482,28.590092880387232,-0.4279832512675874,0.4279832512675874,0.974272,0.97786,0.0035879999999999246,0.0035879999999999246,0.69958,0.705068,0.005488000000000048,0.005488000000000048,0.185896,0.179244,-0.006652000000000019,0.006652000000000019,0.1,0.094344,-0.005656000000000008,0.005656000000000008,0.05,0.038972,-0.011028000000000003,0.011028000000000003,0.01,0.008352,-0.0016480000000000002,0.0016480000000000002,cnn_s33_speed_p160_x0_y0,38.39305861348763,6.76971960067749,0.6291099541721126
cnn,34,33.07202844590628,-20.135932132371156,347.5407834638081,741.5300760175506,46.251136668676736,1.2791768655847573,1.9244758651555438,1.7604233117357913,-0.16405255341975256,0.16405255341975256,0.4382239262492533,0.2876658748467998,25.496765388692065,25.362162435489704,-0.1346029532023607,0.1346029532023607,0.973012,0.979476,0.006464000000000025,0.006464000000000025,0.7057,0.713092,0.007391999999999954,0.007391999999999954,0.189488,0.180824,-0.008663999999999977,0.008663999999999977,0.1,0.091,-0.009000000000000008,0.009000000000000008,0.05,0.03652,-0.013480000000000006,0.013480000000000006,0.01,0.008724,-0.0012759999999999994,0.0012759999999999994,cnn_s34_speed_p160_x0_y0,37.356416104450325,6.323113918304443,0.6229292723566594
