sample_idx,method_a,method_b,delta_sample_idx,delta_psnr,delta_wpd_bias,delta_wpd_mae,delta_wpd_rmse,delta_wpd_w1,delta_psd_log_l2,delta_psd_slope_gt,delta_psd_slope_sr,delta_psd_slope_delta,delta_psd_slope_abs_delta,delta_grad_mae,delta_grad_w1,delta_grad_kurtosis_gt,delta_grad_kurtosis_sr,delta_grad_kurtosis_delta,delta_grad_kurtosis_abs_delta,delta_exceed_frac_gt_t5,delta_exceed_frac_sr_t5,delta_exceed_frac_delta_t5,delta_exceed_frac_abs_delta_t5,delta_exceed_frac_gt_t10,delta_exceed_frac_sr_t10,delta_exceed_frac_delta_t10,delta_exceed_frac_abs_delta_t10,delta_exceed_frac_gt_t15,delta_exceed_frac_sr_t15,delta_exceed_frac_delta_t15,delta_exceed_frac_abs_delta_t15,delta_exceed_frac_gt_p90,delta_exceed_frac_sr_p90,delta_exceed_frac_delta_p90,delta_exceed_frac_abs_delta_p90,delta_exceed_frac_gt_p95,delta_exceed_frac_sr_p95,delta_exceed_frac_delta_p95,delta_exceed_frac_abs_delta_p95,delta_exceed_frac_gt_p99,delta_exceed_frac_sr_p99,delta_exceed_frac_delta_p99,delta_exceed_frac_abs_delta_p99,delta_pd_distance,delta_mt_distance,delta_ssim
127,cnn,gan,0.0,2.0750441520013965,-124.2532730795373,-87.43323373679453,-145.31496835389828,4.596416364943565,-0.0766226986199553,0.0,0.17294845184253999,0.17294845184253993,-0.17294845184253993,-0.02892820348950681,0.17230964946894528,0.0,-6.904423989011455,-6.904423989011455,-6.904423989011455,0.0,-0.0005479999999999929,-0.0005479999999999929,-0.0005479999999999929,0.0,-0.025992000000000015,-0.025992000000000015,-0.020087999999999884,0.0,-0.015151999999999999,-0.015151999999999999,0.00519200000000003,0.0,-0.012787999999999994,-0.012787999999999994,0.0010360000000000091,0.0,-0.011715999999999997,-0.011715999999999997,0.004924000000000005,0.0,-0.0044800000000000005,-0.0044800000000000005,0.0044800000000000005,5.144634138113606,-7.9594268798828125,0.10755880410722646
128,cnn,gan,0.0,2.048905170822824,-155.9468074888791,-101.9450786843999,-183.7994694057329,-4.678388199953844,0.030608877184851835,0.0,0.22790220684841478,0.2279022068484149,-0.2279022068484149,-0.03241930742815796,0.1779632276236827,0.0,-4.82996237678649,-4.82996237678649,-4.82996237678649,0.0,-0.0017439999999999678,-0.0017439999999999678,-0.0017439999999999678,0.0,-0.023963999999999985,-0.023963999999999985,-0.023963999999999985,0.0,-0.02199599999999996,-0.02199599999999996,-0.0013880000000000003,0.0,-0.014724000000000001,-0.014724000000000001,0.0033240000000000075,0.0,-0.016335999999999996,-0.016335999999999996,0.0034240000000000034,0.0,-0.006148000000000001,-0.006148000000000001,0.004788000000000001,5.076671104988229,-1.8067193031311035,0.08438760041227283
129,cnn,gan,0.0,2.009662420169054,-167.45686546793524,-100.56679976948658,-208.92151092675783,-15.86059571405336,0.14426507264095545,0.0,0.22802078899948464,0.22802078899948464,-0.22802078899948464,-0.02862362210148045,0.19464051569377988,0.0,-1.356853633569358,-1.356853633569358,-1.356853633569358,0.0,-0.0018159999999999288,-0.0018159999999999288,-0.0018159999999999288,0.0,-0.02938799999999997,-0.02938799999999997,-0.018091999999999997,0.0,-0.018440000000000012,-0.018440000000000012,-0.001960000000000073,0.0,-0.015212000000000003,-0.015212000000000003,-0.0006519999999999859,0.0,-0.014171999999999997,-0.014171999999999997,0.0006360000000000046,0.0,-0.005607999999999999,-0.005607999999999999,0.005607999999999999,5.255362053582768,-3.9656615257263184,0.10476845752024672
130,cnn,gan,0.0,2.04625084785998,-188.9011693631747,-113.42174844799746,-276.764993237722,-18.83013408359365,0.1500839992488049,0.0,0.18805641341346824,0.18805641341346835,-0.18805641341346835,-0.03392056697160167,0.20264899819656557,0.0,-5.226994664078255,-5.226994664078255,-5.226994664078255,0.0,0.0008519999999999639,0.0008519999999999639,0.0008519999999999639,0.0,-0.03421199999999991,-0.03421199999999991,-0.02560399999999996,0.0,-0.01618799999999998,-0.01618799999999998,-0.0046519999999999895,0.0,-0.022344000000000003,-0.022344000000000003,-0.0048639999999999795,0.0,-0.016919999999999998,-0.016919999999999998,0.002592000000000004,0.0,-0.006576,-0.006576,0.002888,6.490211588256553,-5.7041802406311035,0.07613100796354655
131,cnn,gan,0.0,1.9041624010562366,-203.37474302436783,-109.14730356450383,-280.33950213637036,-30.11281594053071,0.32979169223605054,0.0,0.3674643444360438,0.3674643444360437,-0.3674643444360437,-0.029042892894577232,0.21008406587811262,0.0,-3.2275143430189814,-3.2275143430189814,-3.2275143430189814,0.0,0.0006519999999999859,0.0006519999999999859,0.0006519999999999859,0.0,-0.02890399999999993,-0.02890399999999993,-0.02890399999999993,0.0,-0.022067999999999977,-0.022067999999999977,-0.0045399999999999885,0.0,-0.02619600000000001,-0.02619600000000001,0.0007160000000000083,0.0,-0.02216,-0.02216,0.0052320000000000005,0.0,-0.004984,-0.004984,-0.00012799999999999877,7.820440760823885,-5.808531761169434,0.06985853975907819
132,cnn,gan,0.0,1.898048295421983,-216.06875606431242,-116.64841111734512,-274.31045176763257,-33.30609372406822,0.3933942773317351,0.0,0.41967748352622825,0.41967748352622825,-0.41967748352622825,-0.03753234600207761,0.2201899824940584,0.0,-3.3384369827347413,-3.3384369827347413,-3.3384369827347413,0.0,0.0018000000000000238,0.0018000000000000238,0.0018000000000000238,0.0,-0.030047999999999964,-0.030047999999999964,-0.028031999999999946,0.0,-0.030447999999999975,-0.030447999999999975,-0.008952000000000016,0.0,-0.03022000000000001,-0.03022000000000001,0.010740000000000013,0.0,-0.016056,-0.016056,0.012448,0.0,-0.005812,-0.005812,0.0044280000000000005,8.018594916640794,-6.05672025680542,0.07923297597374701
133,cnn,gan,0.0,1.741105425299601,-241.1189520304195,-118.19809648220462,-294.35944067979824,-52.87313783058565,0.4708880748578934,0.0,0.5330027204419159,0.5330027204419159,-0.5330027204419159,-0.034250790350619176,0.2277860180329016,0.0,-0.7535894726146921,-0.7535894726146921,-0.7535894726146921,0.0,0.0042399999999999105,0.0042399999999999105,0.0042399999999999105,0.0,-0.03684399999999999,-0.03684399999999999,-0.032187999999999994,0.0,-0.032596000000000014,-0.032596000000000014,-0.009035999999999988,0.0,-0.025300000000000003,-0.025300000000000003,0.004572000000000007,0.0,-0.021764,-0.021764,0.00862000000000001,0.0,-0.006744,-0.006744,0.004104,8.92819673201533,-1.347501277923584,0.08981819590595297
134,cnn,gan,0.0,2.096018304414809,-253.10335616886076,-143.45296067047525,-379.90253221332296,-98.57039273391746,0.5740880459135395,0.0,0.6802147580809252,0.6802147580809252,-0.6802147580809252,-0.04738897406526715,0.21531268805602333,0.0,-0.02773689799863277,-0.02773689799863277,-0.02773689799863277,0.0,0.005491999999999941,0.005491999999999941,0.005491999999999941,0.0,-0.036255999999999955,-0.036255999999999955,-0.03596799999999989,0.0,-0.03738400000000003,-0.03738400000000003,-0.01479999999999998,0.0,-0.024688,-0.024688,-0.006855999999999987,0.0,-0.015032000000000004,-0.015032000000000004,-0.002447999999999992,0.0,-0.006855999999999999,-0.006855999999999999,0.006008000000000001,9.478339292481586,-6.135213851928711,0.08387814784783032
135,cnn,gan,0.0,2.251684837638834,-239.84101288913,-128.88836932192652,-329.03431372487967,-95.77744016379324,0.4387338616562684,0.0,0.5535939949533775,0.5535939949533775,-0.5535939949533775,-0.04889455342147142,0.19202980201190828,0.0,-2.386560753901527,-2.386560753901527,-2.386560753901527,0.0,-0.0016960000000000308,-0.0016960000000000308,-0.0016960000000000308,0.0,-0.038959999999999995,-0.038959999999999995,-0.037567999999999935,0.0,-0.03269999999999995,-0.03269999999999995,-0.015652,0.0,-0.022272,-0.022272,-0.0006159999999999916,0.0,-0.015975999999999997,-0.015975999999999997,0.0029520000000000032,0.0,-0.005596,-0.005596,0.0030039999999999997,9.44148604242849,-5.694131374359131,0.09205202282596825
136,cnn,gan,0.0,2.2543534414827384,-231.30260084373256,-121.4315241862464,-253.95234049823182,-91.66709096343823,0.3047540396591296,0.0,0.436741751684418,0.43674175168441787,-0.43674175168441787,-0.038564777404224704,0.18842142006602974,0.0,-1.6240938942839094,-1.6240938942839094,-1.6240938942839094,0.0,-0.0020879999999999788,-0.0020879999999999788,-0.0020879999999999788,0.0,-0.030591999999999953,-0.030591999999999953,-0.030591999999999953,0.0,-0.035851999999999995,-0.035851999999999995,-0.012508000000000075,0.0,-0.022227999999999998,-0.022227999999999998,-0.002123999999999987,0.0,-0.016431999999999995,-0.016431999999999995,0.0011920000000000056,0.0,-0.004104,-0.004104,0.004104,8.12090746269578,-0.21828317642211914,0.10006432577421787
