method,key,pd_distance,mt_distance,error,source_dir
cnn,cnn_s158_speed_p160_x0_y0,27.076784963721764,5.708489894866943,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s159_speed_p160_x0_y0,24.310343375521082,5.012121677398682,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s15_speed_p160_x0_y0,26.322356943691645,5.097294807434082,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s160_speed_p160_x0_y0,21.188537318324133,5.1832075119018555,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s161_speed_p160_x0_y0,19.540402210515502,5.7158894538879395,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s162_speed_p160_x0_y0,18.27105324592802,4.5405659675598145,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s163_speed_p160_x0_y0,19.37037318892002,5.698920726776123,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s164_speed_p160_x0_y0,21.46365087746109,5.2430009841918945,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s165_speed_p160_x0_y0,22.937888715207535,5.059387683868408,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s166_speed_p160_x0_y0,23.890736675966988,6.106489181518555,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s167_speed_p160_x0_y0,23.479887971191566,5.800627708435059,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s16_speed_p160_x0_y0,23.755960973590362,5.464188098907471,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s17_speed_p160_x0_y0,20.900376556174706,5.2896833419799805,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s18_speed_p160_x0_y0,20.394905033940507,6.258571624755859,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s19_speed_p160_x0_y0,21.064082150885508,6.927988529205322,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s1_speed_p160_x0_y0,24.612518312283534,4.678010940551758,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s20_speed_p160_x0_y0,21.97923655969375,6.254051208496094,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s21_speed_p160_x0_y0,27.30086406645334,8.127616882324219,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s22_speed_p160_x0_y0,32.693467082501115,8.081520080566406,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s23_speed_p160_x0_y0,34.476953302920876,6.907674789428711,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s24_speed_p160_x0_y0,35.75728371567695,7.21915864944458,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s25_speed_p160_x0_y0,36.58411526021696,11.371563911437988,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s26_speed_p160_x0_y0,35.02599363200026,7.043282985687256,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s27_speed_p160_x0_y0,36.89696946573002,6.4783101081848145,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s28_speed_p160_x0_y0,38.33189346230645,7.210402011871338,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s29_speed_p160_x0_y0,38.84347398326436,6.963974952697754,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s2_speed_p160_x0_y0,25.200926367648954,4.894824504852295,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s30_speed_p160_x0_y0,39.94080457344863,8.127463340759277,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s31_speed_p160_x0_y0,39.104318483733294,6.818642616271973,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s32_speed_p160_x0_y0,38.55925876668554,7.461033821105957,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s33_speed_p160_x0_y0,38.39305861348763,6.76971960067749,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s34_speed_p160_x0_y0,37.356416104450325,6.323113918304443,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s35_speed_p160_x0_y0,35.95264003005777,6.2719197273254395,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s36_speed_p160_x0_y0,35.61901723291445,6.097905158996582,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s37_speed_p160_x0_y0,33.456602216246914,6.489102840423584,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s38_speed_p160_x0_y0,29.159912858159764,6.054014682769775,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s39_speed_p160_x0_y0,25.24426875811477,5.873856067657471,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s3_speed_p160_x0_y0,24.87627415927669,4.794641017913818,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s40_speed_p160_x0_y0,24.281572165890662,5.6310811042785645,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s41_speed_p160_x0_y0,23.457166445963043,5.389686584472656,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s42_speed_p160_x0_y0,21.63035540369367,5.757840156555176,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s43_speed_p160_x0_y0,20.76816702008209,5.7682366371154785,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s44_speed_p160_x0_y0,19.781150575177055,6.20600700378418,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s45_speed_p160_x0_y0,20.528037851461004,6.566225528717041,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s46_speed_p160_x0_y0,20.678325640697178,6.243154048919678,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s47_speed_p160_x0_y0,22.201753073772625,6.789880752563477,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s48_speed_p160_x0_y0,22.832495463547907,7.081502437591553,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s49_speed_p160_x0_y0,22.105793975200847,6.3195295333862305,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s4_speed_p160_x0_y0,24.810879874900778,4.892229080200195,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s50_speed_p160_x0_y0,21.30877833114525,6.3856120109558105,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s51_speed_p160_x0_y0,21.75849079768097,5.902731418609619,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
