method,key,sample_idx,psnr,pd_distance,mt_distance
cnn,cnn_s115_speed_p160_x0_y0,115,31.108482310211272,25.270960377659716,4.689971923828125
cnn,cnn_s116_speed_p160_x0_y0,116,30.59615191508248,25.095451409249726,5.35050630569458
cnn,cnn_s117_speed_p160_x0_y0,117,30.50148317030197,27.14897424086504,5.260716915130615
cnn,cnn_s118_speed_p160_x0_y0,118,30.425345206995495,27.925806328570985,6.84329080581665
cnn,cnn_s119_speed_p160_x0_y0,119,30.43036359868084,27.187847892928154,5.218785285949707
cnn,cnn_s120_speed_p160_x0_y0,120,29.872554228604738,28.146732976702577,4.889072418212891
cnn,cnn_s121_speed_p160_x0_y0,121,29.255150816114046,29.135888828595842,5.373913288116455
cnn,cnn_s122_speed_p160_x0_y0,122,29.475967731375373,28.017758663142306,5.264456272125244
cnn,cnn_s123_speed_p160_x0_y0,123,29.902756672682617,29.152924001075785,6.196282386779785
cnn,cnn_s124_speed_p160_x0_y0,124,30.321227856363244,28.184626374879375,6.166434288024902
cnn,cnn_s125_speed_p160_x0_y0,125,30.051277592730706,28.43981263564626,5.748098373413086
cnn,cnn_s126_speed_p160_x0_y0,126,30.6097903547661,28.023492407781937,4.992148399353027
cnn,cnn_s127_speed_p160_x0_y0,127,30.47437123406815,30.000730217921266,5.114649772644043
cnn,cnn_s128_speed_p160_x0_y0,128,30.507561419352704,28.391923421353447,5.476268768310547
cnn,cnn_s129_speed_p160_x0_y0,129,31.112020319963836,29.465245102227872,5.373117923736572
cnn,cnn_s130_speed_p160_x0_y0,130,31.33586632796905,30.27324308013254,5.609683513641357
cnn,cnn_s131_speed_p160_x0_y0,131,31.380336354373057,33.0539968727652,6.2030792236328125
cnn,cnn_s132_speed_p160_x0_y0,132,31.346967209266605,33.926806040190684,6.331444263458252
cnn,cnn_s133_speed_p160_x0_y0,133,30.891021696610593,34.52507377701583,6.299666404724121
cnn,cnn_s134_speed_p160_x0_y0,134,31.123944011982832,32.518921837890055,7.141453742980957
cnn,cnn_s135_speed_p160_x0_y0,135,31.63724620902093,29.944179549584543,6.298990726470947
cnn,cnn_s136_speed_p160_x0_y0,136,31.485271708569652,27.83279512215704,6.232182025909424
cnn,cnn_s137_speed_p160_x0_y0,137,31.21820414019816,26.69652879915387,5.208233833312988
cnn,cnn_s138_speed_p160_x0_y0,138,30.92311578761683,26.265900126493325,5.562473773956299
cnn,cnn_s139_speed_p160_x0_y0,139,31.00602957517228,25.72843674372112,5.6482439041137695
cnn,cnn_s140_speed_p160_x0_y0,140,31.172072410102334,26.928885115678263,5.719569206237793
cnn,cnn_s141_speed_p160_x0_y0,141,30.109781156710714,30.122683212798776,6.186624050140381
cnn,cnn_s142_speed_p160_x0_y0,142,29.474606350342587,31.864668972443802,7.186554908752441
cnn,cnn_s143_speed_p160_x0_y0,143,29.963558750666998,31.729557469133276,5.864097595214844
cnn,cnn_s144_speed_p160_x0_y0,144,29.991838493509036,31.838603860361527,5.560759544372559
cnn,cnn_s145_speed_p160_x0_y0,145,29.868825785114463,30.39245353837724,5.902344226837158
cnn,cnn_s146_speed_p160_x0_y0,146,30.217437493821446,29.28670842660694,5.959416389465332
cnn,cnn_s147_speed_p160_x0_y0,147,30.393444504602453,26.585106339400784,5.6108717918396
cnn,cnn_s148_speed_p160_x0_y0,148,30.714373346521246,26.258461074996504,5.0148024559021
cnn,cnn_s149_speed_p160_x0_y0,149,30.68732483906053,25.194205211404583,5.752551078796387
cnn,cnn_s150_speed_p160_x0_y0,150,30.74588633810058,24.128591365700505,5.291886329650879
cnn,cnn_s151_speed_p160_x0_y0,151,31.12184929937538,24.240085612250784,5.580901145935059
cnn,cnn_s152_speed_p160_x0_y0,152,31.286692101332168,24.594151699851988,5.931854248046875
cnn,cnn_s153_speed_p160_x0_y0,153,32.07864719700068,25.168802860244767,6.290019989013672
cnn,cnn_s154_speed_p160_x0_y0,154,31.990692631343173,25.31020070022765,5.889771461486816
cnn,cnn_s155_speed_p160_x0_y0,155,32.32213611009903,26.088776073112513,6.413660526275635
cnn,cnn_s156_speed_p160_x0_y0,156,32.533287551460546,25.16401321091786,5.162914276123047
cnn,cnn_s157_speed_p160_x0_y0,157,32.53891769577143,25.57399551509901,4.567626476287842
cnn,cnn_s158_speed_p160_x0_y0,158,33.372066344448385,27.076784963721764,5.708489894866943
cnn,cnn_s159_speed_p160_x0_y0,159,35.08613823375421,24.310343375521082,5.012121677398682
cnn,cnn_s160_speed_p160_x0_y0,160,35.91024506652697,21.188537318324133,5.1832075119018555
cnn,cnn_s161_speed_p160_x0_y0,161,35.54303597839574,19.540402210515502,5.7158894538879395
cnn,cnn_s162_speed_p160_x0_y0,162,35.40500303867963,18.27105324592802,4.5405659675598145
cnn,cnn_s163_speed_p160_x0_y0,163,35.18072388452914,19.37037318892002,5.698920726776123
cnn,cnn_s164_speed_p160_x0_y0,164,35.12338331276115,21.46365087746109,5.2430009841918945
cnn,cnn_s165_speed_p160_x0_y0,165,34.195502061434574,22.937888715207535,5.059387683868408
cnn,cnn_s166_speed_p160_x0_y0,166,32.869757587353675,23.890736675966988,6.106489181518555
cnn,cnn_s167_speed_p160_x0_y0,167,32.66787437643206,23.479887971191566,5.800627708435059
gan,gan_s0_speed_p160_x0_y0,0,30.56886683196192,22.540541801445254,9.748218536376953
gan,gan_s1_speed_p160_x0_y0,1,30.732489092006617,22.38874396250744,11.978342056274414
gan,gan_s2_speed_p160_x0_y0,2,30.618027514294244,22.958727889587305,8.343221664428711
gan,gan_s3_speed_p160_x0_y0,3,30.614279698242964,23.395576173496664,9.753995895385742
gan,gan_s4_speed_p160_x0_y0,4,30.173903705147463,22.91065989660919,8.064751625061035
gan,gan_s5_speed_p160_x0_y0,5,30.30462547846664,22.503507148952195,6.406379699707031
gan,gan_s6_speed_p160_x0_y0,6,30.267567264037826,24.045087776300683,6.0106329917907715
gan,gan_s7_speed_p160_x0_y0,7,30.00528812655387,22.553824952557566,7.113770008087158
gan,gan_s8_speed_p160_x0_y0,8,30.40523844100236,23.282081530392528,6.055016040802002
gan,gan_s9_speed_p160_x0_y0,9,30.265537172001572,23.481609150211327,6.291722297668457
gan,gan_s10_speed_p160_x0_y0,10,30.53056327000849,24.710016041893063,7.423793315887451
gan,gan_s11_speed_p160_x0_y0,11,30.248659281772067,24.969867761946066,7.831723690032959
gan,gan_s12_speed_p160_x0_y0,12,29.722956551464673,24.220613253945245,5.913707256317139
gan,gan_s13_speed_p160_x0_y0,13,28.50381061763696,24.323688014436637,7.402252674102783
gan,gan_s14_speed_p160_x0_y0,14,28.91008772635589,21.511818920550414,5.877835750579834
gan,gan_s15_speed_p160_x0_y0,15,29.589560869451915,19.148010639364745,5.86716890335083
gan,gan_s16_speed_p160_x0_y0,16,30.377376020687414,17.324485324726012,5.255205154418945
gan,gan_s17_speed_p160_x0_y0,17,30.553361435697887,17.11808749868573,4.8487091064453125
gan,gan_s18_speed_p160_x0_y0,18,30.733400245915007,18.610240875886223,5.554356575012207
gan,gan_s19_speed_p160_x0_y0,19,30.477536378126278,19.086676411603058,5.44291353225708
gan,gan_s20_speed_p160_x0_y0,20,30.512606484041328,18.266315468004898,5.689126491546631
gan,gan_s21_speed_p160_x0_y0,21,30.797171403787395,21.732522780594586,10.817054748535156
