sample_idx,pos_idx,pd_distance_candidateB_factorial_speed_grad_expanded2688,mt_distance_candidateB_factorial_speed_grad_expanded2688
51,51,15.958970306564675,6.071890354156494
52,52,16.35017317595947,6.213915824890137
53,53,17.056903811189965,6.547034740447998
54,54,17.649023684863366,6.43979024887085
55,55,18.571788183964337,5.959167003631592
56,56,18.931512594551013,7.601385116577148
57,57,18.98119154230565,6.032965183258057
58,58,19.484386955352544,6.1067657470703125
59,59,20.163220559748382,6.423314571380615
60,60,20.42705024545504,6.363320350646973
61,61,20.82923955476485,6.060462951660156
62,62,21.474187521015654,7.262533187866211
63,63,22.512345956065776,8.332601547241211
64,64,19.73954549663975,5.900578022003174
65,65,17.661219518742822,5.732212066650391
66,66,16.28304003896069,6.071492671966553
67,67,15.461926699533883,5.565206050872803
68,68,16.247938223072047,5.941417694091797
69,69,18.13611164920841,5.549476623535156
70,70,18.793063884275252,5.5716166496276855
71,71,19.44848387175051,6.9750189781188965
72,72,20.514565475576966,6.07923698425293
73,73,21.353553650575662,5.892615795135498
74,74,22.187837792843432,6.80370569229126
75,75,22.340893276330704,6.139196395874023
76,76,23.23101557558627,5.991272449493408
77,77,23.549577197107403,5.968647003173828
78,78,22.900796626360343,6.632375717163086
79,79,23.53355060450962,6.038145065307617
80,80,23.407910545819774,6.3523454666137695
81,81,23.09832000905179,5.972511291503906
82,82,22.708301902337364,6.357243537902832
83,83,22.176215510657272,5.93467903137207
84,84,23.019711884626414,6.18681526184082
85,85,22.456618768480066,5.753225803375244
86,86,22.74502930787018,6.17793607711792
87,87,23.94932155914561,7.174842834472656
88,88,22.434524637297063,6.297599792480469
89,89,20.0769241507189,6.563451290130615
90,90,18.170697985178755,5.852479457855225
91,91,17.43693805410325,6.262514114379883
92,92,18.13461431667744,6.3871660232543945
93,93,21.349012071954643,7.357730865478516
94,94,23.43896962245494,6.151078224182129
95,95,23.82047498731642,6.436603546142578
96,96,24.30987030521085,6.8625946044921875
97,97,24.899987311625587,5.875452041625977
98,98,24.967066047994983,5.640801429748535
99,99,24.8026267568218,6.261635780334473
100,100,24.24270287852222,5.594175338745117
101,101,23.876786057414076,6.219448089599609
102,102,22.88374375193553,6.128619194030762
103,103,23.158544479102996,5.709685325622559
104,104,22.705862583935698,5.70134162902832
105,105,22.69954090055465,6.219165325164795
106,106,22.10569378304306,5.934576988220215
107,107,21.69372422985983,5.983128070831299
108,108,22.87211152774872,6.212824821472168
109,109,22.568667062807123,5.993995189666748
110,110,23.086550247556346,5.997236728668213
111,111,21.93529433279424,6.4730072021484375
112,112,21.01803965652312,6.010515213012695
113,113,19.531193111003464,6.295084476470947
114,114,19.13545762113096,6.355438709259033
115,115,19.185143776443823,5.782022953033447
116,116,20.009431961215228,6.062878131866455
117,117,21.644291268940485,6.4880828857421875
118,118,24.072550760698757,7.897253513336182
119,119,23.879814492292326,6.660758972167969
120,120,24.3203540284913,6.717963695526123
121,121,24.301700241538505,5.871787071228027
122,122,24.575828981190835,5.981351375579834
123,123,24.4941038146582,6.538015365600586
124,124,23.956882171410335,6.532116889953613
125,125,23.41257778486641,5.762868881225586
126,126,22.74605149770157,5.431787490844727
127,127,23.85248413043767,5.602261543273926
128,128,23.73598231703246,5.360786437988281
129,129,24.44278805490203,6.435132026672363
130,130,25.40041148682065,5.291345119476318
131,131,27.26966382359998,6.668512344360352
132,132,29.092244599504532,6.6100945472717285
133,133,29.489825646236824,6.290668964385986
134,134,27.37788454041433,5.7478179931640625
135,135,26.04973050339948,6.132447719573975
136,136,25.524164518668634,6.368541240692139
137,137,24.682180815951096,4.997830867767334
138,138,24.106887889448185,5.1274566650390625
139,139,23.70772712235311,4.877923488616943
140,140,24.940060170239953,5.0646491050720215
141,141,28.474684844477718,6.897240161895752
142,142,31.48655504007602,7.532083988189697
143,143,30.069163767899415,6.107193946838379
144,144,30.522496353030274,5.717864513397217
145,145,30.334012984712032,5.845853328704834
146,146,28.338628092063775,7.015899181365967
147,147,26.163199842213178,6.674533367156982
148,148,25.11205563539413,6.358884334564209
149,149,22.882120323030932,6.879275321960449
150,150,21.495798488741052,6.174554347991943
151,151,20.25314659381917,6.827035903930664
152,152,19.74249907397537,6.420510768890381
153,153,18.968546823639844,6.654538154602051
154,154,18.820944657348587,5.792431831359863
