sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_speed_grad_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_speed_grad_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_speed_grad_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_speed_grad_expanded2688,was_mt_gan_win_before
94,94,24.570031527820365,20.006869187749356,23.43896962245494,5.102908611297607,6.517361164093018,6.151078224182129,gan,gan,cnn,cnn,0
95,95,26.879696075655563,20.637912890931716,23.82047498731642,5.015480041503906,6.677723407745361,6.436603546142578,gan,gan,cnn,cnn,0
96,96,28.904715116511554,22.25070627382419,24.30987030521085,5.121858596801758,7.258078575134277,6.8625946044921875,gan,gan,cnn,cnn,0
97,97,30.15308546680866,22.202351461270364,24.899987311625587,5.011539936065674,7.223494529724121,5.875452041625977,gan,gan,cnn,cnn,0
98,98,31.264551411001506,23.055714774434993,24.967066047994983,4.942448139190674,8.764951705932617,5.640801429748535,gan,gan,cnn,cnn,0
99,99,30.940933752807226,20.998202000997363,24.8026267568218,5.342334747314453,7.760592460632324,6.261635780334473,gan,gan,cnn,cnn,0
100,100,31.181555022619012,20.891681214618057,24.24270287852222,5.912055015563965,7.617006778717041,5.594175338745117,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
101,101,30.40796712150836,20.937383941054357,23.876786057414076,5.357294082641602,7.0666680335998535,6.219448089599609,gan,gan,cnn,cnn,0
102,102,29.254680859214627,20.257793175726828,22.88374375193553,5.164434909820557,8.231893539428711,6.128619194030762,gan,gan,cnn,cnn,0
103,103,29.507549938987374,20.69051451494371,23.158544479102996,5.102769374847412,6.314839839935303,5.709685325622559,gan,gan,cnn,cnn,0
104,104,29.173745320955113,20.12992358587829,22.705862583935698,4.829194068908691,7.393864154815674,5.70134162902832,gan,gan,cnn,cnn,0
105,105,29.338582011466166,19.283104237304943,22.69954090055465,5.33697509765625,6.823482513427734,6.219165325164795,gan,gan,cnn,cnn,0
106,106,30.092821360744658,20.00547041151677,22.10569378304306,5.767349720001221,6.75129508972168,5.934576988220215,gan,gan,cnn,cnn,0
107,107,29.64376642955138,20.682183399063746,21.69372422985983,5.574344635009766,7.6041154861450195,5.983128070831299,gan,gan,cnn,cnn,0
108,108,28.940126674621943,21.1993064034262,22.87211152774872,5.6898322105407715,7.595790386199951,6.212824821472168,gan,gan,cnn,cnn,0
109,109,28.97319829057234,20.853111383838083,22.568667062807123,5.088190078735352,7.198193550109863,5.993995189666748,gan,gan,cnn,cnn,0
110,110,29.504241915198808,19.600364202728887,23.086550247556346,5.806641101837158,6.568319320678711,5.997236728668213,gan,gan,cnn,cnn,0
111,111,28.17742348677506,18.815230764049467,21.93529433279424,5.513612270355225,8.167459487915039,6.4730072021484375,gan,gan,cnn,cnn,0
112,112,27.49742127818127,19.372446559915602,21.01803965652312,5.637857913970947,6.682409286499023,6.010515213012695,gan,gan,cnn,cnn,0
113,113,26.010710160777133,18.415536047943895,19.531193111003464,5.502909183502197,6.949485778808594,6.295084476470947,gan,gan,cnn,cnn,0
114,114,24.541486090961616,16.84887862793787,19.13545762113096,5.123978614807129,5.899235248565674,6.355438709259033,gan,gan,cnn,cnn,0
115,115,25.270960377659716,17.25298248796687,19.185143776443823,4.689971923828125,7.232174873352051,5.782022953033447,gan,gan,cnn,cnn,0
116,116,25.095451409249726,17.129081493158413,20.009431961215228,5.35050630569458,7.636551856994629,6.062878131866455,gan,gan,cnn,cnn,0
117,117,27.14897424086504,18.592743212240446,21.644291268940485,5.260716915130615,8.683184623718262,6.4880828857421875,gan,gan,cnn,cnn,0
118,118,27.925806328570985,19.893975298384717,24.072550760698757,6.84329080581665,9.465571403503418,7.897253513336182,gan,gan,cnn,cnn,0
119,119,27.187847892928154,20.557132674744736,23.879814492292326,5.218785285949707,6.129123687744141,6.660758972167969,gan,gan,cnn,cnn,0
120,120,28.146732976702577,21.528863701574615,24.3203540284913,4.889072418212891,7.93386173248291,6.717963695526123,gan,gan,cnn,cnn,0
121,121,29.135888828595842,21.37188887795256,24.301700241538505,5.373913288116455,7.535200595855713,5.871787071228027,gan,gan,cnn,cnn,0
122,122,28.017758663142306,22.491589595860475,24.575828981190835,5.264456272125244,7.450175762176514,5.981351375579834,gan,gan,cnn,cnn,0
123,123,29.152924001075785,22.17220391892049,24.4941038146582,6.196282386779785,8.431406021118164,6.538015365600586,gan,gan,cnn,cnn,0
124,124,28.184626374879375,22.119830159019614,23.956882171410335,6.166434288024902,6.818744659423828,6.532116889953613,gan,gan,cnn,cnn,0
125,125,28.43981263564626,21.313574573250694,23.41257778486641,5.748098373413086,10.086677551269531,5.762868881225586,gan,gan,cnn,cnn,0
126,126,28.023492407781937,22.88972837862729,22.74605149770157,4.992148399353027,8.052214622497559,5.431787490844727,gan,candidateB_factorial_speed_grad_expanded2688,cnn,cnn,0
127,127,30.000730217921266,24.85609607980766,23.85248413043767,5.114649772644043,13.074076652526855,5.602261543273926,gan,candidateB_factorial_speed_grad_expanded2688,cnn,cnn,0
128,128,28.391923421353447,23.315252316365218,23.73598231703246,5.476268768310547,7.28298807144165,5.360786437988281,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
129,129,29.465245102227872,24.209883048645104,24.44278805490203,5.373117923736572,9.33877944946289,6.435132026672363,gan,gan,cnn,cnn,0
130,130,30.27324308013254,23.783031491875988,25.40041148682065,5.609683513641357,11.313863754272461,5.291345119476318,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
131,131,33.0539968727652,25.23355611194131,27.26966382359998,6.2030792236328125,12.011610984802246,6.668512344360352,gan,gan,cnn,cnn,0
132,132,33.926806040190684,25.90821112354989,29.092244599504532,6.331444263458252,12.388164520263672,6.6100945472717285,gan,gan,cnn,cnn,0
133,133,34.52507377701583,25.596877045000497,29.489825646236824,6.299666404724121,7.647167682647705,6.290668964385986,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
134,134,32.518921837890055,23.04058254540847,27.37788454041433,7.141453742980957,13.276667594909668,5.7478179931640625,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
135,135,29.944179549584543,20.502693507156053,26.04973050339948,6.298990726470947,11.993122100830078,6.132447719573975,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
136,136,27.83279512215704,19.71188765946126,25.524164518668634,6.232182025909424,6.450465202331543,6.368541240692139,gan,gan,cnn,cnn,0
137,137,26.69652879915387,18.35521341147029,24.682180815951096,5.208233833312988,9.66958236694336,4.997830867767334,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
138,138,26.265900126493325,18.5898403985513,24.106887889448185,5.562473773956299,8.217479705810547,5.1274566650390625,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
139,139,25.72843674372112,17.55339321269266,23.70772712235311,5.6482439041137695,9.790724754333496,4.877923488616943,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
140,140,26.928885115678263,17.632487734588345,24.940060170239953,5.719569206237793,11.421890258789062,5.0646491050720215,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
141,141,30.122683212798776,22.35126448334632,28.474684844477718,6.186624050140381,8.889102935791016,6.897240161895752,gan,gan,cnn,cnn,0
142,142,31.864668972443802,25.40867751345393,31.48655504007602,7.186554908752441,8.55953311920166,7.532083988189697,gan,gan,cnn,cnn,0
143,143,31.729557469133276,25.608920781987035,30.069163767899415,5.864097595214844,9.649337768554688,6.107193946838379,gan,gan,cnn,cnn,0
144,144,31.838603860361527,24.790495069985838,30.522496353030274,5.560759544372559,9.771649360656738,5.717864513397217,gan,gan,cnn,cnn,0
145,145,30.39245353837724,25.26410594488553,30.334012984712032,5.902344226837158,8.558032035827637,5.845853328704834,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
146,146,29.28670842660694,23.86618294113101,28.338628092063775,5.959416389465332,7.056334018707275,7.015899181365967,gan,gan,cnn,cnn,0
147,147,26.585106339400784,22.003227031713678,26.163199842213178,5.6108717918396,6.8347039222717285,6.674533367156982,gan,gan,cnn,cnn,0
148,148,26.258461074996504,21.1331690923618,25.11205563539413,5.0148024559021,8.882506370544434,6.358884334564209,gan,gan,cnn,cnn,0
149,149,25.194205211404583,21.36081867901896,22.882120323030932,5.752551078796387,8.038224220275879,6.879275321960449,gan,gan,cnn,cnn,0
150,150,24.128591365700505,20.19277068635915,21.495798488741052,5.291886329650879,7.924254417419434,6.174554347991943,gan,gan,cnn,cnn,0
151,151,24.240085612250784,19.596870056685123,20.25314659381917,5.580901145935059,7.460690975189209,6.827035903930664,gan,gan,cnn,cnn,0
152,152,24.594151699851988,17.338820427078797,19.74249907397537,5.931854248046875,8.478921890258789,6.420510768890381,gan,gan,cnn,cnn,0
153,153,25.168802860244767,16.23765159094386,18.968546823639844,6.290019989013672,6.548172950744629,6.654538154602051,gan,gan,cnn,cnn,0
154,154,25.31020070022765,16.834477000311573,18.820944657348587,5.889771461486816,5.736759185791016,5.792431831359863,gan,gan,gan,gan,1
155,155,26.088776073112513,17.444078563809867,18.68784750748871,6.413660526275635,6.612644195556641,5.923041343688965,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
156,156,25.16401321091786,17.879759557761357,19.12126594702838,5.162914276123047,9.264598846435547,5.222886562347412,gan,gan,cnn,cnn,0
157,157,25.57399551509901,18.686237526393793,20.766703040131397,4.567626476287842,8.282842636108398,4.789012908935547,gan,gan,cnn,cnn,0
158,158,27.076784963721764,22.72289165286213,22.440481155026156,5.708489894866943,8.312358856201172,5.449069023132324,gan,candidateB_factorial_speed_grad_expanded2688,cnn,candidateB_factorial_speed_grad_expanded2688,0
159,159,24.310343375521082,19.84507792462866,20.160800367581505,5.012121677398682,10.700226783752441,5.345059871673584,gan,gan,cnn,cnn,0
160,160,21.188537318324133,20.14027527603938,18.615731568230828,5.1832075119018555,13.9108247756958,5.9572577476501465,gan,candidateB_factorial_speed_grad_expanded2688,cnn,cnn,0
161,161,19.540402210515502,19.232825594053608,19.271786270612065,5.7158894538879395,11.7100830078125,5.765959739685059,gan,gan,cnn,cnn,0
162,162,18.27105324592802,19.457879947992573,18.745757902484375,4.5405659675598145,9.695740699768066,5.716582775115967,cnn,cnn,cnn,cnn,0
163,163,19.37037318892002,20.44637029980189,20.016983067431884,5.698920726776123,6.788956165313721,5.8228044509887695,cnn,cnn,cnn,cnn,0
