sample_idx,pos_idx,pd_distance_candidateE,mt_distance_candidateE
80,80,30.507097098776285,6.897997856140137
81,81,30.242963967306586,6.75277042388916
82,82,29.622625257980925,8.024840354919434
83,83,28.816709689427082,6.728456020355225
84,84,29.53259742899103,6.230975151062012
85,85,29.288560540176277,5.8030009269714355
86,86,29.72542045037458,5.418169021606445
87,87,30.112294951469277,6.647256374359131
88,88,26.84856232789155,6.341480731964111
89,89,24.611293111617528,5.9837870597839355
90,90,22.54174543263396,5.4134931564331055
91,91,22.67122676921602,5.535025596618652
92,92,22.39025071793263,5.763052463531494
93,93,24.893477421922185,6.6135454177856445
94,94,25.102966776321093,5.48681116104126
95,95,27.313522759972138,4.973311424255371
96,96,29.504355428692836,5.19368314743042
97,97,30.680102578308045,4.8436970710754395
98,98,31.76256178373411,5.044044494628906
99,99,31.38294020972328,5.5741047859191895
100,100,31.615574574254612,5.935715675354004
101,101,30.865271817536293,5.481266021728516
102,102,29.699097725393077,5.215785980224609
103,103,29.96522062859828,5.243117332458496
104,104,29.56022840458439,4.949816703796387
105,105,29.710498535445065,5.320329189300537
106,106,30.377873103312325,5.992868423461914
107,107,29.900122036827295,5.627717018127441
108,108,29.267391764760777,5.8895134925842285
109,109,29.31292314211899,5.157190799713135
110,110,29.799673102149054,6.009847640991211
111,111,28.4636363463833,5.5881028175354
112,112,27.898821865476766,5.577539920806885
113,113,26.376373531734917,5.583770275115967
114,114,24.931464043161686,5.020483016967773
115,115,25.715407436744517,4.688546657562256
116,116,25.518256321930938,5.379502773284912
117,117,27.639887756955382,5.351727485656738
118,118,28.605445892165346,6.310422420501709
119,119,27.791331499664363,5.14111328125
120,120,28.654511579739854,5.022973537445068
121,121,29.52432277743462,5.392208099365234
122,122,28.426139299422776,5.637755393981934
123,123,29.526878629614433,6.302170276641846
124,124,28.739316538440583,6.173168659210205
125,125,29.104352980984583,5.903101921081543
126,126,28.736203593267824,5.1938395500183105
127,127,30.825010163960222,5.4031548500061035
128,128,29.54619069195504,5.981180667877197
129,129,30.980899906982593,5.941974639892578
130,130,31.573263741411505,6.835890769958496
131,131,34.37053425098988,7.657726764678955
132,132,35.45419917682519,8.170061111450195
133,133,36.087870379394055,8.396394729614258
134,134,33.95152967176833,7.661800384521484
135,135,31.48435795782526,7.709323883056641
136,136,29.179812964383895,7.327200889587402
137,137,28.091307992323628,5.546976089477539
138,138,27.435208383703596,5.999290943145752
139,139,26.66833091776126,6.263876914978027
140,140,28.124916804852855,6.215997219085693
141,141,31.401736999760196,6.814029693603516
142,142,33.44494765343341,7.932051181793213
143,143,33.1234470683016,6.9297404289245605
144,144,33.67815551196805,6.002240180969238
145,145,32.232933802323295,6.17156457901001
146,146,31.361017503474898,6.6461873054504395
147,147,28.926254093193105,6.255874156951904
148,148,28.31112680489943,5.547781467437744
149,149,27.086977121952078,6.552835464477539
150,150,25.724847783525757,5.957050800323486
151,151,25.517733212337017,6.094961166381836
152,152,25.630924214922196,5.821105480194092
153,153,25.826973869308954,6.476612091064453
154,154,25.62373039348333,6.021100997924805
155,155,26.319944831316104,6.174447536468506
156,156,25.395757789451523,5.892521858215332
157,157,26.118692703259,4.69542121887207
158,158,27.693592910595523,5.938840389251709
159,159,24.90068299159235,5.224833011627197
160,160,21.95680706656599,5.003859519958496
161,161,20.30346505288038,5.064458847045898
162,162,18.49346404808999,4.649742126464844
163,163,19.586930685373428,5.225690841674805
164,164,22.232152135262524,5.619630813598633
165,165,23.778458582835253,5.80081033706665
166,166,24.693623872431548,5.627839088439941
167,167,24.405777560993158,5.415036678314209
