sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateF_grad_E2_low_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateF_grad_E2_low_expanded2688,pd_winner_before,pd_winner_after_candidateF_grad_E2_low_expanded2688,mt_winner_before,mt_winner_after_candidateF_grad_E2_low_expanded2688,was_mt_gan_win_before
72,72,26.514111621573456,19.679320844931677,22.226618512281963,4.796044826507568,5.719583988189697,4.598625183105469,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
73,73,27.001473804134946,19.399004976672177,23.75683736473388,4.9851861000061035,5.75114631652832,5.810029029846191,gan,gan,cnn,cnn,0
74,74,28.28963162272453,20.10959212403172,24.979931310748466,4.782100200653076,5.644299030303955,5.030311584472656,gan,gan,cnn,cnn,0
75,75,29.367383683723347,19.74885298310355,25.231822453355385,5.201173305511475,5.680557727813721,5.377788543701172,gan,gan,cnn,cnn,0
76,76,30.056769521251926,20.225713244111034,25.84040008386898,5.207019329071045,6.450347900390625,5.447328567504883,gan,gan,cnn,cnn,0
77,77,29.944664675564518,20.353338072506904,25.566052887820813,6.132026672363281,6.000014781951904,5.497107028961182,gan,gan,gan,candidateF_grad_E2_low_expanded2688,1
78,78,30.300511724579902,19.95492094933438,25.746797888369784,5.8028388023376465,7.092807292938232,5.515340805053711,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
79,79,30.148051358309164,20.321240211337894,26.06495666429907,6.856454849243164,6.467032432556152,5.947681903839111,gan,gan,gan,candidateF_grad_E2_low_expanded2688,1
80,80,30.086252753371088,20.744918439924255,25.84530515804027,6.982686519622803,6.176682472229004,5.863535404205322,gan,gan,gan,candidateF_grad_E2_low_expanded2688,1
81,81,29.68907403762892,20.982889067881906,25.50466137313465,6.426537990570068,7.567525863647461,5.143772602081299,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
82,82,28.90089773637945,20.81634708740007,25.223061419154057,7.1840739250183105,6.303605079650879,5.723633766174316,gan,gan,gan,candidateF_grad_E2_low_expanded2688,1
83,83,28.194313716720707,21.794751727168247,24.987828798696807,6.560110569000244,6.599743366241455,5.278365612030029,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
84,84,29.14514380262554,21.106373639070085,25.386799107524606,5.271510124206543,8.559276580810547,5.692235469818115,gan,gan,cnn,cnn,0
85,85,28.72250736297703,20.7490839418831,25.184584750964653,5.609640121459961,7.718591690063477,5.346215724945068,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
86,86,29.195361276159034,18.84606490909817,25.481196479017893,5.25334358215332,9.43416690826416,5.253409385681152,gan,gan,cnn,cnn,0
87,87,29.611902358359767,19.024115372275585,25.42799997426293,6.509652614593506,7.174471855163574,6.143691539764404,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
88,88,26.37509421416108,18.396084436387564,22.47191482458065,6.411813259124756,6.487721920013428,5.521936893463135,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
89,89,24.29846982632471,17.197907308437554,20.824544969627073,6.017302513122559,6.256072521209717,5.822445869445801,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
