sample_idx,pos_idx,pd_distance_candidateF_grad_E2_low_expanded2688,mt_distance_candidateF_grad_E2_low_expanded2688
114,114,21.64284087754298,6.107624053955078
115,115,21.955540967305875,4.593685626983643
116,116,23.135905767001596,5.817916393280029
117,117,23.992232432088464,6.191188812255859
118,118,24.88218643792815,5.9186177253723145
119,119,24.852343991579012,5.131126880645752
120,120,24.501498018066194,5.476008415222168
121,121,25.2197127557274,4.848064422607422
122,122,24.35091140360047,4.882768154144287
123,123,24.07148727648347,5.430334091186523
124,124,24.369742167316037,5.276094436645508
125,125,23.60158584389746,4.7001447677612305
126,126,24.211307831337148,4.812726974487305
127,127,25.931071197546505,4.918186187744141
128,128,24.95534578461301,5.049756050109863
129,129,25.559254801559295,5.349607467651367
130,130,25.92216819822848,6.108689785003662
131,131,28.70688963301943,6.0553460121154785
132,132,29.67509338372378,5.619946479797363
133,133,29.835526364452694,6.310009956359863
134,134,27.521157046657212,5.418124198913574
135,135,24.923476152613954,4.4844069480896
136,136,23.512171733368582,5.0049943923950195
137,137,22.850838005124213,4.321946144104004
138,138,21.997339364108445,4.637422561645508
139,139,21.496779193162126,4.441159725189209
140,140,23.188327562092336,4.699864864349365
141,141,26.511216108215102,6.555263996124268
142,142,29.381422658136145,6.873491287231445
143,143,28.071175706541332,6.474348545074463
144,144,27.329127763406202,5.6661176681518555
145,145,25.753749317016222,6.720815181732178
146,146,25.11127326461213,5.782175540924072
147,147,23.451070589130556,6.089203357696533
148,148,22.706562464518363,5.5086140632629395
149,149,22.135250254555363,5.949093818664551
150,150,20.594820516271938,5.028379440307617
151,151,20.31051982269899,5.967870712280273
152,152,20.463753771207855,5.464221477508545
153,153,20.784819335201863,6.031006813049316
154,154,20.228317167134964,5.742619037628174
155,155,21.101748370977457,5.923501014709473
156,156,21.956242174647496,6.061785697937012
157,157,22.883842264913557,5.010818958282471
158,158,24.786319521968224,5.920919418334961
159,159,22.621272309083214,5.663341045379639
160,160,20.143861678209593,5.276538372039795
161,161,18.953561619396147,6.276922702789307
162,162,18.795454661143236,5.216483116149902
163,163,19.658815220308533,4.8245344161987305
164,164,21.1090966613521,5.306371212005615
165,165,22.424239931042624,6.6667985916137695
166,166,23.306285403199638,5.018412113189697
167,167,23.445784457894288,6.123684406280518
