sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_plus_E2_tf_lowlambda_expanded672,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_plus_E2_tf_lowlambda_expanded672,pd_winner_before,pd_winner_after_candidateB_plus_E2_tf_lowlambda_expanded672,mt_winner_before,mt_winner_after_candidateB_plus_E2_tf_lowlambda_expanded672,was_mt_gan_win_before
82,82,28.90089773637945,20.81634708740007,25.144907743135132,7.1840739250183105,6.303605079650879,5.521072864532471,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded672,1
83,83,28.194313716720707,21.794751727168247,25.100019052018393,6.560110569000244,6.599743366241455,5.470563888549805,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
84,84,29.14514380262554,21.106373639070085,25.88030255571139,5.271510124206543,8.559276580810547,5.384047031402588,gan,gan,cnn,cnn,0
85,85,28.72250736297703,20.7490839418831,25.478547079793124,5.609640121459961,7.718591690063477,5.130471229553223,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
86,86,29.195361276159034,18.84606490909817,26.2337059851848,5.25334358215332,9.43416690826416,5.096818447113037,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
87,87,29.611902358359767,19.024115372275585,26.24200002019582,6.509652614593506,7.174471855163574,6.149106502532959,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
88,88,26.37509421416108,18.396084436387564,23.046302601984163,6.411813259124756,6.487721920013428,5.724911689758301,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
89,89,24.29846982632471,17.197907308437554,21.34549813854722,6.017302513122559,6.256072521209717,5.264675140380859,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
90,90,22.206834090995343,17.32676746960286,19.585538875758907,5.257880687713623,5.663510322570801,5.200133800506592,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
91,91,22.30942508877806,16.266054339767617,19.484252775012568,5.508337497711182,5.519831657409668,5.286388874053955,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
92,92,22.07932597419188,16.807703363287136,19.58029958925402,5.735818386077881,5.677903175354004,5.66368293762207,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded672,1
93,93,24.402894658345392,18.13548367922437,22.092778292865795,6.506997585296631,6.816009521484375,6.153316974639893,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
94,94,24.570031527820365,20.006869187749356,23.51015722389749,5.102908611297607,6.517361164093018,5.298221588134766,gan,gan,cnn,cnn,0
95,95,26.879696075655563,20.637912890931716,24.772571870361347,5.015480041503906,6.677723407745361,5.67455530166626,gan,gan,cnn,cnn,0
96,96,28.904715116511554,22.25070627382419,26.615188262617455,5.121858596801758,7.258078575134277,5.768796443939209,gan,gan,cnn,cnn,0
97,97,30.15308546680866,22.202351461270364,27.647340150319152,5.011539936065674,7.223494529724121,4.928600311279297,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
98,98,31.264551411001506,23.055714774434993,27.82625633781942,4.942448139190674,8.764951705932617,5.54720401763916,gan,gan,cnn,cnn,0
99,99,30.940933752807226,20.998202000997363,27.994908376044254,5.342334747314453,7.760592460632324,5.064613342285156,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
