sample_idx,wtk_time_index,timestamp,season,center_lat,center_lon,row_start,row_end,col_start,col_end,u_min,u_max,u_mean,u_std,v_min,v_max,v_mean,v_std,speed_min,speed_max,speed_mean,speed_std
10,346,20070115100000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-14.398106575012207,21.42913818359375,0.5465256410867665,5.8952671635710665,-9.223332405090332,14.731834411621094,3.4307810950634674,5.114137154295147,0.09460449775323305,22.125921956246536,8.029763809938867,2.9155473102022476
11,347,20070115110000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-15.108221054077148,22.188953399658203,0.6397889114718806,6.069503117301766,-8.759028434753418,15.647263526916504,4.02334698997193,5.045546698518568,0.027465819901661127,22.68746203911292,8.399754292844928,2.8874189600158866
12,348,20070115120000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-15.285441398620605,22.4608154296875,0.8832547676942486,6.203178098079421,-9.319954872131348,16.746206283569336,4.585242300551387,5.006189344642935,0.13733672602725724,23.468736035873686,8.782775687318395,2.86509815478946
13,349,20070115130000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-15.780037879943848,25.301525115966797,1.2465109526749356,6.263289992120333,-11.37401008605957,18.015666961669922,5.137388188404236,5.003712372601467,0.13733673264807342,25.940734414388082,9.150761098595302,2.9113669131609865
14,350,20070115140000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-16.834627151489258,27.392850875854492,1.7634722788139272,6.215343449487796,-11.832342147827148,19.186147689819336,5.509168056747324,5.086260362276374,0.07629394578182773,27.820670907597197,9.424685190433022,3.022683391428445
15,351,20070115150000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-16.468700408935547,28.427457809448242,2.3309847274775812,6.033985257111316,-11.669394493103027,18.872526168823242,5.757542406547901,5.228834305661474,0.09155273414395955,28.839989322421655,9.577839409893839,3.25537446084388
16,352,20070115160000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-16.15127944946289,29.483434677124023,3.0011146331565106,5.860445444018757,-10.736371040344238,19.277603149414062,5.977687412809184,5.35458606028126,0.04577636581349431,29.734184588282773,9.783981196642731,3.4683656770334355
17,353,20070115170000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-16.05855941772461,27.5345401763916,3.6847565681124004,5.648993177264761,-11.05223274230957,19.295488357543945,6.1602240613350014,5.446874261488796,0.08239746550926842,27.832876656462712,9.99360785090134,3.6377406053420285
18,354,20070115180000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-16.191606521606445,26.891223907470703,4.341930881372421,5.385618700831649,-11.410541534423828,18.787364959716797,6.292850598502416,5.502915647755587,0.11901855295961024,27.256079865369546,10.16743714607596,3.7897920432846104
19,355,20070115190000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-15.32680606842041,26.724821090698242,4.942964035544307,5.102092544866857,-12.4386568069458,17.48188591003418,6.409215069919417,5.494394014334396,0.10070800996815195,27.12485528352925,10.311690883048309,3.92424213355453
20,356,20070115200000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-13.783271789550781,26.357221603393555,5.462989136207674,4.757203956118284,-12.678140640258789,18.74085807800293,6.504694356468728,5.436682989207295,0.04577636773838245,26.79524891384844,10.39569810340954,4.03401429365463
21,357,20070115210000,winter_1,39.499794,-75.006409,720,1220,2102,2602,-11.500057220458984,24.28775405883789,5.913076074502064,4.376680073171509,-13.347006797790527,18.18415069580078,6.566506644145462,5.41412747206425,0.05798339895222864,24.542983721857414,10.499380149219958,4.039133496095233
