sample_idx,metric,method_id,observed_value,reconstructed_value,absolute_difference,status
101,psnruv,uv,30.131966015137323,30.13196601513732,3.552713678800501e-15,PASS
102,psnruv,uv,30.45212462733992,30.452124627339927,7.105427357601002e-15,PASS
103,psnruv,uv,30.386126046231272,30.386126046231276,3.552713678800501e-15,PASS
104,psnruv,uv,30.412711155743615,30.41271115574362,3.552713678800501e-15,PASS
105,psnruv,uv,30.805234058153033,30.805234058153037,3.552713678800501e-15,PASS
106,psnruv,uv,31.357036786708633,31.357036786708633,0.0,PASS
107,psnruv,uv,31.11696713459835,31.116967134598355,3.552713678800501e-15,PASS
108,psnruv,uv,32.20422763957752,32.20422763957751,7.105427357601002e-15,PASS
109,psnruv,uv,31.542985668010726,31.54298566801073,3.552713678800501e-15,PASS
110,psnruv,uv,32.21639460650851,32.2163946065085,7.105427357601002e-15,PASS
111,psnruv,uv,33.17310473590172,33.17310473590173,1.4210854715202004e-14,PASS
112,psnruv,uv,32.82037388441065,32.82037388441065,0.0,PASS
113,psnruv,uv,32.57972604005027,32.57972604005027,0.0,PASS
114,psnruv,uv,33.00483270543887,33.00483270543887,0.0,PASS
115,psnruv,uv,33.68735300286721,33.68735300286721,0.0,PASS
116,psnruv,uv,33.28378310420336,33.283783104203366,7.105427357601002e-15,PASS
117,psnruv,uv,33.20220515589499,33.20220515589499,0.0,PASS
118,psnruv,uv,33.20549504944287,33.20549504944286,7.105427357601002e-15,PASS
119,psnruv,uv,33.21908270916359,33.21908270916359,0.0,PASS
120,psnruv,uv,32.6086127801838,32.60861278018379,7.105427357601002e-15,PASS
121,psnruv,uv,32.00075899533504,32.00075899533504,0.0,PASS
122,psnruv,uv,32.185791737344694,32.18579173734469,7.105427357601002e-15,PASS
123,psnruv,uv,32.54765808820827,32.54765808820828,7.105427357601002e-15,PASS
124,psnruv,uv,33.05908438409095,33.05908438409095,0.0,PASS
125,psnruv,uv,32.71991737502506,32.71991737502506,0.0,PASS
126,psnruv,uv,33.338355805971055,33.33835580597107,1.4210854715202004e-14,PASS
127,psnruv,uv,33.283978847244356,33.28397884724436,7.105427357601002e-15,PASS
128,psnruv,uv,33.477639397033336,33.47763939703334,7.105427357601002e-15,PASS
129,psnruv,uv,34.10729644941046,34.107296449410455,7.105427357601002e-15,PASS
130,psnruv,uv,34.41723468964182,34.41723468964182,0.0,PASS
131,psnruv,uv,34.353184025571565,34.35318402557156,7.105427357601002e-15,PASS
132,psnruv,uv,34.26178871632949,34.26178871632948,1.4210854715202004e-14,PASS
133,psnruv,uv,33.964571223711275,33.96457122371128,7.105427357601002e-15,PASS
134,psnruv,uv,34.23195205594359,34.23195205594358,7.105427357601002e-15,PASS
135,psnruv,uv,34.942264666336996,34.94226466633701,1.4210854715202004e-14,PASS
136,psnruv,uv,34.879917934989166,34.879917934989166,0.0,PASS
137,psnruv,uv,34.94832129924403,34.94832129924403,0.0,PASS
138,psnruv,uv,34.607636745543445,34.60763674554345,7.105427357601002e-15,PASS
139,psnruv,uv,34.565282440903246,34.565282440903246,0.0,PASS
140,psnruv,uv,34.445882359507344,34.44588235950735,7.105427357601002e-15,PASS
141,psnruv,uv,32.98745059816469,32.98745059816469,0.0,PASS
142,psnruv,uv,32.16836763124425,32.16836763124425,0.0,PASS
143,psnruv,uv,32.659597293139726,32.65959729313973,7.105427357601002e-15,PASS
144,psnruv,uv,32.62151242273904,32.621512422739045,7.105427357601002e-15,PASS
145,psnruv,uv,32.496235440244654,32.496235440244654,0.0,PASS
146,psnruv,uv,32.95432054652912,32.95432054652912,0.0,PASS
147,psnruv,uv,33.310570779619574,33.310570779619574,0.0,PASS
148,psnruv,uv,33.566573128717614,33.566573128717614,0.0,PASS
149,psnruv,uv,33.51770103682588,33.51770103682588,0.0,PASS
150,psnruv,uv,33.66104551151678,33.66104551151679,7.105427357601002e-15,PASS
151,psnruv,uv,34.06385698119241,34.063856981192416,7.105427357601002e-15,PASS
152,psnruv,uv,34.3954291303247,34.3954291303247,0.0,PASS
153,psnruv,uv,35.21453356383209,35.21453356383209,0.0,PASS
154,psnruv,uv,35.23544789718935,35.23544789718935,0.0,PASS
155,psnruv,uv,35.45189296658536,35.45189296658536,0.0,PASS
156,psnruv,uv,35.70995830836508,35.70995830836508,0.0,PASS
157,psnruv,uv,35.653259271811365,35.653259271811365,0.0,PASS
158,psnruv,uv,36.528332792153904,36.528332792153904,0.0,PASS
159,psnruv,uv,38.36829608500268,38.36829608500268,0.0,PASS
160,psnruv,uv,39.373456502363,39.373456502363,0.0,PASS
161,psnruv,uv,39.21516010892848,39.21516010892848,0.0,PASS
162,psnruv,uv,39.316813654817594,39.316813654817594,0.0,PASS
163,psnruv,uv,39.03158858665379,39.031588586653776,1.4210854715202004e-14,PASS
164,psnruv,uv,38.593270211246974,38.59327021124699,1.4210854715202004e-14,PASS
165,psnruv,uv,37.69823558878361,37.69823558878361,0.0,PASS
166,psnruv,uv,36.44427145017445,36.44427145017445,0.0,PASS
167,psnruv,uv,36.374976822270774,36.374976822270774,0.0,PASS
0,psnruv,speed_only,34.75301039990308,34.75301039990307,1.4210854715202004e-14,PASS
1,psnruv,speed_only,34.78249153830723,34.78249153830721,1.4210854715202004e-14,PASS
2,psnruv,speed_only,34.52211654168145,34.52211654168145,0.0,PASS
