contrast_id,contrast_family,base_method,comparison_method,sample_idx,metric,metric_family,direction,base_value,comparison_value,raw_delta,oriented_improvement
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,151,speed_mae,scalar_speed,lower_is_better,0.5315221154203104,0.5875710501847957,0.05604893476448536,-0.05604893476448536
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,152,speed_mae,scalar_speed,lower_is_better,0.4873654027931685,0.5438176864831511,0.05645228368998262,-0.05645228368998262
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,153,speed_mae,scalar_speed,lower_is_better,0.44616798454006856,0.4993148916223835,0.053146907082314954,-0.053146907082314954
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,154,speed_mae,scalar_speed,lower_is_better,0.41090706973333063,0.4641840978160051,0.05327702808267448,-0.05327702808267448
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,155,speed_mae,scalar_speed,lower_is_better,0.3893700215900036,0.4395727192071016,0.050202697617098,-0.050202697617098
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,156,speed_mae,scalar_speed,lower_is_better,0.36995453457474425,0.4207798173119452,0.05082528273720094,-0.05082528273720094
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,157,speed_mae,scalar_speed,lower_is_better,0.34997261319478684,0.4006533162227335,0.05068070302794664,-0.05068070302794664
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,158,speed_mae,scalar_speed,lower_is_better,0.31778909357092516,0.35972960008653965,0.041940506515614484,-0.041940506515614484
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,159,speed_mae,scalar_speed,lower_is_better,0.2716067585735436,0.31131377626061557,0.039707017687071966,-0.039707017687071966
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,160,speed_mae,scalar_speed,lower_is_better,0.24041374228287987,0.2772159455864786,0.036802203303598735,-0.036802203303598735
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,161,speed_mae,scalar_speed,lower_is_better,0.22652085168807462,0.2601667649807711,0.033645913292696505,-0.033645913292696505
