design_id,method_id,metric,metric_family,direction,n_valid,mean,median,standard_deviation,standard_error,iid_bootstrap_ci95_low,iid_bootstrap_ci95_high
B_FACTORIAL_2x3,levelset_only,exceed_abs_t5,threshold_geometry,lower_is_better,168,0.006518190476190481,0.006594000000000044,0.003030403409742174,0.00023380069892988163,0.006065975595238105,0.006965847619047623
B_FACTORIAL_2x3,speed_levelset,exceed_abs_t5,threshold_geometry,lower_is_better,168,0.006855095238095238,0.007046000000000052,0.003066310934228033,0.00023657102458838857,0.006396864880952384,0.00731146547619048
B_FACTORIAL_2x3,grad_only,exceed_abs_t5,threshold_geometry,lower_is_better,168,0.003612309523809529,0.0034100000000000796,0.0021697016543503833,0.0001673961168422785,0.003285425000000004,0.003936391666666673
B_FACTORIAL_2x3,speed_grad,exceed_abs_t5,threshold_geometry,lower_is_better,168,0.005011547619047621,0.005067999999999961,0.002389536368754211,0.00018435673327751366,0.004649307738095239,0.005367338095238089
B_FACTORIAL_2x3,grad_levelset,exceed_abs_t5,threshold_geometry,lower_is_better,168,0.004163357142857147,0.0041500000000000425,0.0023112503738986967,0.00017831683764685317,0.003814402380952389,0.004508001785714282
B_FACTORIAL_2x3,candidate_b,exceed_abs_t5,threshold_geometry,lower_is_better,168,0.004886714285714284,0.004952000000000012,0.0024452270436759126,0.00018865336212854788,0.004518187500000002,0.005246996428571429
B_FACTORIAL_2x3,uv,exceed_abs_t10,threshold_geometry,lower_is_better,168,0.0054696428571428535,0.004533999999999996,0.0039874338021809305,0.00030763719671429945,0.004878035714285712,0.006074747023809521
B_FACTORIAL_2x3,speed_only,exceed_abs_t10,threshold_geometry,lower_is_better,168,0.004892476190476189,0.004021999999999984,0.0034220361151049267,0.00026401581812597646,0.004380704166666668,0.0054107934523809475
B_FACTORIAL_2x3,levelset_only,exceed_abs_t10,threshold_geometry,lower_is_better,168,0.004467690476190476,0.004185999999999981,0.0027305305135920475,0.00021066500271048214,0.004061327976190476,0.004879088690476191
B_FACTORIAL_2x3,speed_levelset,exceed_abs_t10,threshold_geometry,lower_is_better,168,0.004481833333333332,0.0044420000000000015,0.002719595702751999,0.0002098213637385715,0.004078015476190473,0.00489414702380952
B_FACTORIAL_2x3,grad_only,exceed_abs_t10,threshold_geometry,lower_is_better,168,0.0036443571428571423,0.003320000000000045,0.0025069631347729,0.00019341640496346288,0.0032778660714285687,0.004033290476190476
B_FACTORIAL_2x3,speed_grad,exceed_abs_t10,threshold_geometry,lower_is_better,168,0.003300880952380949,0.002848000000000017,0.002490627814005637,0.00019215610760491586,0.002930884523809519,0.00367707738095238
B_FACTORIAL_2x3,grad_levelset,exceed_abs_t10,threshold_geometry,lower_is_better,168,0.004059666666666665,0.0037700000000000303,0.002909923501817037,0.00022450547223189514,0.0036287785714285738,0.0045060244047619
B_FACTORIAL_2x3,candidate_b,exceed_abs_t10,threshold_geometry,lower_is_better,168,0.003645595238095238,0.003223999999999949,0.0025176974611429096,0.00019424457622270233,0.0032686845238095235,0.00402564464285714
B_FACTORIAL_2x3,uv,exceed_abs_t15,threshold_geometry,lower_is_better,168,0.005337119047619047,0.005579999999999997,0.0037181600736181574,0.00028686227752729,0.004793447619047618,0.005912369047619047
B_FACTORIAL_2x3,speed_only,exceed_abs_t15,threshold_geometry,lower_is_better,168,0.004753880952380952,0.0048459999999999875,0.0034360023819805965,0.00026509333900866667,0.004245943452380952,0.00528416845238095
B_FACTORIAL_2x3,levelset_only,exceed_abs_t15,threshold_geometry,lower_is_better,168,0.0043257619047619034,0.004060000000000008,0.003124254973681885,0.00024104150428742106,0.003867118452380952,0.004806563095238093
B_FACTORIAL_2x3,speed_levelset,exceed_abs_t15,threshold_geometry,lower_is_better,168,0.004109428571428571,0.003732000000000013,0.0030674688790937586,0.000236660361974315,0.0036630845238095236,0.0045792178571428584
B_FACTORIAL_2x3,grad_only,exceed_abs_t15,threshold_geometry,lower_is_better,168,0.0030612142857142856,0.0021059999999999968,0.0025871223329759106,0.0001996008213699628,0.00268863869047619,0.0034713416666666674
