sample_idx,metric,metric_family,direction,effect_id,effect_order,factors,raw_regression_coefficient,raw_factorial_effect,oriented_regression_coefficient,oriented_factorial_effect
58,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.15588351643098264,-0.3117670328619653,0.15588351643098264,0.3117670328619653
59,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.21820164237698947,-0.43640328475397894,0.21820164237698947,0.43640328475397894
60,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.2728321013353181,-0.5456642026706362,0.2728321013353181,0.5456642026706362
61,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.3169724024863001,-0.6339448049726002,0.3169724024863001,0.6339448049726002
62,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.17476374112793636,-0.3495274822558727,0.17476374112793636,0.3495274822558727
63,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.08688790475757457,-0.17377580951514915,0.08688790475757457,0.17377580951514915
64,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.05351128065565547,-0.10702256131131094,0.05351128065565547,0.10702256131131094
65,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.007302254300888933,-0.014604508601777866,0.007302254300888933,0.014604508601777866
66,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",0.010816684851324254,0.02163336970264851,-0.010816684851324254,-0.02163336970264851
67,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.03254416128979898,-0.06508832257959796,0.03254416128979898,0.06508832257959796
68,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.10483654240526974,-0.20967308481053948,0.10483654240526974,0.20967308481053948
69,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.2794931507276246,-0.5589863014552492,0.2794931507276246,0.5589863014552492
70,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.4979614663266432,-0.9959229326532864,0.4979614663266432,0.9959229326532864
71,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.4278298776288878,-0.8556597552577756,0.4278298776288878,0.8556597552577756
72,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.456130774033106,-0.912261548066212,0.456130774033106,0.912261548066212
73,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.4041916351047945,-0.808383270209589,0.4041916351047945,0.808383270209589
74,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.33157895190976205,-0.6631579038195241,0.33157895190976205,0.6631579038195241
75,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.36388743588073424,-0.7277748717614685,0.36388743588073424,0.7277748717614685
76,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.24833843001511724,-0.4966768600302345,0.24833843001511724,0.4966768600302345
77,wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",-0.327833569296601,-0.655667138593202,0.327833569296601,0.655667138593202
