sample_idx,metric,metric_family,direction,effect_id,effect_order,factors,raw_regression_coefficient,raw_factorial_effect,oriented_regression_coefficient,oriented_factorial_effect
83,psnruv,vector_uv,higher_is_better,speed,1,speed,0.018334633231697595,0.03666926646339519,0.018334633231697595,0.03666926646339519
84,psnruv,vector_uv,higher_is_better,speed,1,speed,0.015119961025891637,0.030239922051783275,0.015119961025891637,0.030239922051783275
85,psnruv,vector_uv,higher_is_better,speed,1,speed,0.017115555052162446,0.03423111010432489,0.017115555052162446,0.03423111010432489
86,psnruv,vector_uv,higher_is_better,speed,1,speed,0.016501007090095055,0.03300201418019011,0.016501007090095055,0.03300201418019011
87,psnruv,vector_uv,higher_is_better,speed,1,speed,0.015312323559456331,0.030624647118912662,0.015312323559456331,0.030624647118912662
88,psnruv,vector_uv,higher_is_better,speed,1,speed,0.01593345730988549,0.03186691461977098,0.01593345730988549,0.03186691461977098
89,psnruv,vector_uv,higher_is_better,speed,1,speed,0.01697567939732547,0.03395135879465094,0.01697567939732547,0.03395135879465094
90,psnruv,vector_uv,higher_is_better,speed,1,speed,0.018187199011297395,0.03637439802259479,0.018187199011297395,0.03637439802259479
91,psnruv,vector_uv,higher_is_better,speed,1,speed,0.017276080983456232,0.034552161966912465,0.017276080983456232,0.034552161966912465
92,psnruv,vector_uv,higher_is_better,speed,1,speed,0.01883071042153528,0.03766142084307056,0.01883071042153528,0.03766142084307056
93,psnruv,vector_uv,higher_is_better,speed,1,speed,0.021722666177851124,0.04344533235570225,0.021722666177851124,0.04344533235570225
94,psnruv,vector_uv,higher_is_better,speed,1,speed,0.025522373517623098,0.051044747035246196,0.025522373517623098,0.051044747035246196
95,psnruv,vector_uv,higher_is_better,speed,1,speed,0.0262507871034936,0.0525015742069872,0.0262507871034936,0.0525015742069872
96,psnruv,vector_uv,higher_is_better,speed,1,speed,0.026565461644553867,0.053130923289107734,0.026565461644553867,0.053130923289107734
97,psnruv,vector_uv,higher_is_better,speed,1,speed,0.02841206738515467,0.05682413477030934,0.02841206738515467,0.05682413477030934
98,psnruv,vector_uv,higher_is_better,speed,1,speed,0.028499743261483967,0.056999486522967935,0.028499743261483967,0.056999486522967935
99,psnruv,vector_uv,higher_is_better,speed,1,speed,0.028116255957336023,0.056232511914672045,0.028116255957336023,0.056232511914672045
100,psnruv,vector_uv,higher_is_better,speed,1,speed,0.02874047448001882,0.05748094896003764,0.02874047448001882,0.05748094896003764
101,psnruv,vector_uv,higher_is_better,speed,1,speed,0.030191408423493993,0.060382816846987986,0.030191408423493993,0.060382816846987986
102,psnruv,vector_uv,higher_is_better,speed,1,speed,0.028139044644626576,0.05627808928925315,0.028139044644626576,0.05627808928925315
103,psnruv,vector_uv,higher_is_better,speed,1,speed,0.02922592391088097,0.05845184782176194,0.02922592391088097,0.05845184782176194
104,psnruv,vector_uv,higher_is_better,speed,1,speed,0.027765458929659204,0.05553091785931841,0.027765458929659204,0.05553091785931841
105,psnruv,vector_uv,higher_is_better,speed,1,speed,0.02709105691989855,0.0541821138397971,0.02709105691989855,0.0541821138397971
106,psnruv,vector_uv,higher_is_better,speed,1,speed,0.029392780172836197,0.058785560345672394,0.029392780172836197,0.058785560345672394
107,psnruv,vector_uv,higher_is_better,speed,1,speed,0.029414175262076903,0.058828350524153805,0.029414175262076903,0.058828350524153805
108,psnruv,vector_uv,higher_is_better,speed,1,speed,0.029677912296976583,0.059355824593953166,0.029677912296976583,0.059355824593953166
109,psnruv,vector_uv,higher_is_better,speed,1,speed,0.02945413350693471,0.05890826701386942,0.02945413350693471,0.05890826701386942
110,psnruv,vector_uv,higher_is_better,speed,1,speed,0.027388372259638416,0.05477674451927683,0.027388372259638416,0.05477674451927683
111,psnruv,vector_uv,higher_is_better,speed,1,speed,0.02681971659333282,0.05363943318666564,0.02681971659333282,0.05363943318666564
112,psnruv,vector_uv,higher_is_better,speed,1,speed,0.0281031000434373,0.0562062000868746,0.0281031000434373,0.0562062000868746
113,psnruv,vector_uv,higher_is_better,speed,1,speed,0.026582878649352715,0.05316575729870543,0.026582878649352715,0.05316575729870543
114,psnruv,vector_uv,higher_is_better,speed,1,speed,0.026330523550076812,0.052661047100153624,0.026330523550076812,0.052661047100153624
115,psnruv,vector_uv,higher_is_better,speed,1,speed,0.022327869401107314,0.04465573880221463,0.022327869401107314,0.04465573880221463
116,psnruv,vector_uv,higher_is_better,speed,1,speed,0.023278142404819846,0.04655628480963969,0.023278142404819846,0.04655628480963969
117,psnruv,vector_uv,higher_is_better,speed,1,speed,0.024981092474709143,0.04996218494941829,0.024981092474709143,0.04996218494941829
