sample_idx,metric,method_id,observed_value,reconstructed_value,absolute_difference,status
102,psd_slope_abs_delta,f2_grad_levelset_e2,1.5032745913201973,1.5032745913201975,2.220446049250313e-16,PASS
103,psd_slope_abs_delta,f2_grad_levelset_e2,1.5294756974661428,1.5294756974661432,4.440892098500626e-16,PASS
104,psd_slope_abs_delta,f2_grad_levelset_e2,1.5978816031619276,1.5978816031619276,0.0,PASS
105,psd_slope_abs_delta,f2_grad_levelset_e2,1.4816427138621533,1.4816427138621533,0.0,PASS
106,psd_slope_abs_delta,f2_grad_levelset_e2,1.420516381362292,1.420516381362292,0.0,PASS
107,psd_slope_abs_delta,f2_grad_levelset_e2,1.3873566477353103,1.3873566477353103,0.0,PASS
108,psd_slope_abs_delta,f2_grad_levelset_e2,1.4031674585541247,1.4031674585541247,0.0,PASS
109,psd_slope_abs_delta,f2_grad_levelset_e2,1.4170154554955958,1.417015455495596,2.220446049250313e-16,PASS
110,psd_slope_abs_delta,f2_grad_levelset_e2,1.499172845701051,1.499172845701051,0.0,PASS
111,psd_slope_abs_delta,f2_grad_levelset_e2,1.535076083121484,1.535076083121484,0.0,PASS
112,psd_slope_abs_delta,f2_grad_levelset_e2,1.520877966425285,1.5208779664252852,2.220446049250313e-16,PASS
113,psd_slope_abs_delta,f2_grad_levelset_e2,1.4475509588220894,1.4475509588220896,2.220446049250313e-16,PASS
114,psd_slope_abs_delta,f2_grad_levelset_e2,1.4410494810710948,1.4410494810710945,2.220446049250313e-16,PASS
115,psd_slope_abs_delta,f2_grad_levelset_e2,1.5728975783110875,1.5728975783110877,2.220446049250313e-16,PASS
116,psd_slope_abs_delta,f2_grad_levelset_e2,1.6040024919382239,1.6040024919382239,0.0,PASS
117,psd_slope_abs_delta,f2_grad_levelset_e2,1.6277910912936853,1.6277910912936853,0.0,PASS
118,psd_slope_abs_delta,f2_grad_levelset_e2,1.546841010229529,1.546841010229529,0.0,PASS
119,psd_slope_abs_delta,f2_grad_levelset_e2,1.46438725626095,1.4643872562609497,2.220446049250313e-16,PASS
120,psd_slope_abs_delta,f2_grad_levelset_e2,1.3072030607785918,1.3072030607785916,2.220446049250313e-16,PASS
121,psd_slope_abs_delta,f2_grad_levelset_e2,1.0652248337680803,1.0652248337680805,2.220446049250313e-16,PASS
122,psd_slope_abs_delta,f2_grad_levelset_e2,1.006966917992619,1.006966917992619,0.0,PASS
123,psd_slope_abs_delta,f2_grad_levelset_e2,0.8718156659174514,0.8718156659174513,1.1102230246251565e-16,PASS
124,psd_slope_abs_delta,f2_grad_levelset_e2,0.8195223894055554,0.8195223894055554,0.0,PASS
125,psd_slope_abs_delta,f2_grad_levelset_e2,0.8764694006671958,0.8764694006671956,2.220446049250313e-16,PASS
126,psd_slope_abs_delta,f2_grad_levelset_e2,1.0202965306611582,1.020296530661158,2.220446049250313e-16,PASS
127,psd_slope_abs_delta,f2_grad_levelset_e2,1.0720523201203234,1.0720523201203236,2.220446049250313e-16,PASS
128,psd_slope_abs_delta,f2_grad_levelset_e2,0.9265368794386905,0.9265368794386903,1.1102230246251565e-16,PASS
129,psd_slope_abs_delta,f2_grad_levelset_e2,0.960403771400881,0.9604037714008812,2.220446049250313e-16,PASS
130,psd_slope_abs_delta,f2_grad_levelset_e2,1.018289477243104,1.0182894772431037,2.220446049250313e-16,PASS
131,psd_slope_abs_delta,f2_grad_levelset_e2,0.9910601050325158,0.991060105032516,1.1102230246251565e-16,PASS
132,psd_slope_abs_delta,f2_grad_levelset_e2,0.9181259532824635,0.9181259532824635,0.0,PASS
133,psd_slope_abs_delta,f2_grad_levelset_e2,0.791404435600781,0.7914044356007811,1.1102230246251565e-16,PASS
134,psd_slope_abs_delta,f2_grad_levelset_e2,0.6116287040040771,0.6116287040040771,0.0,PASS
135,psd_slope_abs_delta,f2_grad_levelset_e2,0.8268514557507423,0.8268514557507423,0.0,PASS
136,psd_slope_abs_delta,f2_grad_levelset_e2,1.1837786682016755,1.1837786682016753,2.220446049250313e-16,PASS
137,psd_slope_abs_delta,f2_grad_levelset_e2,1.1881652106449894,1.1881652106449896,2.220446049250313e-16,PASS
138,psd_slope_abs_delta,f2_grad_levelset_e2,1.3200061139579249,1.3200061139579247,2.220446049250313e-16,PASS
139,psd_slope_abs_delta,f2_grad_levelset_e2,1.2611519436637004,1.2611519436637009,4.440892098500626e-16,PASS
140,psd_slope_abs_delta,f2_grad_levelset_e2,1.4441466123078615,1.4441466123078617,2.220446049250313e-16,PASS
141,psd_slope_abs_delta,f2_grad_levelset_e2,1.3555455956056277,1.3555455956056277,0.0,PASS
142,psd_slope_abs_delta,f2_grad_levelset_e2,1.1164535656089396,1.11645356560894,4.440892098500626e-16,PASS
143,psd_slope_abs_delta,f2_grad_levelset_e2,0.8651038785219786,0.8651038785219785,1.1102230246251565e-16,PASS
144,psd_slope_abs_delta,f2_grad_levelset_e2,0.7062693252759586,0.7062693252759586,0.0,PASS
145,psd_slope_abs_delta,f2_grad_levelset_e2,0.8893901938808568,0.8893901938808567,1.1102230246251565e-16,PASS
146,psd_slope_abs_delta,f2_grad_levelset_e2,0.9389420121000746,0.9389420121000746,0.0,PASS
147,psd_slope_abs_delta,f2_grad_levelset_e2,1.1289643372609246,1.1289643372609244,2.220446049250313e-16,PASS
148,psd_slope_abs_delta,f2_grad_levelset_e2,1.127688684981115,1.1276886849811145,4.440892098500626e-16,PASS
149,psd_slope_abs_delta,f2_grad_levelset_e2,1.2242645377140922,1.2242645377140922,0.0,PASS
150,psd_slope_abs_delta,f2_grad_levelset_e2,1.1197371378856926,1.1197371378856924,2.220446049250313e-16,PASS
151,psd_slope_abs_delta,f2_grad_levelset_e2,0.9902416603974348,0.9902416603974347,1.1102230246251565e-16,PASS
152,psd_slope_abs_delta,f2_grad_levelset_e2,0.8520916962863273,0.8520916962863274,1.1102230246251565e-16,PASS
153,psd_slope_abs_delta,f2_grad_levelset_e2,0.8474071049566878,0.8474071049566879,1.1102230246251565e-16,PASS
154,psd_slope_abs_delta,f2_grad_levelset_e2,0.7311560863810518,0.7311560863810519,1.1102230246251565e-16,PASS
155,psd_slope_abs_delta,f2_grad_levelset_e2,0.8042032329458613,0.8042032329458613,0.0,PASS
156,psd_slope_abs_delta,f2_grad_levelset_e2,0.7987863387501162,0.7987863387501163,1.1102230246251565e-16,PASS
157,psd_slope_abs_delta,f2_grad_levelset_e2,0.8432790906234164,0.8432790906234167,2.220446049250313e-16,PASS
158,psd_slope_abs_delta,f2_grad_levelset_e2,1.0704600714958064,1.0704600714958066,2.220446049250313e-16,PASS
159,psd_slope_abs_delta,f2_grad_levelset_e2,1.0535659740444983,1.0535659740444983,0.0,PASS
160,psd_slope_abs_delta,f2_grad_levelset_e2,1.026684984500387,1.0266849845003871,2.220446049250313e-16,PASS
161,psd_slope_abs_delta,f2_grad_levelset_e2,1.006687305627671,1.0066873056276708,2.220446049250313e-16,PASS
162,psd_slope_abs_delta,f2_grad_levelset_e2,0.9348930515613623,0.9348930515613625,2.220446049250313e-16,PASS
163,psd_slope_abs_delta,f2_grad_levelset_e2,0.9154190986772012,0.9154190986772012,0.0,PASS
164,psd_slope_abs_delta,f2_grad_levelset_e2,0.9885693233376904,0.9885693233376904,0.0,PASS
165,psd_slope_abs_delta,f2_grad_levelset_e2,1.1703525585192533,1.1703525585192533,0.0,PASS
166,psd_slope_abs_delta,f2_grad_levelset_e2,1.4325842423678756,1.4325842423678758,2.220446049250313e-16,PASS
167,psd_slope_abs_delta,f2_grad_levelset_e2,1.4622167059030997,1.4622167059031,2.220446049250313e-16,PASS
0,exceed_abs_t5,grad_only,0.0006199999999999539,0.0006199999999999539,0.0,PASS
1,exceed_abs_t5,grad_only,0.0026440000000000907,0.0026440000000000907,0.0,PASS
2,exceed_abs_t5,grad_only,0.0037119999999999376,0.0037119999999999376,0.0,PASS
3,exceed_abs_t5,grad_only,0.0043719999999999315,0.0043719999999999315,0.0,PASS
4,exceed_abs_t5,grad_only,0.0032880000000000686,0.0032880000000000686,0.0,PASS
5,exceed_abs_t5,grad_only,0.0035359999999999836,0.0035359999999999836,0.0,PASS
6,exceed_abs_t5,grad_only,0.0043800000000000505,0.0043800000000000505,0.0,PASS
7,exceed_abs_t5,grad_only,0.0036080000000000556,0.0036080000000000556,0.0,PASS
8,exceed_abs_t5,grad_only,0.006740000000000079,0.006740000000000079,0.0,PASS
9,exceed_abs_t5,grad_only,0.006863999999999981,0.006863999999999981,0.0,PASS
10,exceed_abs_t5,grad_only,0.005063999999999957,0.005063999999999957,0.0,PASS
11,exceed_abs_t5,grad_only,0.0039599999999999635,0.0039599999999999635,0.0,PASS
12,exceed_abs_t5,grad_only,0.0035479999999999956,0.0035479999999999956,0.0,PASS
13,exceed_abs_t5,grad_only,0.0028799999999999937,0.0028799999999999937,0.0,PASS
14,exceed_abs_t5,grad_only,0.0015720000000000178,0.0015720000000000178,0.0,PASS
15,exceed_abs_t5,grad_only,0.0006359999999999699,0.0006359999999999699,0.0,PASS
16,exceed_abs_t5,grad_only,0.0005880000000000329,0.0005880000000000329,0.0,PASS
17,exceed_abs_t5,grad_only,0.0010160000000000169,0.0010160000000000169,0.0,PASS
18,exceed_abs_t5,grad_only,0.001068000000000069,0.001068000000000069,0.0,PASS
