sample_idx,metric,metric_family,direction,effect_id,effect_order,factors,raw_regression_coefficient,raw_factorial_effect,oriented_regression_coefficient,oriented_factorial_effect
45,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.029932369028433214,0.05986473805686643,0.029932369028433214,0.05986473805686643
46,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.03377314922632735,0.0675462984526547,0.03377314922632735,0.0675462984526547
47,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.03687680255963777,0.07375360511927553,0.03687680255963777,0.07375360511927553
48,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.03985781341781092,0.07971562683562183,0.03985781341781092,0.07971562683562183
49,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.03694712711130954,0.07389425422261908,0.03694712711130954,0.07389425422261908
50,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.036065459005188316,0.07213091801037663,0.036065459005188316,0.07213091801037663
51,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.03931153502558615,0.0786230700511723,0.03931153502558615,0.0786230700511723
52,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.039668271037323066,0.07933654207464613,0.039668271037323066,0.07933654207464613
53,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04047629203510894,0.08095258407021788,0.04047629203510894,0.08095258407021788
54,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.044779996956478385,0.08955999391295677,0.044779996956478385,0.08955999391295677
55,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04717983013267357,0.09435966026534715,0.04717983013267357,0.09435966026534715
56,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.048003149275736234,0.09600629855147247,0.048003149275736234,0.09600629855147247
57,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04918895605961282,0.09837791211922564,0.04918895605961282,0.09837791211922564
58,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04653524837350087,0.09307049674700174,0.04653524837350087,0.09307049674700174
59,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.049112331160076295,0.09822466232015259,0.049112331160076295,0.09822466232015259
60,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.0509166443317417,0.1018332886634834,0.0509166443317417,0.1018332886634834
61,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.05045398222294306,0.10090796444588612,0.05045398222294306,0.10090796444588612
62,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.044535817803641464,0.08907163560728293,0.044535817803641464,0.08907163560728293
63,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04476704193715264,0.08953408387430528,0.04476704193715264,0.08953408387430528
64,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04503352535716587,0.09006705071433174,0.04503352535716587,0.09006705071433174
65,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.045656122964822465,0.09131224592964493,0.045656122964822465,0.09131224592964493
66,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.045444154806833836,0.09088830961366767,0.045444154806833836,0.09088830961366767
67,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.05192379891998389,0.10384759783996778,0.05192379891998389,0.10384759783996778
68,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.048460877866802754,0.09692175573360551,0.048460877866802754,0.09692175573360551
69,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.05610861343227924,0.11221722686455848,0.05610861343227924,0.11221722686455848
70,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.0551478236125007,0.1102956472250014,0.0551478236125007,0.1102956472250014
71,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.05116020808466715,0.1023204161693343,0.05116020808466715,0.1023204161693343
72,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.046012815897690906,0.09202563179538181,0.046012815897690906,0.09202563179538181
73,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04478615367709349,0.08957230735418698,0.04478615367709349,0.08957230735418698
74,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04332435818770364,0.08664871637540728,0.04332435818770364,0.08664871637540728
75,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04495139377287671,0.08990278754575343,0.04495139377287671,0.08990278754575343
76,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.043558386567659646,0.08711677313531929,0.043558386567659646,0.08711677313531929
77,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.043213058321478925,0.08642611664295785,0.043213058321478925,0.08642611664295785
78,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04802272514693229,0.09604545029386458,0.04802272514693229,0.09604545029386458
79,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.046593573453442616,0.09318714690688523,0.046593573453442616,0.09318714690688523
80,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04682861410983197,0.09365722821966393,0.04682861410983197,0.09365722821966393
81,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.045726769659991895,0.09145353931998379,0.045726769659991895,0.09145353931998379
82,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04398441703161282,0.08796883406322564,0.04398441703161282,0.08796883406322564
83,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04272997293602376,0.08545994587204753,0.04272997293602376,0.08545994587204753
84,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04409234630161141,0.08818469260322281,0.04409234630161141,0.08818469260322281
85,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04333643386527619,0.08667286773055238,0.04333643386527619,0.08667286773055238
86,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.041748649735125376,0.08349729947025075,0.041748649735125376,0.08349729947025075
87,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.03963975549193055,0.0792795109838611,0.03963975549193055,0.0792795109838611
88,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.042454335376882035,0.08490867075376407,0.042454335376882035,0.08490867075376407
89,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.046591066551343374,0.09318213310268675,0.046591066551343374,0.09318213310268675
90,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.05046392805515598,0.10092785611031196,0.05046392805515598,0.10092785611031196
91,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.05173287971326701,0.10346575942653402,0.05173287971326701,0.10346575942653402
92,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.054319394206270744,0.10863878841254149,0.054319394206270744,0.10863878841254149
93,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.056394229481661284,0.11278845896332257,0.056394229481661284,0.11278845896332257
94,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.05457203120319942,0.10914406240639885,0.05457203120319942,0.10914406240639885
95,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.0511558106352803,0.1023116212705606,0.0511558106352803,0.1023116212705606
96,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04739699716790646,0.09479399433581293,0.04739699716790646,0.09479399433581293
97,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04461569187278691,0.08923138374557382,0.04461569187278691,0.08923138374557382
98,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04506390180693742,0.09012780361387485,0.04506390180693742,0.09012780361387485
99,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04642761739912604,0.09285523479825208,0.04642761739912604,0.09285523479825208
100,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.045931697240255254,0.09186339448051051,0.045931697240255254,0.09186339448051051
101,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04685382450885189,0.09370764901770379,0.04685382450885189,0.09370764901770379
102,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.042349505758534356,0.08469901151706871,0.042349505758534356,0.08469901151706871
103,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04878093145797191,0.09756186291594382,0.04878093145797191,0.09756186291594382
104,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.051563934631983166,0.10312786926396633,0.051563934631983166,0.10312786926396633
105,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.05273498793019993,0.10546997586039986,0.05273498793019993,0.10546997586039986
