metric,metric_family,direction,effect_id,effect_order,factors,n_valid,mean_raw_factorial_effect,median_raw_factorial_effect,mean_oriented_factorial_effect,median_oriented_factorial_effect,oriented_effect_standard_deviation,oriented_effect_standard_error,iid_bootstrap_ci95_low,iid_bootstrap_ci95_high,block6_bootstrap_ci95_low,block6_bootstrap_ci95_high,block12_bootstrap_ci95_low,block12_bootstrap_ci95_high,block24_bootstrap_ci95_low,block24_bootstrap_ci95_high,positive_count,zero_count,negative_count,positive_rate,zero_rate,negative_rate,paired_effect_size_dz,sign_test_p_raw,wilcoxon_p_raw,test_status
grad_w1,gradient_distribution,lower_is_better,e2,1,e2,168,-0.042731109534067946,-0.04234399147131291,0.042731109534067946,0.04234399147131291,0.014556353267761267,0.0011230470362236034,0.04055280343538723,0.04491146627348769,0.0380689248796299,0.04744300567661729,0.03758693048094808,0.04790756255362175,0.03857756700089524,0.04666336370533986,168,0,0,1.0,0.0,0.0,2.9355641999089714,5.345529420184391e-51,2.546826342812208e-29,sign_test=ok; wilcoxon=ok
grad_w1,gradient_distribution,lower_is_better,levelset:e2,2,"levelset,e2",168,-0.005716346584947054,-0.006100529729574367,0.005716346584947054,0.006100529729574367,0.0038098991180388272,0.00029394009846550525,0.0051364331181977235,0.006286933396207482,0.00429781415286799,0.007090518576775815,0.003795740130681077,0.0075656297795639775,0.0031737342278899596,0.0081903148570312,168,0,0,1.0,0.0,0.0,1.5003931620870803,5.345529420184391e-51,2.546826342812208e-29,sign_test=ok; wilcoxon=ok
grad_kurtosis_abs_delta,gradient_distribution,lower_is_better,levelset,1,levelset,168,0.1135485002904321,0.17145460212745922,-0.1135485002904321,-0.17145460212745922,0.5207363585613901,0.040175682286541774,-0.19275642139006918,-0.034637973760524444,-0.2617038125721175,0.033623523806111874,-0.28683103111663405,0.056515090400655776,-0.3072341006602377,0.07084706652542322,71,0,97,0.4226190476190476,0.0,0.5773809523809523,-0.21805372032044457,0.05343240458128752,0.013131347830845816,sign_test=ok; wilcoxon=ok
grad_kurtosis_abs_delta,gradient_distribution,lower_is_better,e2,1,e2,168,0.5249182905967045,0.4726482763247142,-0.5249182905967045,-0.4726482763247142,2.7882566519664183,0.21511867097625245,-0.9441627613618326,-0.10583571681687082,-1.2920340321531667,0.27835587484360275,-1.4391814227346746,0.4056705732413716,-1.5429589171373297,0.47303876678161727,69,0,99,0.4107142857142857,0.0,0.5892857142857143,-0.18826039210791654,0.024968665281135283,0.00536481426854101,sign_test=ok; wilcoxon=ok
grad_kurtosis_abs_delta,gradient_distribution,lower_is_better,levelset:e2,2,"levelset,e2",168,-0.2253450579991153,-0.1808268946125935,0.2253450579991153,0.1808268946125935,0.41254623945758756,0.03182863338128455,0.16306065473713824,0.288346804443698,0.13796663965957437,0.3174596786159897,0.13348949644327354,0.3241773580780126,0.145957397048367,0.3163292021305439,106,0,62,0.6309523809523809,0.0,0.36904761904761907,0.5462298197055369,0.0008548765507311462,2.949329632706857e-09,sign_test=ok; wilcoxon=ok
psd_log_l2,frequency_domain,lower_is_better,levelset,1,levelset,168,0.03197054899291148,0.030876035547980796,-0.03197054899291148,-0.030876035547980796,0.012581177996644377,0.0009706589556757938,-0.03385866268892391,-0.03009416845111964,-0.03623549245504126,-0.027702466244110522,-0.037087673632142826,-0.02672929300328053,-0.03758067338271527,-0.02608738273841307,1,0,167,0.005952380952380952,0.0,0.9940476190476191,-2.5411411396801307,9.033944720111621e-49,2.592932982651445e-29,sign_test=ok; wilcoxon=ok
psd_log_l2,frequency_domain,lower_is_better,e2,1,e2,168,-0.09584804895609766,-0.08897442005929962,0.09584804895609766,0.08897442005929962,0.056583689375182565,0.004365526411902548,0.08754581425885553,0.10435248155037165,0.07794180464197409,0.11516879716131928,0.07345397512723029,0.11862662538079387,0.07084313837599895,0.12063970406859569,166,0,2,0.9880952380952381,0.0,0.011904761904761904,1.693916568793698,7.58904811783578e-47,2.9928713044070375e-29,sign_test=ok; wilcoxon=ok
psd_log_l2,frequency_domain,lower_is_better,levelset:e2,2,"levelset,e2",168,-0.017489317340459772,-0.013998361873069853,0.017489317340459772,0.013998361873069853,0.013740480014433343,0.0010601010481571188,0.015443822951933117,0.019553615684577978,0.012585094376239968,0.02236046456464261,0.011240910187304947,0.023868032478190256,0.010077655196273736,0.025248751623811235,156,0,12,0.9285714285714286,0.0,0.07142857142857142,1.2728316130214197,4.08308761658268e-33,1.4324028086920743e-26,sign_test=ok; wilcoxon=ok
psd_slope_abs_delta,frequency_domain,lower_is_better,levelset,1,levelset,168,-0.03983638751480191,-0.039396620766121715,0.03983638751480191,0.039396620766121715,0.08636272608928815,0.006663028973717857,0.026827268740184353,0.05263090100287309,0.007951635825454221,0.07070563220212996,-0.0010431011467516966,0.07932954084920743,-0.009577181818081367,0.08886654089263203,113,0,55,0.6726190476190477,0.0,0.3273809523809524,0.4612682961584158,9.020235670869813e-06,1.3009489376306322e-07,sign_test=ok; wilcoxon=ok
psd_slope_abs_delta,frequency_domain,lower_is_better,e2,1,e2,168,-0.2030881466247126,-0.17656206160233867,0.2030881466247126,0.17656206160233867,0.1792760821223634,0.013831450019779885,0.17625348237262375,0.2298413577751196,0.13919265530337702,0.268258237415787,0.12098316643139663,0.2877996773718178,0.1032574052050885,0.30976189110649627,147,0,21,0.875,0.0,0.125,1.1328234319963355,1.78061588575196e-24,2.3079416076128242e-24,sign_test=ok; wilcoxon=ok
psd_slope_abs_delta,frequency_domain,lower_is_better,levelset:e2,2,"levelset,e2",168,0.04905375043960847,0.02674389769982327,-0.04905375043960847,-0.02674389769982327,0.07673283620623719,0.005920066839357447,-0.0606917247165097,-0.03746855328603015,-0.07705866450017901,-0.021721587635810828,-0.08540375260040829,-0.013636559815785798,-0.09257617647653112,-0.007297338769497429,47,0,121,0.27976190476190477,0.0,0.7202380952380952,-0.6392797772750795,1.0380897634971159e-08,1.0641345704360332e-11,sign_test=ok; wilcoxon=ok
exceed_abs_t5,threshold_geometry,lower_is_better,levelset,1,levelset,168,6.494047619047588e-05,-5.9000000000003494e-05,-6.494047619047588e-05,5.9000000000003494e-05,0.0006791086065054037,5.239436648593594e-05,-0.0001661797619047605,3.6994940476189546e-05,-0.00026596220238094654,0.00012143660714285237,-0.00027207946428571593,0.00014113363095238194,-0.0002522889880952352,0.0001431910714285699,98,0,70,0.5833333333333334,0.0,0.4166666666666667,-0.09562605387178104,0.03692680427705723,0.964628848800443,sign_test=ok; wilcoxon=ok
