sample_idx,group_name,pd_winner,mt_winner,direct_error_group_winner,distributional_group_winner,tail_group_winner,configured_physics_group_winner,bicubic_wins,cnn_wins,gan_wins,tie_count,gan_wins_low,gan_wins_high,winner_signature,gan_mean_bias,gan_direction,interpretation_label,phys_bicubic_wins,phys_cnn_wins,phys_gan_wins,phys_winner,groups,question,forced_note
89,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,3,3,0,2,1,t5=GAN;t10=GAN;t15=GAN;p90=CNN;p95=CNN;p99=CNN,103.667,over_fragmented,GAN_component_low_threshold_only,6,2,5,bicubic,bicubic_metric_majority;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
90,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,3,3,0,2,1,t5=GAN;t10=GAN;t15=GAN;p90=CNN;p95=CNN;p99=CNN,93.000,over_fragmented,GAN_component_low_threshold_only,3,2,8,gan,adjacent_cluster_90_93;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,Adjacent transition cluster: why does MT accept GAN in sample 92 but reject nearby GAN-majority samples?,GAN-majority / MT-CNN adjacent control near sample 92
91,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,4,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,108.500,over_fragmented,GAN_component_low_threshold_only,4,2,7,gan,adjacent_cluster_90_93;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,Adjacent transition cluster: why does MT accept GAN in sample 92 but reject nearby GAN-majority samples?,GAN-majority / MT-CNN adjacent control near sample 92
93,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,4,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,131.500,over_fragmented,GAN_component_low_threshold_only,4,1,8,gan,adjacent_cluster_90_93;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,Adjacent transition cluster: why does MT accept GAN in sample 92 but reject nearby GAN-majority samples?,GAN-majority / MT-CNN adjacent control near sample 92
94,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,4,2,0,1,1,t5=CNN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=GAN,146.500,over_fragmented,GAN_component_low_threshold_only,2,1,10,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
95,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,4,2,0,0,2,t5=CNN;t10=CNN;t15=GAN;p90=CNN;p95=GAN;p99=CNN,146.833,over_fragmented,CNN_component_control,2,1,10,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
96,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,3,3,0,0,3,t5=CNN;t10=CNN;t15=GAN;p90=GAN;p95=GAN;p99=CNN,123.833,over_fragmented,mixed_or_ambiguous,2,1,10,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
97,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,0,6,0,2,4,t5=GAN;t10=GAN;t15=GAN;p90=GAN;p95=GAN;p99=GAN,93.000,over_fragmented,GAN_component_strong,3,1,9,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
98,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,0,6,0,2,4,t5=GAN;t10=GAN;t15=GAN;p90=GAN;p95=GAN;p99=GAN,94.000,over_fragmented,GAN_component_strong,3,2,8,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
99,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,0,6,0,2,4,t5=GAN;t10=GAN;t15=GAN;p90=GAN;p95=GAN;p99=GAN,113.000,over_fragmented,GAN_component_strong,3,2,8,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
