sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV_plus_E2_tf_lowlambda_expanded672,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV_plus_E2_tf_lowlambda_expanded672,pd_winner_before,pd_winner_after_candidateUV_plus_E2_tf_lowlambda_expanded672,mt_winner_before,mt_winner_after_candidateUV_plus_E2_tf_lowlambda_expanded672,was_mt_gan_win_before
52,52,21.81632996072092,16.98731478928289,19.538915126468023,5.69123649597168,7.0050048828125,5.769693374633789,gan,gan,cnn,cnn,0
53,53,21.92458068590406,18.078201501754,19.473781995995996,5.261850833892822,7.919146537780762,5.541379928588867,gan,gan,cnn,cnn,0
54,54,22.97915159360149,18.305326668249773,20.29095814366471,5.500187397003174,9.581897735595703,5.825732707977295,gan,gan,cnn,cnn,0
55,55,23.57536347476084,17.428151978200873,20.98725111497854,5.2683796882629395,7.846588134765625,5.2715325355529785,gan,gan,cnn,cnn,0
56,56,24.24948793523431,17.584091876726443,21.639702839530102,5.488292217254639,7.826909065246582,5.844069957733154,gan,gan,cnn,cnn,0
57,57,24.937493176964292,18.354637384973643,21.931121819776937,5.463809013366699,6.805661201477051,5.747358798980713,gan,gan,cnn,cnn,0
58,58,25.56121844001433,18.762904108038654,22.437898204934225,6.08959436416626,8.349846839904785,6.339234352111816,gan,gan,cnn,cnn,0
59,59,25.864386079507888,18.65101850934172,22.788398676224862,5.546851634979248,7.89148473739624,5.493506908416748,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
60,60,25.964725332360167,18.604905025455473,22.622658283624993,5.321651458740234,8.357301712036133,5.896458625793457,gan,gan,cnn,cnn,0
61,61,25.73100039673249,19.516031588862035,23.123750786332984,5.346891403198242,8.12722110748291,5.190273284912109,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
62,62,27.46350343812835,17.993686869301147,24.423390298697754,6.720277786254883,6.650205135345459,6.08595609664917,gan,gan,gan,candidateUV_plus_E2_tf_lowlambda_expanded672,1
63,63,28.524583670890912,18.199751597271156,24.845058852366293,7.660599708557129,7.5776286125183105,6.450798034667969,gan,gan,gan,candidateUV_plus_E2_tf_lowlambda_expanded672,1
64,64,24.7100597287657,16.701032359601633,21.362340902007936,5.944510459899902,7.137726306915283,5.182126045227051,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
65,65,22.148883751156426,16.23947552161985,19.587473233948753,5.820770263671875,5.576780319213867,5.091151237487793,gan,gan,gan,candidateUV_plus_E2_tf_lowlambda_expanded672,1
66,66,20.981857591368968,15.979342195015368,18.447651932199598,5.701828956604004,6.4086198806762695,4.698558330535889,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
67,67,20.679919922717943,14.773695042869097,18.104386059386822,5.030301094055176,6.6433844566345215,4.123191833496094,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
68,68,21.77134223692748,15.500930745161975,19.02779862401535,6.074338436126709,5.670867919921875,5.0934576988220215,gan,gan,gan,candidateUV_plus_E2_tf_lowlambda_expanded672,1
69,69,24.168055816700438,16.112222498232782,21.777632477393382,5.17050838470459,6.406604290008545,4.7759175300598145,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
70,70,24.673819113934496,19.882401938586153,22.055154777670804,5.396136283874512,5.861793041229248,4.87095308303833,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
71,71,25.505047306429027,18.465741214218955,22.4548850701518,5.1588335037231445,7.186563014984131,4.840698719024658,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
72,72,26.514111621573456,19.679320844931677,23.34873997605387,4.796044826507568,5.719583988189697,4.593918800354004,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
73,73,27.001473804134946,19.399004976672177,24.558852370196405,4.9851861000061035,5.75114631652832,6.161703109741211,gan,gan,cnn,cnn,0
74,74,28.28963162272453,20.10959212403172,25.59189781790861,4.782100200653076,5.644299030303955,4.903146266937256,gan,gan,cnn,cnn,0
75,75,29.367383683723347,19.74885298310355,25.944924526417385,5.201173305511475,5.680557727813721,5.317459583282471,gan,gan,cnn,cnn,0
76,76,30.056769521251926,20.225713244111034,26.420692367162996,5.207019329071045,6.450347900390625,5.245360374450684,gan,gan,cnn,cnn,0
77,77,29.944664675564518,20.353338072506904,26.126884241555565,6.132026672363281,6.000014781951904,5.288089275360107,gan,gan,gan,candidateUV_plus_E2_tf_lowlambda_expanded672,1
78,78,30.300511724579902,19.95492094933438,26.241185275006124,5.8028388023376465,7.092807292938232,5.917314052581787,gan,gan,cnn,cnn,0
79,79,30.148051358309164,20.321240211337894,26.777054230825893,6.856454849243164,6.467032432556152,5.504542350769043,gan,gan,gan,candidateUV_plus_E2_tf_lowlambda_expanded672,1
80,80,30.086252753371088,20.744918439924255,26.094357970513393,6.982686519622803,6.176682472229004,5.455262660980225,gan,gan,gan,candidateUV_plus_E2_tf_lowlambda_expanded672,1
81,81,29.68907403762892,20.982889067881906,25.96520394737262,6.426537990570068,7.567525863647461,5.137702941894531,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
82,82,28.90089773637945,20.81634708740007,25.09429661307857,7.1840739250183105,6.303605079650879,5.442544460296631,gan,gan,gan,candidateUV_plus_E2_tf_lowlambda_expanded672,1
83,83,28.194313716720707,21.794751727168247,25.07655547190298,6.560110569000244,6.599743366241455,4.998169898986816,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
84,84,29.14514380262554,21.106373639070085,25.586766636032866,5.271510124206543,8.559276580810547,5.100836753845215,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
85,85,28.72250736297703,20.7490839418831,25.45750656741364,5.609640121459961,7.718591690063477,5.276857852935791,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
86,86,29.195361276159034,18.84606490909817,26.17129257283931,5.25334358215332,9.43416690826416,5.619412422180176,gan,gan,cnn,cnn,0
87,87,29.611902358359767,19.024115372275585,26.207001239494776,6.509652614593506,7.174471855163574,6.094732761383057,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
88,88,26.37509421416108,18.396084436387564,22.885648318909034,6.411813259124756,6.487721920013428,5.1633782386779785,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
89,89,24.29846982632471,17.197907308437554,21.463270730189265,6.017302513122559,6.256072521209717,5.004640579223633,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
90,90,22.206834090995343,17.32676746960286,19.938127656539567,5.257880687713623,5.663510322570801,4.752403259277344,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
91,91,22.30942508877806,16.266054339767617,20.12120114421655,5.508337497711182,5.519831657409668,5.060180187225342,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
92,92,22.07932597419188,16.807703363287136,20.223494954867927,5.735818386077881,5.677903175354004,5.441169738769531,gan,gan,gan,candidateUV_plus_E2_tf_lowlambda_expanded672,1
93,93,24.402894658345392,18.13548367922437,22.818071167524497,6.506997585296631,6.816009521484375,6.311299800872803,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
94,94,24.570031527820365,20.006869187749356,24.443427148543513,5.102908611297607,6.517361164093018,5.181809425354004,gan,gan,cnn,cnn,0
95,95,26.879696075655563,20.637912890931716,25.58507315117365,5.015480041503906,6.677723407745361,5.5726847648620605,gan,gan,cnn,cnn,0
96,96,28.904715116511554,22.25070627382419,27.49653196570841,5.121858596801758,7.258078575134277,5.984513759613037,gan,gan,cnn,cnn,0
97,97,30.15308546680866,22.202351461270364,28.333534986988013,5.011539936065674,7.223494529724121,4.922421932220459,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
