sample_idx,sample_name,pair_id,pair_type,birth_vid,death_vid,birth_y,birth_x,death_y,death_x,birth_val,death_val,persistence
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,317,0,16278,16431,101,118,102,111,3.051849365234375,4.5808258056640625,1.5289764404296875
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,65,0,21076,21877,131,116,136,117,0.5371246337890625,2.04779052734375,1.5106658935546875
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,440,0,16799,18070,104,159,112,150,4.254280090332031,5.734428405761719,1.4801483154296875
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,160,0,21594,21595,134,154,134,155,1.5533905029296875,3.033538818359375,1.4801483154296875
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,379,0,24647,24968,154,7,156,8,3.7842941284179688,5.240028381347656,1.4557342529296875
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,107,0,1393,917,8,113,5,117,1.004058837890625,2.4231719970703125,1.4191131591796875
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,873,0,23520,22564,147,0,141,4,6.05487060546875,7.4495697021484375,1.3946990966796875
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,837,0,21620,20188,135,20,126,28,5.89617919921875,7.284767150878906,1.3885879516601562
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,463,0,16978,16822,106,18,105,22,4.4007720947265625,5.783256530761719,1.3824844360351562
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,1161,1,24994,24999,156,34,156,39,7.770011901855469,9.149452209472656,1.3794403076171875
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,226,0,16422,16423,102,102,102,103,2.105773687362671,3.4821624755859375,1.3763887882232666
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,3,0,25558,23290,159,118,145,90,0.1068115159869194,1.4526824951171875,1.3458709716796875
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,826,1,18693,19014,116,133,118,134,5.841239929199219,7.184059143066406,1.3428192138671875
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,1192,1,24161,21932,151,1,137,12,8.151496887207031,9.491256713867188,1.3397598266601562
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,146,0,5487,6120,34,47,38,40,1.3794403076171875,2.7069931030273438,1.3275527954101562
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,929,0,22740,22428,142,20,140,28,6.344795227050781,7.654045104980469,1.3092498779296875
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,1122,1,13068,13225,81,108,82,105,7.5319671630859375,8.841209411621094,1.3092422485351562
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,522,1,14330,13529,89,90,84,89,4.696800231933594,5.99688720703125,1.3000869750976562
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,848,0,24350,24505,152,30,153,25,5.95111083984375,7.232887268066406,1.2817764282226562
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,351,0,6023,5056,37,103,31,96,3.5340423583984375,4.797508239746094,1.2634658813476562
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,1008,1,11606,10650,72,86,66,90,6.836143493652344,8.0904541015625,1.2543106079101562
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,1097,1,20331,20645,127,11,129,5,7.367164611816406,8.612319946289062,1.2451553344726562
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,202,0,14655,15296,91,95,95,96,1.97149658203125,3.2136001586914062,1.2421035766601562
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,758,1,5331,4683,33,51,29,43,5.667289733886719,6.903289794921875,1.2360000610351562
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,1201,1,24008,22577,150,8,141,17,8.270515441894531,9.503463745117188,1.2329483032226562
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,861,0,25316,25323,158,36,158,43,6.01519775390625,7.226783752441406,1.2115859985351562
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,1170,1,14550,15173,90,150,94,133,7.9195556640625,9.118927001953125,1.199371337890625
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,109,0,19481,20761,121,121,129,121,1.025421142578125,2.2064895629882812,1.1810684204101562
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,1159,1,24018,24342,150,18,152,22,7.763908386230469,8.920562744140625,1.1566543579101562
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,1029,1,11760,10310,73,80,64,70,6.952117919921875,8.0904541015625,1.138336181640625
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,939,0,24040,24354,150,40,152,34,6.4027862548828125,7.5319671630859375,1.129180908203125
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,561,1,15471,16108,96,111,100,108,4.901275634765625,6.021300792694092,1.1200251579284668
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,1116,1,21153,20988,132,33,131,28,7.4404144287109375,8.548233032226562,1.107818603515625
0,gan_GT_s0_speed_p160_x0_y0_pd_PATCHED,245,0,17711,17391,110,111,108,111,2.2431106567382812,3.3234634399414062,1.080352783203125
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,97,0,140,4859,0,140,30,59,0.8972473740577698,5.664237976074219,4.766990661621094
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,373,0,25131,23874,157,11,149,34,3.7263107299804688,7.644889831542969,3.9185791015625
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,87,0,16100,13369,100,100,83,89,0.744651734828949,4.345832824707031,3.6011810302734375
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,59,0,12405,13682,77,85,85,82,0.4974517822265625,4.0955810546875,3.5981292724609375
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,100,0,17230,19315,107,110,120,115,0.939971923828125,4.342781066894531,3.4028091430664062
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,102,0,17069,17070,106,109,106,110,0.976593017578125,4.159675598144531,3.1830825805664062
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,124,0,15456,15776,96,96,98,96,1.1993789672851562,4.214607238769531,3.015228271484375
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,66,0,21756,20950,135,156,130,150,0.5371246337890625,3.4333343505859375,2.896209716796875
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,151,0,16584,16421,103,104,102,101,1.4740447998046875,4.242073059082031,2.7680282592773438
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,101,0,15939,15940,99,99,99,100,0.967437744140625,3.5431976318359375,2.5757598876953125
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,1,0,4812,19107,30,12,119,67,0.0885009765625,2.4567413330078125,2.3682403564453125
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,537,1,16908,20115,105,108,125,115,4.779197692871094,7.083343505859375,2.3041458129882812
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,678,1,7792,6674,48,112,41,114,5.3895721435546875,7.660148620605469,2.2705764770507812
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,205,0,13531,13852,84,91,86,92,1.9745482206344604,4.211555480957031,2.2370071411132812
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,1059,1,15195,16627,94,155,103,147,7.171852111816406,9.277626037597656,2.10577392578125
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,106,0,19664,19331,122,144,120,131,0.997955322265625,3.094573974609375,2.09661865234375
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,571,0,23067,22914,144,27,143,34,4.940948486328125,6.967376708984375,2.02642822265625
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,140,0,18834,17871,117,114,111,111,1.3245010375976562,3.3295669555664062,2.00506591796875
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,1180,1,23686,23699,148,6,148,19,8.0355224609375,9.97650146484375,1.94097900390625
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,175,0,16745,16744,104,105,104,104,1.7120895385742188,3.6133880615234375,1.9012985229492188
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,156,0,14174,14494,88,94,90,94,1.5228729248046875,3.3845062255859375,1.86163330078125
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,247,0,13692,13691,85,92,85,91,2.255317449569702,4.0528564453125,1.7975389957427979
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,163,0,22399,22239,139,159,138,159,1.568649411201477,3.3387222290039062,1.7700728178024292
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,642,1,16419,16097,102,99,100,97,5.294960021972656,7.019256591796875,1.7242965698242188
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,295,0,13370,13371,83,90,83,91,2.6673202514648438,4.318367004394531,1.6510467529296875
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,418,0,17569,17886,109,129,111,126,4.092529296875,5.740531921386719,1.6480026245117188
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,844,0,23710,23557,148,30,147,37,5.93585205078125,7.5716400146484375,1.6357879638671875
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,314,0,16906,16746,105,106,104,106,3.021331787109375,4.6113433837890625,1.5900115966796875
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,822,1,19179,18531,119,139,115,131,5.829032897949219,7.412949085235596,1.583916187286377
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,1134,1,12775,14682,79,135,91,122,7.589951038360596,9.155555725097656,1.5656046867370605
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,317,0,16278,16431,101,118,102,111,3.051849365234375,4.5808258056640625,1.5289764404296875
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,65,0,21076,21877,131,116,136,117,0.5371246337890625,2.04779052734375,1.5106658935546875
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,440,0,16799,18070,104,159,112,150,4.254280090332031,5.734428405761719,1.4801483154296875
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,160,0,21594,21595,134,154,134,155,1.5533905029296875,3.033538818359375,1.4801483154296875
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,379,0,24647,24968,154,7,156,8,3.7842941284179688,5.240028381347656,1.4557342529296875
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,107,0,1393,917,8,113,5,117,1.004058837890625,2.4231719970703125,1.4191131591796875
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,873,0,23520,22564,147,0,141,4,6.05487060546875,7.4495697021484375,1.3946990966796875
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,837,0,21620,20188,135,20,126,28,5.89617919921875,7.284767150878906,1.3885879516601562
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,463,0,16978,16822,106,18,105,22,4.4007720947265625,5.783256530761719,1.3824844360351562
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,1161,1,24994,24999,156,34,156,39,7.770011901855469,9.149452209472656,1.3794403076171875
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,226,0,16422,16423,102,102,102,103,2.105773687362671,3.4821624755859375,1.3763887882232666
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,3,0,25558,23290,159,118,145,90,0.1068115159869194,1.4526824951171875,1.3458709716796875
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,826,1,18693,19014,116,133,118,134,5.841239929199219,7.184059143066406,1.3428192138671875
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,1192,1,24161,21932,151,1,137,12,8.151496887207031,9.491256713867188,1.3397598266601562
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,146,0,5487,6120,34,47,38,40,1.3794403076171875,2.7069931030273438,1.3275527954101562
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,929,0,22740,22428,142,20,140,28,6.344795227050781,7.654045104980469,1.3092498779296875
0,gan_GT_s0_speed_p160_x0_y0_pd_patched.vtu_port_0_patched,1122,1,13068,13225,81,108,82,105,7.5319671630859375,8.841209411621094,1.3092422485351562
