sample,poster_score,d_B_CNN,d_B_Ablation,d_B_Topology-inspired,gain_dB_vs_Ablation_pct,W2_CNN,W2_Ablation,W2_Topology-inspired,gain_W2_vs_Ablation_pct,PSNR_CNN,PSNR_Ablation,PSNR_Topology-inspired,PSNR_drop_vs_Ablation,SSIM_CNN,SSIM_Ablation,SSIM_Topology-inspired,SSIM_drop_vs_Ablation
127,25.66366722801706,3.027435302734375,2.3589603900909424,1.839954137802124,22.00148228299881,22.50639434446948,22.47616015007612,16.654012619645417,25.90365743772734,30.47437123406815,33.283978847244356,32.90744550209194,0.3765333451524171,0.7259171385951725,0.8174576209916232,0.8160219254246838,0.0014356955669394544
70,25.50933412526854,2.730057716369629,2.5338592529296875,1.967204570770264,22.363305361347464,16.659644886380853,17.474602233409886,12.447804633014178,28.766306284127705,29.860974696694193,31.881560465723695,31.537018417815936,0.34454204790775833,0.7163674316163487,0.7886726969304545,0.7893346936754791,-0.0006619967450246511
43,25.384274254969583,1.5536279678344729,2.030783176422119,1.2714729309082031,37.390020477306024,9.608781316481636,9.995849454421036,7.799148022557467,21.97613561388718,35.86371418802151,38.44058206397942,38.237483965466566,0.20309809851285365,0.8278639726290462,0.8774709476496995,0.8754835242483913,0.001987423401308197
155,25.271785253182834,2.4409327507019043,2.022317409515381,1.5471577644348145,23.49579956365166,13.709710079506102,12.800742294603516,9.883486854496764,22.78973650876947,32.32213611009903,35.45189296658536,35.15378359032409,0.298109376261273,0.7595250194676579,0.8473161396252012,0.8423586433426862,0.004957496282515073
19,25.177038378887495,4.040650367736816,3.3845338821411133,2.654139518737793,21.580353125058995,13.526081254345696,12.61090350744198,9.51598046796914,24.541643964260423,32.55938103077696,36.090701337128806,35.755615645771,0.3350856913578042,0.7514671614948129,0.8351588124965336,0.8301363954482484,0.00502241704828521
128,24.95987910227201,2.2194595336914062,2.2178754806518555,1.6806325912475586,24.22331163724286,20.19053567723684,21.17278551436524,15.525940435782056,26.670298410910235,30.507561419352704,33.477639397033336,33.09402832646709,0.3836110705662463,0.7496213727691341,0.8342023568455037,0.8327250059336272,0.0014773509118765071
20,24.91517165169932,4.068115234375,3.8895397186279297,2.96699333190918,23.718651908873838,14.946193920042305,14.197346790312624,10.742004735480393,24.33794219346631,32.38863856878173,36.00380374803936,35.6558805507144,0.3479231973249597,0.7374888426803474,0.8233877383912255,0.8195509302127483,0.0038368081784772023
5,24.906638949837337,4.681079864501953,3.644689559936523,2.573649406433105,29.386320450350553,19.095734350256883,22.783253848743165,16.981682619036913,25.464190796549868,31.066356029873372,34.04809725253967,33.74580791800756,0.30228933453211226,0.7559077585550986,0.8278049897704871,0.8262828891535133,0.001522100616973776
115,24.829803662782382,2.7298827171325684,2.7298827171325684,2.093611717224121,23.307631346770005,14.8916087432993,17.192511366324307,12.074497216598711,29.768857153414274,31.108482310211272,33.68735300286721,33.39120290892114,0.29615009394607483,0.7448741245762643,0.8145349934622528,0.8134276099631835,0.0011073834990692477
134,24.82774833880697,4.496253967285156,4.723318099975586,3.175158381462097,32.776952255692684,28.19014536448259,27.846098291879763,22.248136309861422,20.10321849524883,31.123944011982832,34.23195205594359,33.92096775454326,0.3109843014003246,0.730893685372014,0.8243342473557919,0.8232929274659582,0.0010413198898336917
25,24.400190354510706,9.417118072509766,4.017539978027344,2.968423426151276,26.113406652177122,34.3371137526647,35.996567844664376,28.404231086979657,21.091835172863853,32.551973374121204,35.547990217931364,35.27471264237368,0.2732775755576853,0.7135100890945099,0.7964680447494461,0.7941131942964282,0.002354850453017865
133,24.368017176295023,4.040678024291992,4.262334823608398,2.778013229370117,34.824143472184744,30.79519468788589,31.442695989837823,25.33202514374295,19.434309475465533,30.891021696610593,33.964571223711275,33.62235294350291,0.342218280208364,0.7034847632849234,0.8072166521067246,0.8060044114423377,0.0012122406643868544
110,24.10493119870533,3.020634651184082,2.363931655883789,1.930964469909668,18.315554296862707,18.854517953832868,20.822131331076157,14.535608908273952,30.191541503822112,30.037522383683083,32.21639460650851,31.880073161256234,0.33632144525227403,0.7284390811228131,0.7989062723131884,0.799134047663189,-0.0002277753500005142
80,23.891157783917265,4.296468734741211,3.599658966064453,2.890378952026367,19.70408921302758,22.770100170251283,23.271880858296083,17.17238692144337,26.209716240783926,28.706704637409167,30.565138866063528,30.27950949764918,0.28562936841434805,0.7059444728086891,0.7781632251658182,0.7786699139391167,-0.0005066887732985137
96,23.88204284428946,1.9027314186096191,2.673408508300781,1.8848552703857424,29.49617447040456,19.434727803473645,24.356923772878805,16.26392404135174,33.22669072248993,28.82738778031187,31.099111321745,30.745901695296915,0.3532096264480842,0.6630599209878166,0.756538629421083,0.7568423057776219,-0.00030367635653894
37,23.748210643936435,4.200971603393555,3.9330921173095694,2.5910377502441406,34.122118858061754,24.874353973184117,30.321727616174886,23.19430998108635,23.505974742964423,32.02805100916796,34.48231915521756,34.235040865971754,0.24727828924580564,0.7605238320891,0.8253834120402281,0.823167604950309,0.0022158070899190863
65,23.721194225301552,3.1067848205566406,3.1067848205566406,2.2616162300109863,27.203962918623567,13.321057534311867,13.697196650760338,10.738344114499313,21.601884032940255,31.070880312451152,32.96227928601669,32.699162560553034,0.2631167254636537,0.7521850658303016,0.8115058032622372,0.8101736199150488,0.0013321833471884315
143,23.540688682828183,3.941584587097168,4.106391906738281,2.7505111694335938,33.01878554455041,26.487186027954763,28.1816854927018,22.589244855294563,19.84423763034155,29.963558750666998,32.659597293139726,32.37629356084124,0.28330373229848504,0.6992212349010573,0.782694102966418,0.7809203193300112,0.0017737836364067894
144,23.515969193982187,2.807509660720825,3.354982376098633,2.2454652786254883,33.07072804249288,25.837126227908588,27.396796623546024,21.73077217761032,20.681339222944302,29.991838493509036,32.62151242273903,32.33037174243547,0.2911406803035632,0.70412226487593,0.7843042467446448,0.7818557879789547,0.002448458765690109
145,23.010205151857047,2.541840076446533,3.3868885040283203,2.2803354263305664,32.671671251700026,23.19824147383429,26.510663488857432,20.41600045375369,22.98947756500082,29.868825785114463,32.49623544024465,32.18733915699307,0.3088962832515776,0.6987455359494039,0.7875972602530358,0.7832691353166764,0.004328124936359368
67,22.77714933152426,2.7519826889038086,2.807903289794922,2.164414405822754,22.917060082192712,11.632000493467414,12.16190164635125,9.25324092533538,23.91616710605871,30.98174498675131,32.97587277747904,32.71242202390143,0.26345075357760805,0.7569242524226469,0.8163815967856187,0.8148759229797763,0.0015056738058424335
18,22.723871530804967,3.886532783508301,3.172551155090332,2.611151695251465,17.69552112463518,12.693676664029214,12.525268855518975,9.415422169370856,24.828582300473617,32.601424065834784,36.09624657621608,35.724887479000444,0.3713590972156382,0.7574818012636265,0.8366634707467113,0.8308055914151031,0.005857879331608196
39,22.405768574864513,2.3663363456726074,3.6296539306640634,2.170003890991211,40.21457878784059,17.019495767897517,21.9750958454014,16.88523383959447,23.161955886859328,34.02502286412913,36.57321835369296,36.3811409428093,0.19207741088365538,0.7922207775583912,0.8518016535538755,0.8512170888835006,0.0005845646703749319
157,22.384113452056805,2.309179306030273,2.5724401473999023,1.9188294410705569,25.40819878705374,14.429320733262855,15.90213050224915,12.164378129604966,23.50472706858699,32.53891769577143,35.653259271811365,35.310135148998114,0.34312412281325066,0.7730940321902263,0.857489058271196,0.8532838856665331,0.00420517260466291
130,22.383669817250862,2.472637414932251,2.5345611572265625,1.8875865936279297,25.52609795009181,22.63139235951793,23.646383769198145,18.65073396651873,21.12648534947135,31.33586632796905,34.41723468964182,33.99718313435311,0.4200515552887154,0.7190076882491341,0.8157933906427278,0.813681737707146,0.002111652935581798
