sample_idx,pos_idx,pd_distance_candidateB,mt_distance_candidateB
88,88,23.889507605110566,6.423703670501709
89,89,21.455616243815506,6.169535160064697
90,90,19.284280077725356,5.496725559234619
91,91,19.72034827288439,6.575161933898926
92,92,19.83489398206967,5.8324151039123535
93,93,23.051332950013492,5.894794940948486
94,94,24.226601240126715,6.130191802978516
95,95,25.914567119648268,5.550070762634277
96,96,28.220932848539775,5.342690467834473
97,97,28.813042081408085,5.177980899810791
98,98,29.41884912578644,5.379695892333984
99,99,29.818713716146338,5.754580497741699
100,100,29.339174144854788,5.621122360229492
101,101,28.662574155816632,5.414937496185303
102,102,27.223163690178794,5.915370464324951
103,103,27.763950322570476,5.314781188964844
104,104,27.285357103470233,5.04921293258667
105,105,27.186725980415446,5.3015456199646
106,106,27.393555709999262,5.508633136749268
107,107,26.71281103741849,5.326969623565674
108,108,26.77776255177138,5.607050895690918
109,109,26.355867297740858,5.04433012008667
110,110,26.94190249604811,5.732553482055664
111,111,25.863183179815916,5.4816083908081055
112,112,25.391098082717527,5.677003860473633
113,113,24.045706004890516,5.37544584274292
114,114,22.46955277616873,5.410416126251221
115,115,23.96387796707085,4.994778633117676
116,116,24.161012808782722,5.470494747161865
117,117,25.922014791746832,5.986312389373779
118,118,27.04113886422974,6.682653427124023
119,119,26.635873077947835,5.404505252838135
120,120,25.946991829738376,5.054945468902588
121,121,26.85820626384451,5.098669052124023
122,122,26.035670829844147,5.8068766593933105
123,123,26.224090474721155,5.60638427734375
124,124,26.39262119076047,5.939869403839111
125,125,26.165475589282842,5.00363302230835
126,126,25.92533182983275,4.439967632293701
127,127,27.6808032147066,4.685281753540039
128,128,27.039220142541573,5.34368896484375
129,129,28.265636327789235,5.360037803649902
130,130,28.536461941148932,5.01004695892334
131,131,31.127287280798043,6.025422096252441
132,132,32.393995362580824,6.212296962738037
133,133,33.0885833667341,6.215855121612549
134,134,30.744688575196854,6.65745735168457
135,135,28.37834694044088,5.568185329437256
136,136,26.72365747049042,5.74232292175293
137,137,25.691343896871814,4.889462947845459
138,138,24.655507522510312,4.937742233276367
139,139,23.872540620289385,5.078011989593506
140,140,25.451683367431816,5.313171863555908
141,141,29.52393651759466,5.913915634155273
142,142,31.68344959723087,6.142935752868652
143,143,30.88828342744645,6.099551677703857
144,144,30.484888689880737,5.387120723724365
145,145,29.51504366391196,6.4037251472473145
146,146,28.88913632527415,6.310131549835205
147,147,27.426988671955492,6.163582801818848
148,148,26.623222405559364,5.429915428161621
149,149,25.90548371838436,6.2730865478515625
150,150,24.549314950312503,4.883148193359375
151,151,24.62664574945758,6.757730484008789
152,152,24.41093570392128,6.1192307472229
153,153,23.979086342798613,6.373366355895996
154,154,23.873429735529296,6.1548638343811035
155,155,23.892957170144978,7.553193092346191
156,156,24.560044230416075,5.5010457038879395
157,157,26.032942582466724,5.3271260261535645
158,158,28.280783304030432,5.821193695068359
159,159,25.806747176561206,5.745386600494385
160,160,23.15264749261034,7.389615535736084
161,161,21.79648275407282,5.9293389320373535
162,162,21.277157080669028,6.351251602172852
163,163,22.063358162841645,5.184317111968994
164,164,24.076058151801067,5.604142665863037
165,165,25.598577875410967,6.105845928192139
166,166,26.88572268857073,5.933559894561768
167,167,26.59706477873812,5.570361614227295
