sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB,pd_winner_before,pd_winner_after_candidateB,mt_winner_before,mt_winner_after_candidateB,was_mt_gan_win_before
48,48,22.832495463547907,13.107025960847848,19.038933991608967,7.081502437591553,6.682991981506348,7.853213787078857,gan,gan,gan,gan,1
49,49,22.105793975200847,13.662675111493924,18.890085239867048,6.3195295333862305,7.889017105102539,6.6724019050598145,gan,gan,cnn,cnn,0
50,50,21.30877833114525,14.865452226211227,18.269515624268276,6.3856120109558105,6.713321685791016,6.468810081481934,gan,gan,cnn,cnn,0
51,51,21.75849079768097,16.03686368056312,18.672469583396108,5.902731418609619,7.996896266937256,6.07138204574585,gan,gan,cnn,cnn,0
52,52,21.81632996072092,16.98731478928289,19.22318665955835,5.69123649597168,7.0050048828125,7.423309326171875,gan,gan,cnn,cnn,0
53,53,21.92458068590406,18.078201501754,19.48866446162005,5.261850833892822,7.919146537780762,5.720904350280762,gan,gan,cnn,cnn,0
54,54,22.97915159360149,18.305326668249773,20.216552799237462,5.500187397003174,9.581897735595703,6.659416675567627,gan,gan,cnn,cnn,0
55,55,23.57536347476084,17.428151978200873,21.00458487590461,5.2683796882629395,7.846588134765625,6.152523994445801,gan,gan,cnn,cnn,0
56,56,24.24948793523431,17.584091876726443,21.82327868263679,5.488292217254639,7.826909065246582,6.484290599822998,gan,gan,cnn,cnn,0
57,57,24.937493176964292,18.354637384973643,21.933839839394924,5.463809013366699,6.805661201477051,5.958709239959717,gan,gan,cnn,cnn,0
58,58,25.56121844001433,18.762904108038654,22.65418609055253,6.08959436416626,8.349846839904785,5.642223358154297,gan,gan,cnn,candidateB,0
59,59,25.864386079507888,18.65101850934172,22.82190511224851,5.546851634979248,7.89148473739624,6.043035507202148,gan,gan,cnn,cnn,0
60,60,25.964725332360167,18.604905025455473,22.99976655979447,5.321651458740234,8.357301712036133,6.622503280639648,gan,gan,cnn,cnn,0
61,61,25.73100039673249,19.516031588862035,23.510504181477028,5.346891403198242,8.12722110748291,5.848782539367676,gan,gan,cnn,cnn,0
62,62,27.46350343812835,17.993686869301147,25.019690546977742,6.720277786254883,6.650205135345459,7.012545585632324,gan,gan,gan,gan,1
63,63,28.524583670890912,18.199751597271156,25.971443947769725,7.660599708557129,7.5776286125183105,6.981632232666016,gan,gan,gan,candidateB,1
64,64,24.7100597287657,16.701032359601633,21.668197581241074,5.944510459899902,7.137726306915283,5.809456825256348,gan,gan,cnn,candidateB,0
65,65,22.148883751156426,16.23947552161985,19.67387401607169,5.820770263671875,5.576780319213867,5.921051502227783,gan,gan,gan,gan,1
66,66,20.981857591368968,15.979342195015368,18.206180914483472,5.701828956604004,6.4086198806762695,5.4590864181518555,gan,gan,cnn,candidateB,0
67,67,20.679919922717943,14.773695042869097,17.827821425146183,5.030301094055176,6.6433844566345215,5.197405815124512,gan,gan,cnn,cnn,0
68,68,21.77134223692748,15.500930745161975,18.782473110734436,6.074338436126709,5.670867919921875,5.881233215332031,gan,gan,gan,gan,1
69,69,24.168055816700438,16.112222498232782,21.08734380137066,5.17050838470459,6.406604290008545,5.122801303863525,gan,gan,cnn,candidateB,0
