row,index,mr_shape,hr_shape,mae_total,rmse_total,max_abs_diff,mae_ua,mae_va,rmse_ua,rmse_va,paired_rank_rmse,paired_rank_mae,paired_rmse,paired_mae,best_wrong_rmse,best_wrong_mae,paired_beats_wrong_rmse_gap,paired_beats_wrong_mae_gap,candidate_count
106,106,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.904285890735334,0.6859413257720076,0.904285890735334,0.6859413257720076,168
107,107,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.904285890735334,0.6799268103193442,0.904285890735334,0.6799268103193442,168
108,108,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.9060396415966565,0.6799268103193442,0.9060396415966565,0.6799268103193442,168
109,109,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.9385459492868705,0.6837945297770698,0.9385459492868705,0.6837945297770698,168
110,110,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.9483879768494003,0.6837945297770698,0.9483879768494003,0.6837945297770698,168
111,111,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.9849896000001602,0.71948740163681,0.9849896000001602,0.71948740163681,168
112,112,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.02137751429099,0.7424770746952436,1.02137751429099,0.7424770746952436,168
113,113,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.0500795092364743,0.743361455636641,1.0500795092364743,0.743361455636641,168
114,114,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.0500795092364743,0.7396327596635256,1.0500795092364743,0.7396327596635256,168
115,115,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.0758686911115836,0.7396327596635256,1.0758686911115836,0.7396327596635256,168
116,116,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.1030521745085728,0.7588227654098836,1.1030521745085728,0.7588227654098836,168
