sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV,pd_winner_before,pd_winner_after_candidateUV,mt_winner_before,mt_winner_after_candidateUV,was_mt_gan_win_before
18,18,20.394905033940507,18.610240875886223,22.90245147040704,6.258571624755859,5.554356575012207,6.358486175537109,gan,gan,gan,gan,1
19,19,21.064082150885508,19.086676411603058,22.566073011402334,6.927988529205322,5.44291353225708,6.545926094055176,gan,gan,gan,gan,1
20,20,21.97923655969375,18.266315468004898,23.955095087538044,6.254051208496094,5.689126491546631,6.489160537719727,gan,gan,gan,gan,1
21,21,27.30086406645334,21.732522780594586,29.372630925190176,8.127616882324219,10.817054748535156,7.887007713317871,gan,gan,cnn,candidateUV,0
22,22,32.693467082501115,26.801086541907566,36.422443226887296,8.081520080566406,8.346701622009277,9.23336124420166,gan,gan,cnn,cnn,0
23,23,34.476953302920876,29.144574221491347,37.94344820885295,6.907674789428711,8.497876167297363,9.100253105163574,gan,gan,cnn,cnn,0
24,24,35.75728371567695,29.65320138308241,39.25532196837606,7.21915864944458,12.067601203918457,8.076194763183594,gan,gan,cnn,cnn,0
25,25,36.58411526021696,30.123491475362258,40.01370668901158,11.371563911437988,10.501462936401367,8.085034370422363,gan,gan,gan,candidateUV,1
26,26,35.02599363200026,30.779316467464,40.42720558397048,7.043282985687256,11.28821849822998,6.534064292907715,gan,gan,cnn,candidateUV,0
27,27,36.89696946573002,30.945378681968467,41.755515660279315,6.4783101081848145,19.968429565429688,7.342321872711182,gan,gan,cnn,cnn,0
28,28,38.33189346230645,30.74946233279523,43.26367441740801,7.210402011871338,14.947399139404297,7.817526817321777,gan,gan,cnn,cnn,0
29,29,38.84347398326436,31.752977463202388,44.19179411722438,6.963974952697754,12.864243507385254,6.66226863861084,gan,gan,cnn,candidateUV,0
30,30,39.94080457344863,30.82310921065586,43.75349400210983,8.127463340759277,14.847400665283203,7.308907985687256,gan,gan,cnn,candidateUV,0
31,31,39.104318483733294,31.3053599336416,43.299784954802924,6.818642616271973,16.23410415649414,7.340607166290283,gan,gan,cnn,cnn,0
32,32,38.55925876668554,30.547158977309156,42.14560350350244,7.461033821105957,19.229158401489258,7.084038257598877,gan,gan,cnn,candidateUV,0
33,33,38.39305861348763,30.400139282712473,42.11755009408488,6.76971960067749,20.00556755065918,7.7195353507995605,gan,gan,cnn,cnn,0
34,34,37.356416104450325,28.907547601520903,41.13814225277977,6.323113918304443,19.445999145507812,7.094841003417969,gan,gan,cnn,cnn,0
35,35,35.95264003005777,28.746843597068697,40.80032771128998,6.2719197273254395,14.435929298400879,7.976233005523682,gan,gan,cnn,cnn,0
36,36,35.61901723291445,27.743736665197815,40.342363874042455,6.097905158996582,9.26945686340332,7.147391319274902,gan,gan,cnn,cnn,0
37,37,33.456602216246914,27.16364872656993,38.69003194379996,6.489102840423584,9.59257698059082,7.160405158996582,gan,gan,cnn,cnn,0
38,38,29.159912858159764,23.780350003542182,35.001056615905725,6.054014682769775,7.416414260864258,7.388654708862305,gan,gan,cnn,cnn,0
39,39,25.24426875811477,21.358097631209198,30.436733979231093,5.873856067657471,8.546488761901855,6.805639743804932,gan,gan,cnn,cnn,0
40,40,24.281572165890662,20.447367624488226,28.06946032645828,5.6310811042785645,8.988521575927734,8.414691925048828,gan,gan,cnn,cnn,0
41,41,23.457166445963043,17.452695580897316,26.10696968811826,5.389686584472656,8.901470184326172,6.536718845367432,gan,gan,cnn,cnn,0
