sample_idx,pos_idx,pd_distance_candidateUV,mt_distance_candidateUV
115,115,28.427893066684227,5.743941783905029
116,116,28.924677916416996,5.7372002601623535
117,117,30.4826998367646,5.782934665679932
118,118,32.58105407110693,6.591947078704834
119,119,32.175544374330926,5.83060884475708
120,120,31.76513946703896,5.48256778717041
121,121,32.61289766795571,5.916995525360107
122,122,31.750307145631695,6.330128192901611
123,123,31.718353556153165,6.369126319885254
124,124,31.57465391653744,6.4237847328186035
125,125,31.175405713884548,5.877638816833496
126,126,30.78597797763988,5.058073997497559
127,127,32.68458839920918,5.4852094650268555
128,128,31.95764791908391,6.300319671630859
129,129,32.846362977409136,6.222532749176025
130,130,33.017551144926884,5.867155075073242
131,131,35.624183198699484,6.840798377990723
132,132,36.9256920368032,7.539308547973633
133,133,37.31166425778055,7.570436477661133
134,134,34.96456582580879,7.773950099945068
135,135,32.412012688760385,6.4634270668029785
136,136,30.101911353936384,6.737174987792969
137,137,28.832591993567707,5.386972427368164
138,138,27.825346005601514,5.36096715927124
139,139,26.81752792755744,5.285830497741699
140,140,28.511654870946426,5.478427886962891
141,141,32.911462507881645,6.399046421051025
142,142,35.99950326722456,7.31037712097168
143,143,35.08851089582529,7.203146934509277
144,144,34.798732580909174,5.911022186279297
145,145,33.9880366502438,6.491447925567627
146,146,32.96545844184015,6.771969795227051
147,147,31.19958256930608,6.560095310211182
148,148,30.27176059728684,5.106742858886719
149,149,29.389150897686456,6.344289779663086
150,150,27.682227491858036,5.550861358642578
151,151,27.56087524986304,6.693471908569336
152,152,27.308102010557008,6.44833517074585
153,153,27.274238334651415,6.664069652557373
154,154,26.67104997965496,6.174589157104492
155,155,27.036599567196117,6.825850963592529
156,156,27.453692803018114,6.126978397369385
157,157,28.918929409046314,5.910295009613037
158,158,30.701487889752606,6.331770420074463
159,159,27.82743885961076,5.130762100219727
160,160,25.347627277728915,5.415543079376221
161,161,23.76399550500467,4.515773773193359
162,162,23.43053049827799,4.461472034454346
163,163,24.583524586378903,4.848914623260498
164,164,26.569255267187962,5.914468765258789
165,165,28.35124535317172,5.622745037078857
166,166,29.68022634138268,5.4540510177612305
167,167,29.53674108211023,5.389171123504639
