method,key,sample_idx,psnr,pd_distance,mt_distance
gan,gan_s17_speed_p160_x0_y0,17,11.688583539511622,37.90377886210898,12.974454879760742
gan,gan_s18_speed_p160_x0_y0,18,11.779826269853992,39.013865627400655,14.845152854919434
gan,gan_s19_speed_p160_x0_y0,19,11.692913569640172,40.482377584982224,12.929351806640625
gan,gan_s20_speed_p160_x0_y0,20,11.674565153580158,39.672926190157405,14.964215278625488
gan,gan_s21_speed_p160_x0_y0,21,12.587488293861902,42.27371070531597,12.76113510131836
gan,gan_s22_speed_p160_x0_y0,22,13.038927831250493,38.89499913226495,7.886898994445801
gan,gan_s23_speed_p160_x0_y0,23,13.476093829620208,31.160138614802932,6.634105682373047
gan,gan_s24_speed_p160_x0_y0,24,13.847336163290262,35.39916734128288,8.685693740844727
gan,gan_s25_speed_p160_x0_y0,25,14.28981145602613,41.294392199777576,13.322566032409668
gan,gan_s26_speed_p160_x0_y0,26,14.9222219431126,46.5841045001402,9.144110679626465
gan,gan_s27_speed_p160_x0_y0,27,15.327538454079225,48.33644684742574,9.983192443847656
gan,gan_s28_speed_p160_x0_y0,28,15.34773011245894,50.632201123289626,11.040020942687988
gan,gan_s29_speed_p160_x0_y0,29,15.860668465760192,50.645910649963795,11.545421600341797
gan,gan_s30_speed_p160_x0_y0,30,16.270212496951036,48.950649005951355,11.98703384399414
gan,gan_s31_speed_p160_x0_y0,31,16.142516199199804,49.18106553774604,13.419205665588379
gan,gan_s32_speed_p160_x0_y0,32,16.19601579520662,47.607752525051076,13.050602912902832
gan,gan_s33_speed_p160_x0_y0,33,16.10161754887457,45.93531237875061,11.835304260253906
gan,gan_s34_speed_p160_x0_y0,34,16.051426659502837,47.36937415634987,11.321325302124023
gan,gan_s35_speed_p160_x0_y0,35,15.642556661584472,47.8109572328202,10.822689056396484
gan,gan_s36_speed_p160_x0_y0,36,15.323129380389211,48.53188644179104,9.105673789978027
gan,gan_s37_speed_p160_x0_y0,37,15.01253952943804,47.808597283825826,10.1189546585083
gan,gan_s38_speed_p160_x0_y0,38,15.083557971845075,40.35832142875293,8.098371505737305
gan,gan_s39_speed_p160_x0_y0,39,14.767767388946705,34.56305424195426,8.733672142028809
gan,gan_s40_speed_p160_x0_y0,40,14.515134984865252,29.249830762844876,9.61486530303955
gan,gan_s41_speed_p160_x0_y0,41,13.928263853749893,24.898516725648328,8.006635665893555
gan,gan_s42_speed_p160_x0_y0,42,14.158980408762705,21.28250403276522,7.322332382202148
gan,gan_s43_speed_p160_x0_y0,43,14.263699441339782,19.758182944083792,8.297431945800781
gan,gan_s44_speed_p160_x0_y0,44,14.274603406455054,20.24994644943235,8.359650611877441
gan,gan_s45_speed_p160_x0_y0,45,14.671449698820012,21.39533211669454,10.212721824645996
gan,gan_s46_speed_p160_x0_y0,46,14.53189123375476,22.323623283740393,12.24644660949707
gan,gan_s47_speed_p160_x0_y0,47,14.545623083225298,22.0272154925175,10.591157913208008
gan,gan_s48_speed_p160_x0_y0,48,14.345458345754235,20.116963037194974,10.956873893737793
