method,key,sample_idx,ssim,pd_distance,mt_distance
cnn,cnn_s156_speed_p160_x0_y0,156,0.3756865271648166,27.64469011932638,8.228219032287598
cnn,cnn_s157_speed_p160_x0_y0,157,0.34530391181556996,30.330327532167043,7.096986293792725
cnn,cnn_s158_speed_p160_x0_y0,158,0.3633473755042732,32.5077510897309,6.292686939239502
cnn,cnn_s159_speed_p160_x0_y0,159,0.4138721125857321,30.417815633556412,8.4534273147583
cnn,cnn_s160_speed_p160_x0_y0,160,0.44267259245997853,28.548307407906815,8.535894393920898
cnn,cnn_s161_speed_p160_x0_y0,161,0.45882926937714036,27.0836083489381,9.79428482055664
cnn,cnn_s162_speed_p160_x0_y0,162,0.45052963486543,26.716682661824084,5.3899617195129395
cnn,cnn_s163_speed_p160_x0_y0,163,0.4706845818304765,27.85110760233586,6.036508560180664
cnn,cnn_s164_speed_p160_x0_y0,164,0.4280196940730591,29.936231594018913,5.357566833496094
cnn,cnn_s165_speed_p160_x0_y0,165,0.39130312188591976,31.75828742588738,6.0691375732421875
cnn,cnn_s166_speed_p160_x0_y0,166,0.380259426014302,32.033350354858115,8.542560577392578
cnn,cnn_s167_speed_p160_x0_y0,167,0.3756694349850773,30.990816539487366,6.6002302169799805
gan,gan_s0_speed_p160_x0_y0,0,0.34048425185953946,27.0071009905408,14.280324935913086
gan,gan_s1_speed_p160_x0_y0,1,0.3156697548234565,27.76007731208354,12.978429794311523
gan,gan_s2_speed_p160_x0_y0,2,0.31025403759712333,29.521783271831712,20.582368850708008
gan,gan_s3_speed_p160_x0_y0,3,0.3168632054874509,30.333096698210074,15.906573295593262
gan,gan_s4_speed_p160_x0_y0,4,0.3145698856537988,34.495908083416204,25.423465728759766
gan,gan_s5_speed_p160_x0_y0,5,0.32787090901908134,37.788089419181674,15.969419479370117
gan,gan_s6_speed_p160_x0_y0,6,0.38963293695645074,40.513298415414795,14.44342041015625
gan,gan_s7_speed_p160_x0_y0,7,0.364733582350294,42.88535204111022,23.979467391967773
gan,gan_s8_speed_p160_x0_y0,8,0.36887905707325785,45.06864118880168,18.99154281616211
gan,gan_s9_speed_p160_x0_y0,9,0.3604482261895448,41.72518685031415,16.328258514404297
gan,gan_s10_speed_p160_x0_y0,10,0.35483910228815607,43.03561146689716,12.987634658813477
gan,gan_s11_speed_p160_x0_y0,11,0.29071025021036906,41.61476887859988,21.606603622436523
gan,gan_s12_speed_p160_x0_y0,12,0.28957374376447514,39.06903700148138,16.96802520751953
gan,gan_s13_speed_p160_x0_y0,13,0.2850326681518639,38.61251382393233,18.11391258239746
gan,gan_s14_speed_p160_x0_y0,14,0.2991130677262666,38.458271611625854,15.844478607177734
gan,gan_s15_speed_p160_x0_y0,15,0.32580272448564124,36.75140799454055,15.863845825195312
gan,gan_s16_speed_p160_x0_y0,16,0.34222491695479645,37.43079384587334,13.078662872314453
gan,gan_s17_speed_p160_x0_y0,17,0.3261625221205433,37.90377886210898,12.974454879760742
gan,gan_s18_speed_p160_x0_y0,18,0.3200553537577344,39.013865627400655,14.845152854919434
gan,gan_s19_speed_p160_x0_y0,19,0.3344558814273825,40.482377584982224,12.929351806640625
gan,gan_s20_speed_p160_x0_y0,20,0.3170608378208901,39.672926190157405,14.964215278625488
gan,gan_s21_speed_p160_x0_y0,21,0.2879785874870426,42.27371070531597,12.76113510131836
gan,gan_s22_speed_p160_x0_y0,22,0.27885558628320334,38.89499913226495,7.886898994445801
gan,gan_s23_speed_p160_x0_y0,23,0.28044028709705093,31.160138614802932,6.634105682373047
gan,gan_s24_speed_p160_x0_y0,24,0.24592114360836353,35.39916734128288,8.685693740844727
gan,gan_s25_speed_p160_x0_y0,25,0.20480249471031725,41.294392199777576,13.322566032409668
gan,gan_s26_speed_p160_x0_y0,26,0.20343403106965358,46.5841045001402,9.144110679626465
gan,gan_s27_speed_p160_x0_y0,27,0.17904261200500282,48.33644684742574,9.983192443847656
gan,gan_s28_speed_p160_x0_y0,28,0.1655852532145298,50.632201123289626,11.040020942687988
gan,gan_s29_speed_p160_x0_y0,29,0.17036636552583403,50.645910649963795,11.545421600341797
gan,gan_s30_speed_p160_x0_y0,30,0.16853744636972218,48.950649005951355,11.98703384399414
gan,gan_s31_speed_p160_x0_y0,31,0.18751787249164534,49.18106553774604,13.419205665588379
gan,gan_s32_speed_p160_x0_y0,32,0.1775671553271752,47.607752525051076,13.050602912902832
gan,gan_s33_speed_p160_x0_y0,33,0.1901750492247034,45.93531237875061,11.835304260253906
gan,gan_s34_speed_p160_x0_y0,34,0.2112257282970493,47.36937415634987,11.321325302124023
gan,gan_s35_speed_p160_x0_y0,35,0.2207040736023138,47.8109572328202,10.822689056396484
gan,gan_s36_speed_p160_x0_y0,36,0.22651271749737528,48.53188644179104,9.105673789978027
gan,gan_s37_speed_p160_x0_y0,37,0.25250070648804274,47.808597283825826,10.1189546585083
gan,gan_s38_speed_p160_x0_y0,38,0.34282840076700644,40.35832142875293,8.098371505737305
gan,gan_s39_speed_p160_x0_y0,39,0.3677751556990169,34.56305424195426,8.733672142028809
gan,gan_s40_speed_p160_x0_y0,40,0.4001462178697306,29.249830762844876,9.61486530303955
gan,gan_s41_speed_p160_x0_y0,41,0.3921201902986127,24.898516725648328,8.006635665893555
gan,gan_s42_speed_p160_x0_y0,42,0.3509764939953568,21.28250403276522,7.322332382202148
gan,gan_s43_speed_p160_x0_y0,43,0.32414912160821907,19.758182944083792,8.297431945800781
gan,gan_s44_speed_p160_x0_y0,44,0.27114794730619984,20.24994644943235,8.359650611877441
gan,gan_s45_speed_p160_x0_y0,45,0.24262785136923387,21.39533211669454,10.212721824645996
gan,gan_s46_speed_p160_x0_y0,46,0.2278352775486021,22.323623283740393,12.24644660949707
gan,gan_s47_speed_p160_x0_y0,47,0.2461556157770012,22.0272154925175,10.591157913208008
gan,gan_s48_speed_p160_x0_y0,48,0.27212188245637003,20.116963037194974,10.956873893737793
gan,gan_s49_speed_p160_x0_y0,49,0.29067115719402026,21.42064908275088,9.634648323059082
gan,gan_s50_speed_p160_x0_y0,50,0.32463785546469476,22.158217368020026,11.20584774017334
gan,gan_s51_speed_p160_x0_y0,51,0.331153815462754,23.888807121485407,11.48340892791748
gan,gan_s52_speed_p160_x0_y0,52,0.34082547792365525,26.26827135201108,12.664344787597656
gan,gan_s53_speed_p160_x0_y0,53,0.3313551172942282,28.307400199492537,13.55466079711914
gan,gan_s54_speed_p160_x0_y0,54,0.335640691775748,30.55005973185936,14.678240776062012
gan,gan_s55_speed_p160_x0_y0,55,0.33905341919548737,31.543508927737708,16.50567626953125
gan,gan_s56_speed_p160_x0_y0,56,0.34556482895762114,33.350817176506,16.101547241210938
gan,gan_s57_speed_p160_x0_y0,57,0.34615846354973806,34.83705261288143,13.32442855834961
gan,gan_s58_speed_p160_x0_y0,58,0.35514498126641,36.57715167770035,16.58735466003418
gan,gan_s59_speed_p160_x0_y0,59,0.3456417298370029,38.095148301455616,15.9739990234375
gan,gan_s60_speed_p160_x0_y0,60,0.3397958773624424,38.87618369636994,20.08839225769043
gan,gan_s61_speed_p160_x0_y0,61,0.33734450132326604,39.923660329986895,22.844724655151367
gan,gan_s62_speed_p160_x0_y0,62,0.3289592688638785,40.05557508214221,20.31317710876465
gan,gan_s63_speed_p160_x0_y0,63,0.3382904198935269,36.34103179209364,19.081890106201172
gan,gan_s64_speed_p160_x0_y0,64,0.343816191696283,34.10111545430272,18.334238052368164
gan,gan_s65_speed_p160_x0_y0,65,0.32331193465242125,32.88625020968022,15.34361743927002
gan,gan_s66_speed_p160_x0_y0,66,0.33819779547712986,31.887544225147675,13.082369804382324
gan,gan_s67_speed_p160_x0_y0,67,0.3499732882791297,31.275301339533243,12.851366996765137
gan,gan_s68_speed_p160_x0_y0,68,0.3416908896831428,31.28360088229766,11.1427001953125
gan,gan_s69_speed_p160_x0_y0,69,0.32116642264557815,34.509025692123515,14.553670883178711
gan,gan_s70_speed_p160_x0_y0,70,0.3252328131685342,36.39579563397438,19.217042922973633
gan,gan_s71_speed_p160_x0_y0,71,0.3396858599108295,38.92351527446712,21.065486907958984
gan,gan_s72_speed_p160_x0_y0,72,0.3626805389183447,38.439701497688844,25.3811092376709
gan,gan_s73_speed_p160_x0_y0,73,0.3694254549972798,39.72487987173686,24.64757537841797
gan,gan_s74_speed_p160_x0_y0,74,0.34822687003396374,40.703965228891875,21.231599807739258
gan,gan_s75_speed_p160_x0_y0,75,0.3341826888082544,43.19070024946319,24.1423397064209
gan,gan_s76_speed_p160_x0_y0,76,0.3263901091091699,44.57281385573939,22.905954360961914
gan,gan_s77_speed_p160_x0_y0,77,0.31538823863575954,44.79768433945774,19.010408401489258
gan,gan_s78_speed_p160_x0_y0,78,0.3223312820198518,45.944770263412735,23.041973114013672
gan,gan_s79_speed_p160_x0_y0,79,0.32276656112566476,46.07045585348043,19.05432891845703
gan,gan_s80_speed_p160_x0_y0,80,0.3228154385893596,46.25077663865845,21.662622451782227
gan,gan_s81_speed_p160_x0_y0,81,0.3243749370220591,46.647850835879225,25.220605850219727
gan,gan_s82_speed_p160_x0_y0,82,0.3299854511250306,45.83527424101766,24.79326820373535
gan,gan_s83_speed_p160_x0_y0,83,0.33074199511512115,45.92924296934677,22.363080978393555
gan,gan_s84_speed_p160_x0_y0,84,0.33873003880375013,46.017344906011914,26.144216537475586
gan,gan_s85_speed_p160_x0_y0,85,0.34105604188546723,44.62133395921637,21.946537017822266
gan,gan_s86_speed_p160_x0_y0,86,0.3264084239014505,44.74308481700923,19.821741104125977
gan,gan_s87_speed_p160_x0_y0,87,0.3142107320298928,42.74231319311285,15.190702438354492
gan,gan_s88_speed_p160_x0_y0,88,0.31404457598068886,37.4263024978395,15.24325180053711
gan,gan_s89_speed_p160_x0_y0,89,0.30878477221316164,36.38404892676502,13.63645076751709
gan,gan_s90_speed_p160_x0_y0,90,0.3112676936504239,35.7739485857966,16.642126083374023
gan,gan_s91_speed_p160_x0_y0,91,0.30003149264550244,36.66828729983837,11.273117065429688
gan,gan_s92_speed_p160_x0_y0,92,0.29895858573003586,35.48291322718774,11.01553726196289
gan,gan_s93_speed_p160_x0_y0,93,0.278862636810921,37.01454350364663,19.444347381591797
gan,gan_s94_speed_p160_x0_y0,94,0.31195084371192594,38.00069494803537,18.840238571166992
gan,gan_s95_speed_p160_x0_y0,95,0.3399560257381751,39.30648815376714,16.608945846557617
gan,gan_s96_speed_p160_x0_y0,96,0.3396827812605689,40.4815145782385,19.075185775756836
gan,gan_s97_speed_p160_x0_y0,97,0.34497271524718265,41.33593197809757,18.838743209838867
gan,gan_s98_speed_p160_x0_y0,98,0.3451444006332588,43.06684046090551,20.07151985168457
gan,gan_s99_speed_p160_x0_y0,99,0.34917169050447794,42.09379526646514,18.11880111694336
gan,gan_s100_speed_p160_x0_y0,100,0.35046251587181726,43.522693434336205,22.321170806884766
gan,gan_s101_speed_p160_x0_y0,101,0.3364340347869423,44.111844947653864,25.500688552856445
gan,gan_s102_speed_p160_x0_y0,102,0.3547806466532018,42.36142569077711,19.106307983398438
gan,gan_s103_speed_p160_x0_y0,103,0.3555586131925457,42.253325690693345,26.03277015686035
gan,gan_s104_speed_p160_x0_y0,104,0.3485792279499924,43.36242191915131,28.729467391967773
