method,key,pd_distance,mt_distance,error,source_dir
cnn,cnn_s27_speed_p160_x0_y0,48.311627543490935,14.89694595336914,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s28_speed_p160_x0_y0,50.04964806409335,15.381921768188477,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s29_speed_p160_x0_y0,50.67545070043154,19.336769104003906,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s2_speed_p160_x0_y0,31.856382022083032,8.620122909545898,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s30_speed_p160_x0_y0,49.16680339204763,18.372318267822266,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s31_speed_p160_x0_y0,49.274969018550514,19.593469619750977,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s32_speed_p160_x0_y0,48.17088295842235,17.52699851989746,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s33_speed_p160_x0_y0,47.69797552755851,16.21259307861328,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s34_speed_p160_x0_y0,47.387047031321764,16.532649993896484,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s35_speed_p160_x0_y0,47.042266473445466,14.310142517089844,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s36_speed_p160_x0_y0,47.265916896827854,11.788187026977539,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s37_speed_p160_x0_y0,45.16197612276775,9.65693187713623,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s38_speed_p160_x0_y0,39.64403780910529,8.446245193481445,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s39_speed_p160_x0_y0,33.179727789530716,7.849330902099609,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s3_speed_p160_x0_y0,30.93754351082033,10.553919792175293,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s40_speed_p160_x0_y0,29.64021495935845,10.7018461227417,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s41_speed_p160_x0_y0,26.25504179936483,8.27641487121582,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s42_speed_p160_x0_y0,24.440980716557213,7.769034385681152,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s43_speed_p160_x0_y0,21.850473710399644,6.9782609939575195,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s44_speed_p160_x0_y0,19.499466823573528,7.275845050811768,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s45_speed_p160_x0_y0,19.842641581366905,6.825260639190674,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s46_speed_p160_x0_y0,18.84869894621008,8.139575958251953,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s47_speed_p160_x0_y0,19.63857637402147,7.016042709350586,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s48_speed_p160_x0_y0,20.924828975061967,6.571497440338135,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s49_speed_p160_x0_y0,18.828974914472,7.868887901306152,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s4_speed_p160_x0_y0,32.1412292333553,10.472469329833984,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s50_speed_p160_x0_y0,19.175634858902992,7.5023345947265625,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s51_speed_p160_x0_y0,20.236220984168014,6.9200005531311035,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s52_speed_p160_x0_y0,21.368237612991702,8.31716537475586,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
cnn,cnn_s53_speed_p160_x0_y0,23.099559861567577,9.798555374145508,,provenance_compare20260408_163840/ttk_runs_rebuild/cnn/phase_c_final
