sample_idx,psnr_winner,ssim_winner,pd_winner,mt_winner,direct_error_group_winner,distributional_group_winner,tail_group_winner,configured_physics_group_winner,cnn_gan_cnn_metric_wins,cnn_gan_gan_metric_wins,cnn_gan_ties,baseline_bicubic_metric_wins,baseline_cnn_metric_wins,baseline_gan_metric_wins,baseline_metric_ties,crop_mae_bicubic,crop_mae_cnn,crop_mae_gan,crop_rmse_bicubic,crop_rmse_cnn,crop_rmse_gan,question,groups,crop_panel,full_panel,forced_reason,gt_branch_count,cnn_branch_count,gan_branch_count,bicubic_branch_count,cnn_branch_ratio,gan_branch_ratio,bicubic_branch_ratio,case_group,curated_group
20,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,10,5,0,8,2,5,0,0.6217686265893281,0.6668910112511367,1.013289041154785,0.944862759536915,0.9461955002222234,1.3965042228747655,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_020_crop.png,panels_full/sample_020_full.png,moderate/lower MT-GAN ridge-rich motif,3757.0,1708.0,8943.0,640.0,0.454618046313548,2.380356667553899,0.1703486824594091,MT-GAN,
21,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,0,9,2,4,0,0.8067555460846052,0.8733412438444793,1.3055490237643244,1.1665375715297737,1.2159027303142982,1.8224580822140155,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,bicubic_metric_majority;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_021_crop.png,panels_full/sample_021_full.png,,3911.0,1859.0,8988.0,680.0,0.47532600357964716,2.298133469700844,0.17386857581181284,MT-CNN,
22,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,9,6,0,8,3,4,0,1.1306280217459426,1.241297367173247,1.591071094859508,1.6298131061703856,1.7345516184268688,2.2436834739967533,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,bicubic_metric_majority;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_022_crop.png,panels_full/sample_022_full.png,,3983.0,1927.0,8545.0,717.0,0.4838061762490585,2.1453678132061262,0.1800150640220939,MT-CNN,
23,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,0,7,5,3,0,1.2643328202632256,1.3745574067509734,1.649662851160392,1.8678788661183745,1.9917921339660103,2.384135802191288,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,bicubic_metric_majority;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_023_crop.png,panels_full/sample_023_full.png,,3926.0,1711.0,7478.0,685.0,0.4358125318390219,1.9047376464595007,0.17447784004075395,MT-CNN,
24,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,0,5,7,3,0,1.4403726638294756,1.5266462110867725,1.847155444712844,2.101114781305239,2.227445228299135,2.6889154495540395,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_024_crop.png,panels_full/sample_024_full.png,,3969.0,1584.0,6810.0,678.0,0.39909297052154197,1.7157974300831444,0.1708238851095994,MT-CNN,
25,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,10,5,0,6,5,4,0,1.640242988560349,1.748473646750208,2.0221295711677523,2.3626202429309515,2.5538000624419483,2.8854578625957177,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;neartie_topology_validator_disagreement;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_025_crop.png,panels_full/sample_025_full.png,lower-confidence MT-GAN limitation case,3889.0,1542.0,6450.0,718.0,0.39650295705836974,1.6585240421702236,0.18462329647724351,MT-GAN,limitation_cases
26,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,0,3,5,7,0,1.8240294264664407,1.9436849729833192,2.230709108046722,2.5956030610334704,2.766365991955306,3.1908523956274015,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_026_crop.png,panels_full/sample_026_full.png,,4022.0,1782.0,6192.0,799.0,0.443063152660368,1.5395325708602685,0.19865738438587768,MT-CNN,
27,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,10,5,0,2,9,4,0,1.8939168168778997,1.9823604240018176,2.295839770987514,2.737699737663249,2.882553143354738,3.33724104629289,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_027_crop.png,panels_full/sample_027_full.png,,3926.0,1924.0,5316.0,777.0,0.4900662251655629,1.3540499235863475,0.1979113601630158,MT-CNN,
28,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,0,3,7,5,0,1.9456800526718143,2.0103954429671287,2.3133760548743885,2.825823771411173,2.8880084447124794,3.3751754086124577,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_028_crop.png,panels_full/sample_028_full.png,,3678.0,1733.0,5695.0,778.0,0.4711799891245242,1.5483958673191953,0.2115280043501903,MT-CNN,
29,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,0,3,9,3,0,1.9204058881782111,1.965577844454674,2.333739937755745,2.76665227698261,2.808593422736331,3.430315838559206,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_029_crop.png,panels_full/sample_029_full.png,,3559.0,1711.0,5527.0,728.0,0.4807530205113796,1.5529643158190503,0.20455184040460803,MT-CNN,
30,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,0,3,9,3,0,1.8427512835303788,1.933664199074265,2.2259045049730046,2.7045955401819755,2.8069858064859603,3.312741508766528,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_030_crop.png,panels_full/sample_030_full.png,,3461.0,1558.0,5113.0,712.0,0.4501589136087836,1.4773186940190697,0.20572088991620918,MT-CNN,
31,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,0,2,10,3,0,1.775395621204516,1.878087655507843,2.1267566141650605,2.645163823318525,2.786290139657914,3.1915272091901734,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_031_crop.png,panels_full/sample_031_full.png,,3524.0,1751.0,4812.0,747.0,0.49687854710556184,1.3654937570942112,0.21197502837684448,MT-CNN,
32,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,0,2,10,3,0,1.6755052361867273,1.7724589203469805,2.0339388813047843,2.5335273064509582,2.7036389247993515,3.096439488590895,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_032_crop.png,panels_full/sample_032_full.png,,3480.0,1550.0,4698.0,702.0,0.4454022988505747,1.35,0.20172413793103447,MT-CNN,
33,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,13,2,0,2,10,3,0,1.630635736442782,1.6754664388929086,2.0057547294939284,2.4824506283652172,2.548120482472384,3.0690096817214547,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_cnn;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_033_crop.png,panels_full/sample_033_full.png,,3489.0,1552.0,4688.0,724.0,0.44482659787904844,1.3436514760676412,0.20750931498996847,MT-CNN,
