sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_grad_levelset_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_grad_levelset_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_grad_levelset_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_grad_levelset_expanded2688,was_mt_gan_win_before
127,127,30.000730217921266,24.85609607980766,23.44126464490922,5.114649772644043,13.074076652526855,5.3934736251831055,gan,candidateB_factorial_grad_levelset_expanded2688,cnn,cnn,0
128,128,28.391923421353447,23.315252316365218,23.297453781387617,5.476268768310547,7.28298807144165,5.135242462158203,gan,candidateB_factorial_grad_levelset_expanded2688,cnn,candidateB_factorial_grad_levelset_expanded2688,0
129,129,29.465245102227872,24.209883048645104,24.28928876080705,5.373117923736572,9.33877944946289,5.689613342285156,gan,gan,cnn,cnn,0
130,130,30.27324308013254,23.783031491875988,25.165928251398295,5.609683513641357,11.313863754272461,5.312963008880615,gan,gan,cnn,candidateB_factorial_grad_levelset_expanded2688,0
131,131,33.0539968727652,25.23355611194131,27.08333819750275,6.2030792236328125,12.011610984802246,6.507052898406982,gan,gan,cnn,cnn,0
132,132,33.926806040190684,25.90821112354989,28.81630687166078,6.331444263458252,12.388164520263672,6.560794353485107,gan,gan,cnn,cnn,0
133,133,34.52507377701583,25.596877045000497,29.263798858326837,6.299666404724121,7.647167682647705,6.085465908050537,gan,gan,cnn,candidateB_factorial_grad_levelset_expanded2688,0
134,134,32.518921837890055,23.04058254540847,26.96094661201538,7.141453742980957,13.276667594909668,5.705865383148193,gan,gan,cnn,candidateB_factorial_grad_levelset_expanded2688,0
135,135,29.944179549584543,20.502693507156053,25.497418127658477,6.298990726470947,11.993122100830078,5.693593978881836,gan,gan,cnn,candidateB_factorial_grad_levelset_expanded2688,0
136,136,27.83279512215704,19.71188765946126,24.480073143773676,6.232182025909424,6.450465202331543,6.231643199920654,gan,gan,cnn,candidateB_factorial_grad_levelset_expanded2688,0
137,137,26.69652879915387,18.35521341147029,23.36664012672073,5.208233833312988,9.66958236694336,4.781413555145264,gan,gan,cnn,candidateB_factorial_grad_levelset_expanded2688,0
138,138,26.265900126493325,18.5898403985513,23.159648081319048,5.562473773956299,8.217479705810547,5.022820949554443,gan,gan,cnn,candidateB_factorial_grad_levelset_expanded2688,0
139,139,25.72843674372112,17.55339321269266,22.47695205982501,5.6482439041137695,9.790724754333496,4.826998233795166,gan,gan,cnn,candidateB_factorial_grad_levelset_expanded2688,0
140,140,26.928885115678263,17.632487734588345,23.755221433022136,5.719569206237793,11.421890258789062,5.170303821563721,gan,gan,cnn,candidateB_factorial_grad_levelset_expanded2688,0
141,141,30.122683212798776,22.35126448334632,27.210103706816252,6.186624050140381,8.889102935791016,7.204087257385254,gan,gan,cnn,cnn,0
142,142,31.864668972443802,25.40867751345393,30.271517804866647,7.186554908752441,8.55953311920166,7.536909580230713,gan,gan,cnn,cnn,0
143,143,31.729557469133276,25.608920781987035,28.588166042777978,5.864097595214844,9.649337768554688,6.264138221740723,gan,gan,cnn,cnn,0
144,144,31.838603860361527,24.790495069985838,28.65580968929194,5.560759544372559,9.771649360656738,6.472866058349609,gan,gan,cnn,cnn,0
145,145,30.39245353837724,25.26410594488553,28.909761258706588,5.902344226837158,8.558032035827637,6.045661926269531,gan,gan,cnn,cnn,0
146,146,29.28670842660694,23.86618294113101,27.012418918056653,5.959416389465332,7.056334018707275,6.890676975250244,gan,gan,cnn,cnn,0
147,147,26.585106339400784,22.003227031713678,25.48693732351217,5.6108717918396,6.8347039222717285,6.655450820922852,gan,gan,cnn,cnn,0
148,148,26.258461074996504,21.1331690923618,24.671312825490826,5.0148024559021,8.882506370544434,6.379519462585449,gan,gan,cnn,cnn,0
149,149,25.194205211404583,21.36081867901896,22.463481943608564,5.752551078796387,8.038224220275879,6.379750728607178,gan,gan,cnn,cnn,0
150,150,24.128591365700505,20.19277068635915,21.05027388103006,5.291886329650879,7.924254417419434,5.769044399261475,gan,gan,cnn,cnn,0
151,151,24.240085612250784,19.596870056685123,20.12553085148813,5.580901145935059,7.460690975189209,6.734896183013916,gan,gan,cnn,cnn,0
152,152,24.594151699851988,17.338820427078797,19.568953086212673,5.931854248046875,8.478921890258789,6.740290641784668,gan,gan,cnn,cnn,0
