sample_idx,pos_idx,pd_distance_candidateB_factorial_grad_levelset_expanded2688,mt_distance_candidateB_factorial_grad_levelset_expanded2688
103,103,22.995517452671173,5.349696159362793
104,104,22.34061600354904,5.378627300262451
105,105,22.096458800288712,5.634559154510498
106,106,21.653408900907078,5.868618488311768
107,107,21.190128525307898,5.904460430145264
108,108,22.319983810852698,6.012566566467285
109,109,21.9568828525147,5.681097984313965
110,110,22.59412094029215,5.900572776794434
111,111,21.72060917398899,6.011635780334473
112,112,20.776717251780962,5.948906898498535
113,113,19.678768969751218,6.227995872497559
114,114,19.255955997169515,6.27491569519043
115,115,19.50548428916182,5.643024921417236
116,116,20.42125116618562,5.631749629974365
117,117,22.05344000128697,6.054229259490967
118,118,24.166322249569806,7.563061714172363
119,119,23.810724088284115,6.20941162109375
120,120,24.269739565231827,5.851161479949951
121,121,23.998193297073446,5.239626407623291
122,122,24.11652443657108,5.718595027923584
123,123,24.102788759162806,6.190188407897949
124,124,23.554269442578832,6.603234767913818
125,125,22.97102376190601,5.628668308258057
126,126,22.112757724439867,5.410757541656494
127,127,23.44126464490922,5.3934736251831055
128,128,23.297453781387617,5.135242462158203
129,129,24.28928876080705,5.689613342285156
130,130,25.165928251398295,5.312963008880615
131,131,27.08333819750275,6.507052898406982
132,132,28.81630687166078,6.560794353485107
133,133,29.263798858326837,6.085465908050537
134,134,26.96094661201538,5.705865383148193
135,135,25.497418127658477,5.693593978881836
136,136,24.480073143773676,6.231643199920654
137,137,23.36664012672073,4.781413555145264
138,138,23.159648081319048,5.022820949554443
139,139,22.47695205982501,4.826998233795166
140,140,23.755221433022136,5.170303821563721
141,141,27.210103706816252,7.204087257385254
142,142,30.271517804866647,7.536909580230713
143,143,28.588166042777978,6.264138221740723
144,144,28.65580968929194,6.472866058349609
145,145,28.909761258706588,6.045661926269531
146,146,27.012418918056653,6.890676975250244
147,147,25.48693732351217,6.655450820922852
148,148,24.671312825490826,6.379519462585449
149,149,22.463481943608564,6.379750728607178
150,150,21.05027388103006,5.769044399261475
151,151,20.12553085148813,6.734896183013916
152,152,19.568953086212673,6.740290641784668
153,153,19.006228988161503,6.471155643463135
154,154,19.025310802769056,6.393832683563232
155,155,18.863922971011213,5.9600749015808105
156,156,19.281565214320526,5.1125688552856445
157,157,20.864974933736583,5.071328639984131
158,158,22.58652329018339,5.637887477874756
159,159,20.11842239409042,5.347076416015625
160,160,18.709255621999908,6.070135116577148
161,161,19.616840685144,5.661426067352295
162,162,18.811772108047148,5.227109909057617
163,163,20.048438052808066,5.71733283996582
164,164,21.36896046210295,5.859530448913574
165,165,21.91858940151294,7.32857608795166
166,166,22.786362866690077,7.176787853240967
167,167,22.52310428308809,5.609510898590088
