sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE2_tf_lowlambda_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE2_tf_lowlambda_expanded2688,pd_winner_before,pd_winner_after_candidateE2_tf_lowlambda_expanded2688,mt_winner_before,mt_winner_after_candidateE2_tf_lowlambda_expanded2688,was_mt_gan_win_before
29,29,38.84347398326436,31.752977463202388,35.15076897048553,6.963974952697754,12.864243507385254,8.392487525939941,gan,gan,cnn,cnn,0
30,30,39.94080457344863,30.82310921065586,35.553536821981695,8.127463340759277,14.847400665283203,7.523702621459961,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
31,31,39.104318483733294,31.3053599336416,35.6905668873503,6.818642616271973,16.23410415649414,6.95128870010376,gan,gan,cnn,cnn,0
32,32,38.55925876668554,30.547158977309156,34.28605835537424,7.461033821105957,19.229158401489258,6.980026721954346,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
33,33,38.39305861348763,30.400139282712473,34.093665545301356,6.76971960067749,20.00556755065918,6.748823165893555,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
34,34,37.356416104450325,28.907547601520903,33.127291042512596,6.323113918304443,19.445999145507812,6.2546067237854,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
35,35,35.95264003005777,28.746843597068697,32.45544491247022,6.2719197273254395,14.435929298400879,6.521895408630371,gan,gan,cnn,cnn,0
36,36,35.61901723291445,27.743736665197815,33.046427787126646,6.097905158996582,9.26945686340332,6.08600378036499,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
37,37,33.456602216246914,27.16364872656993,31.127734236958815,6.489102840423584,9.59257698059082,6.684184551239014,gan,gan,cnn,cnn,0
38,38,29.159912858159764,23.780350003542182,26.260862037337674,6.054014682769775,7.416414260864258,6.512729644775391,gan,gan,cnn,cnn,0
39,39,25.24426875811477,21.358097631209198,22.668798591034733,5.873856067657471,8.546488761901855,6.409156799316406,gan,gan,cnn,cnn,0
40,40,24.281572165890662,20.447367624488226,21.44014212593871,5.6310811042785645,8.988521575927734,5.166939735412598,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
41,41,23.457166445963043,17.452695580897316,20.119505850206696,5.389686584472656,8.901470184326172,6.084412097930908,gan,gan,cnn,cnn,0
42,42,21.63035540369367,14.632793364821667,18.500724696699216,5.757840156555176,7.383090972900391,5.717343807220459,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
43,43,20.76816702008209,13.784137402758168,17.05874334834115,5.7682366371154785,7.053122520446777,5.915548324584961,gan,gan,cnn,cnn,0
44,44,19.781150575177055,13.855413188888303,16.049736735075697,6.20600700378418,7.041088581085205,6.605436325073242,gan,gan,cnn,cnn,0
45,45,20.528037851461004,13.609391097429418,16.801525751641197,6.566225528717041,6.773196697235107,5.97556209564209,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
