sample_idx,pos_idx,pd_distance_candidateD,mt_distance_candidateD
136,136,28.789865149450364,7.090490341186523
137,137,27.737875375497296,5.431000709533691
138,138,27.051359372858492,5.899920463562012
139,139,26.36047089329485,6.126804351806641
140,140,27.8818182858136,6.085495948791504
141,141,31.130429021564556,6.736563205718994
142,142,32.992328958327576,7.80361795425415
143,143,32.596004786907464,6.780709266662598
144,144,33.16717651558405,5.780819416046143
145,145,31.735252866881204,5.677913188934326
146,146,30.69585214493906,6.4972333908081055
147,147,28.278052100411355,5.973606586456299
148,148,27.704577483283792,5.519075393676758
149,149,26.532998452651093,6.371006965637207
150,150,25.27305855735559,5.734366416931152
151,151,25.152184264245495,6.293393135070801
152,152,25.367746052698113,5.865227699279785
153,153,25.673673313707884,6.496457099914551
154,154,25.539388767117153,5.971219539642334
155,155,26.248831428274258,6.170210838317871
156,156,25.29659753528589,5.939535140991211
157,157,25.892498480391875,4.610558032989502
158,158,27.4553785564508,5.864597320556641
159,159,24.64474085474954,4.95396614074707
160,160,21.59640904925632,5.435678482055664
161,161,19.948195591147787,5.2103776931762695
162,162,18.274990380390033,4.400572776794434
163,163,19.26415052356629,5.37227201461792
164,164,21.863973909522105,5.558727741241455
165,165,23.28420006349813,5.207399845123291
166,166,24.331340857390746,5.074124813079834
167,167,24.011005434332045,5.296782970428467
