sample_idx,archetype_id,method_id,raw__psnruv,oriented_improvement_vs_cnn__psnruv,raw__ssim_speed,oriented_improvement_vs_cnn__ssim_speed,raw__speed_mae,oriented_improvement_vs_cnn__speed_mae,raw__speed_rmse,oriented_improvement_vs_cnn__speed_rmse,raw__wpd_mae,oriented_improvement_vs_cnn__wpd_mae,raw__wpd_w1,oriented_improvement_vs_cnn__wpd_w1,raw__wpd_bias_abs,oriented_improvement_vs_cnn__wpd_bias_abs,raw__grad_mae,oriented_improvement_vs_cnn__grad_mae,raw__grad_w1,oriented_improvement_vs_cnn__grad_w1,raw__grad_kurtosis_abs_delta,oriented_improvement_vs_cnn__grad_kurtosis_abs_delta,raw__psd_log_l2,oriented_improvement_vs_cnn__psd_log_l2,raw__psd_slope_abs_delta,oriented_improvement_vs_cnn__psd_slope_abs_delta,raw__exceed_abs_t5,oriented_improvement_vs_cnn__exceed_abs_t5,raw__exceed_abs_t10,oriented_improvement_vs_cnn__exceed_abs_t10,raw__exceed_abs_t15,oriented_improvement_vs_cnn__exceed_abs_t15,raw__exceed_abs_p90,oriented_improvement_vs_cnn__exceed_abs_p90,raw__comp_curve_l1,oriented_improvement_vs_cnn__comp_curve_l1,raw__comp_abs_t5,oriented_improvement_vs_cnn__comp_abs_t5,raw__comp_abs_t10,oriented_improvement_vs_cnn__comp_abs_t10,raw__comp_abs_t15,oriented_improvement_vs_cnn__comp_abs_t15,raw__pd_distance,oriented_improvement_vs_cnn__pd_distance,raw__mt_distance,oriented_improvement_vs_cnn__mt_distance,method_level_pd_rank,method_level_mt_rank,on_topology_only_deterministic_front,topology_only_bootstrap_rate_iid,topology_only_bootstrap_rate_block6,topology_only_bootstrap_rate_block12,topology_only_bootstrap_rate_block24
34,gan_pd_vs_cnn_mt_conflict,candidate_c,35.15698664145594,2.0849581955496603,,,0.6369726038392907,0.2183055598676028,1.190005343315532,0.3052325499774071,248.49241823986532,99.04836522394274,35.676083401772054,10.575053266904682,11.325108450601768,8.810823681769389,0.39870656161313867,0.039517364636114605,0.2610754131296986,0.026590461717101166,4.344133074349372,-4.209530121147008,1.5610526634017685,-0.2818757978170108,0.6192555862071267,-0.4552030327873642,0.008604000000000056,-0.0021400000000000308,0.007207999999999992,0.00018399999999996197,0.004968,0.003695999999999977,0.002236000000000002,0.006764000000000006,131.33333333333334,-15.333333333333343,8.0,2.0,160.0,8.0,261.0,-35.0,31.363921211652595,5.99249489279773,6.932266712188721,-0.6091527938842773,3.0,14.0,False,0.0002,0.0006,0.0007,0.0003
34,gan_pd_vs_cnn_mt_conflict,f3_grad_crit,35.06705640238971,1.9950279564834332,,,0.6491427581261972,0.20613540558069632,1.2069832766285395,0.28825461666439955,253.71606427673333,93.82471918707472,33.14389506489165,13.107241603785084,5.307436441030876,14.82849569134028,0.3951630420017991,0.04306088424745419,0.24030975524545706,0.04735611960134273,2.819815183578946,-2.6852122303765817,1.4025207127302723,-0.1233438471455146,1.6216236452559893,-1.4575710918362268,0.007916000000000034,-0.0014520000000000088,0.008099999999999996,-0.0007080000000000419,0.004912,0.0037519999999999776,0.0033320000000000016,0.005668000000000006,102.33333333333333,13.666666666666671,8.0,2.0,119.0,49.0,218.0,8.0,30.079331173146116,7.277084931304209,6.655734062194824,-0.33262014389038086,2.0,9.0,True,1.0,0.9997,0.9967,0.9861
34,gan_pd_vs_cnn_mt_conflict,f2_grad_levelset_e2,34.43144144118455,1.3594129952782765,,,0.69960670776327,0.15567145594362342,1.2948184675069494,0.2004194257859897,276.7914003015207,70.74938316228736,23.995396475722778,22.255740192953958,10.63198489977815,9.503947232593006,0.3977652274810845,0.040458698768168766,0.20356959003904704,0.08409628480775275,1.7446914689077637,-1.6100885157053995,1.3149642738968796,-0.035787408312121904,0.6690560174560178,-0.5050034640362553,0.0030640000000000667,0.0033999999999999586,0.0023959999999999537,0.0049960000000000004,0.00473599999999999,0.003927999999999987,0.0025200000000000083,0.00648,82.16666666666667,33.83333333333333,2.0,8.0,123.0,45.0,181.0,45.0,32.727374592552216,4.629041511898109,6.281839847564697,0.041274070739746094,8.0,4.0,True,1.0,0.9995,0.9967,0.9915
34,gan_pd_vs_cnn_mt_conflict,uv_e2,34.40488536456953,1.3328569186632535,,,0.7003560000491998,0.15492216365769362,1.2986328380920638,0.19660505520087534,278.08770087100584,69.45308259280222,27.89614484989087,18.354991818785866,13.09105594864201,7.044876183729146,0.4070495527504394,0.031174373498813857,0.22847217785741167,0.05919369698938812,3.6192926392777096,-3.4846896860753453,1.332995928767703,-0.05381906318294516,0.4366490385057442,-0.27259648508598167,0.0035800000000000276,0.0028839999999999977,0.0030400000000000427,0.0043519999999999115,0.006151999999999991,0.0025119999999999865,0.0033040000000000014,0.005696000000000007,97.16666666666667,18.83333333333333,1.0,9.0,152.0,16.0,198.0,28.0,33.99219963700051,3.3642164674498147,6.365128517150879,-0.04201459884643555,12.0,1.0,True,0.9862,0.9691,0.9607,0.9662
119,f3_pd_vs_uv_e2_mt_tradeoff,bicubic,31.71256787458814,1.2822042759072936,,,0.5710770215084379,0.09760008926285868,0.9343359385704433,0.0854923256910789,186.68972919184682,46.29137409138721,48.734644353817075,10.647200828949224,32.32086286682649,20.04671279431701,0.3562743468782967,-0.02055935216018112,0.31596131802585076,-0.08038491602266065,4.5280457540035055,-4.213802054632122,1.142799499171823,-0.5718317422259287,2.080411391218639,-0.9531843378310871,0.012072000000000083,-0.0035720000000000196,0.020652000000000004,0.0014560000000000128,0.0030759999999999954,0.003899999999999987,0.003804000000000002,0.004603999999999997,154.0,-49.5,9.0,-4.0,517.0,-166.0,105.0,-38.0,,,,,,,,,,,
119,f3_pd_vs_uv_e2_mt_tradeoff,cnn,30.430363598680845,,,,0.6686771107712965,,1.0198282642615222,,232.98110328323403,,59.3818451827663,,52.3675756611435,,0.33571499471811556,,0.2355764020031901,,0.3142436993713833,,0.5709677569458944,,1.127227053387552,,0.008500000000000063,,0.022108000000000017,,0.006975999999999982,,0.008407999999999999,,104.5,,5.0,,351.0,,67.0,,27.187847892928154,,5.218785285949707,,13.0,7.0,False,0.0,0.0,0.0,0.0
119,f3_pd_vs_uv_e2_mt_tradeoff,gan,28.64859349736028,-1.7817701013205642,,,0.8492398962174323,-0.1805627854461358,1.2418419777340262,-0.22201371347250398,299.5853242947764,-66.60422101154236,28.49418000394173,30.88766517882457,16.12848448841139,36.2390911727321,0.36235774053472064,-0.026642745816605085,0.07260206039163997,0.16297434161155014,0.6629916497401851,-0.3487479503688018,0.7401698403244749,-0.16920208337858045,1.4694800269779709,-0.34225297359041895,0.007672000000000012,0.0008280000000000509,0.007127999999999912,0.014980000000000104,0.0042280000000000095,0.0027479999999999727,0.0017320000000000113,0.0066759999999999875,182.83333333333334,-78.33333333333334,50.0,-45.0,210.0,141.0,254.0,-187.0,20.557132674744736,6.630715218183418,6.129123687744141,-0.9103384017944336,1.0,18.0,True,1.0,1.0,1.0,1.0
119,f3_pd_vs_uv_e2_mt_tradeoff,candidate_c,32.85487064531417,2.4245070466333267,,,0.500581929382462,0.1680951813888345,0.824470266743944,0.1953579975175782,165.96668545851946,67.01441782471457,16.957414021109535,42.42443116165676,11.056824542174928,41.31075111896857,0.29954207717598424,0.03617291754213131,0.18640257501074398,0.04917382699244613,0.2857415445552647,0.02850215481611862,0.7194484351407496,-0.14848067819485522,1.6306056132048954,-0.5033785598173435,0.006944000000000061,0.0015560000000000018,0.00045600000000001195,0.021652000000000005,0.0025680000000000147,0.0044079999999999675,0.0024199999999999916,0.005988000000000007,104.66666666666667,-0.1666666666666714,7.0,-2.0,375.0,-24.0,63.0,4.0,23.101579193576615,4.086268699351539,6.261286735534668,-1.042501449584961,3.0,14.0,False,0.0002,0.0006,0.0007,0.0003
119,f3_pd_vs_uv_e2_mt_tradeoff,f3_grad_crit,32.605747993569246,2.1753843948884004,,,0.522990253001559,0.14568685776973755,0.8529591144242594,0.16686914983726275,176.4468656740296,56.53423760920444,47.99535413224369,11.386491050522608,46.4510922203459,5.916483440797599,0.2973817020993077,0.03833329261880786,0.17025285062870568,0.06532355137448442,0.9087720017107905,-0.5945283023394072,0.6880825393815362,-0.11711478243564177,1.9368649279356054,-0.8096378745480535,0.007396000000000069,0.0011039999999999939,0.013055999999999957,0.00905200000000006,0.008164000000000005,-0.0011880000000000224,0.006803999999999991,0.0016040000000000082,91.5,13.0,5.0,0.0,344.0,7.0,50.0,17.0,23.0242340267416,4.163613866186555,6.517436504364014,-1.2986512184143066,2.0,9.0,True,1.0,0.9997,0.9967,0.9861
119,f3_pd_vs_uv_e2_mt_tradeoff,f2_grad_levelset_e2,31.971916735559955,1.5415531368791093,,,0.5605108610206192,0.10816624975067735,0.9094714996430269,0.1103567646184953,185.517951891784,47.463151391450026,21.14612664541515,38.23571853735115,19.02465128855604,33.34292437258746,0.3018248656361237,0.03389012908199185,0.15074500093875762,0.08483140106443249,1.294786796333371,-0.9805430969619877,0.5902574003391475,-0.01928964339325312,1.46438725626095,-0.337160202873398,0.0012159999999999949,0.007284000000000068,0.003944000000000059,0.018163999999999958,0.002692,0.004283999999999982,0.002604000000000009,0.00580399999999999,70.83333333333333,33.66666666666667,1.0,4.0,277.0,74.0,18.0,49.0,24.8848986709167,2.3029492220114527,4.998507022857666,0.22027826309204102,8.0,4.0,True,1.0,0.9995,0.9967,0.9915
