archetype_id,priority,rank,sample_idx,score,eligibility_count,c1_name,c1_raw,c1_z,c1_z_method,c2_name,c2_raw,c2_z,c2_z_method,c3_name,c3_raw,c3_z,c3_z_method,c4_name,c4_raw,c4_z,c4_z_method,score_formula
f2_balanced_vs_cnn,4,8,32,0.6592621697072585,100,f2_pd_improvement_vs_cnn,4.872771506391686,1.3313469737235697,mad,f2_mt_improvement_vs_cnn,0.70166015625,0.48775550990017946,mad,f2_psnruv_improvement_vs_cnn,1.506348106312025,0.06383666628305551,mad,f2_speed_mae_improvement_vs_cnn,0.1713984049688323,1.3082166121735768,mad,"min(robust_z(pd_improvement), robust_z(mt_improvement)) + 0.25*mean(robust_z(psnr_improvement), robust_z(speed_mae_improvement))"
f2_balanced_vs_cnn,4,9,23,0.6530475143341029,100,f2_pd_improvement_vs_cnn,4.278792152944565,0.46021710761627466,mad,f2_mt_improvement_vs_cnn,0.9881634712219238,1.080789594531751,mad,f2_psnruv_improvement_vs_cnn,1.9023756388962383,0.7133469377318554,mad,f2_speed_mae_improvement_vs_cnn,0.15066372396483352,0.8292963160107706,mad,"min(robust_z(pd_improvement), robust_z(mt_improvement)) + 0.25*mean(robust_z(psnr_improvement), robust_z(speed_mae_improvement))"
f2_balanced_vs_cnn,4,10,77,0.5514000410803699,100,f2_pd_improvement_vs_cnn,4.50963571485865,0.7987721769379735,mad,f2_mt_improvement_vs_cnn,1.038999080657959,1.1860143773987186,mad,f2_psnruv_improvement_vs_cnn,0.6771231868866607,-1.2961447950905902,mad,f2_speed_mae_improvement_vs_cnn,0.08519666280545102,-0.6828322917702389,mad,"min(robust_z(pd_improvement), robust_z(mt_improvement)) + 0.25*mean(robust_z(psnr_improvement), robust_z(speed_mae_improvement))"
candidate_c_continuity,5,1,25,2.0754016050309323,168,candidate_c_pd_improvement_vs_cnn,5.789484826311341,0.6308094664901497,mad,candidate_c_mt_improvement_vs_cnn,3.909496784210205,7.1964460386071005,mad,candidate_c_psnruv_improvement_vs_cnn,2.722739268252475,0.6043091632562063,mad,candidate_c_speed_mae_improvement_vs_cnn,0.24057755502930833,1.5337419305067088,mad,0.50*robust_z(pd_improvement) + 0.20*robust_z(mt_improvement) + 0.15*robust_z(psnr_improvement) + 0.15*robust_z(speed_mae_improvement)
candidate_c_continuity,5,2,30,1.42279998510505,168,candidate_c_pd_improvement_vs_cnn,6.9232824243722035,1.6606471310413915,mad,candidate_c_mt_improvement_vs_cnn,0.520749568939209,1.3638410125056402,mad,candidate_c_psnruv_improvement_vs_cnn,2.439323133750733,0.16148952644032805,mad,candidate_c_speed_mae_improvement_vs_cnn,0.2596233824245233,1.9698985874478465,mad,0.50*robust_z(pd_improvement) + 0.20*robust_z(mt_improvement) + 0.15*robust_z(psnr_improvement) + 0.15*robust_z(speed_mae_improvement)
candidate_c_continuity,5,3,134,1.291591331548355,168,candidate_c_pd_improvement_vs_cnn,5.811375659998763,0.6506930904088205,mad,candidate_c_mt_improvement_vs_cnn,1.473522663116455,3.003724068045988,mad,candidate_c_psnruv_improvement_vs_cnn,2.7970237425604303,0.720373917268667,mad,candidate_c_speed_mae_improvement_vs_cnn,0.24854906680196764,1.7162925676296472,mad,0.50*robust_z(pd_improvement) + 0.20*robust_z(mt_improvement) + 0.15*robust_z(psnr_improvement) + 0.15*robust_z(speed_mae_improvement)
candidate_c_continuity,5,4,107,1.087773828553794,168,candidate_c_pd_improvement_vs_cnn,7.812015870716419,2.467891015097117,mad,candidate_c_mt_improvement_vs_cnn,-0.24554204940795898,0.0449240025587379,mad,candidate_c_psnruv_improvement_vs_cnn,1.8199690452186843,-0.8062117409076159,mad,candidate_c_speed_mae_improvement_vs_cnn,0.16363966875669456,-0.2281647891358,mad,0.50*robust_z(pd_improvement) + 0.20*robust_z(mt_improvement) + 0.15*robust_z(psnr_improvement) + 0.15*robust_z(speed_mae_improvement)
candidate_c_continuity,5,5,155,1.0314840352720827,168,candidate_c_pd_improvement_vs_cnn,6.418851940466503,1.2024687821346993,mad,candidate_c_mt_improvement_vs_cnn,0.3235774040222168,1.0244744894083464,mad,candidate_c_psnruv_improvement_vs_cnn,2.831647480225058,0.7744712994265783,mad,candidate_c_speed_mae_improvement_vs_cnn,0.205388256604846,0.7278936760605131,mad,0.50*robust_z(pd_improvement) + 0.20*robust_z(mt_improvement) + 0.15*robust_z(psnr_improvement) + 0.15*robust_z(speed_mae_improvement)
candidate_c_continuity,5,6,106,0.9810326962267141,168,candidate_c_pd_improvement_vs_cnn,7.499178974974246,2.183738694923225,mad,candidate_c_mt_improvement_vs_cnn,-0.05826902389526367,0.3672524385472051,mad,candidate_c_psnruv_improvement_vs_cnn,1.7761527348997461,-0.8746719316308958,mad,candidate_c_speed_mae_improvement_vs_cnn,0.1581487461802793,-0.35390899466470155,mad,0.50*robust_z(pd_improvement) + 0.20*robust_z(mt_improvement) + 0.15*robust_z(psnr_improvement) + 0.15*robust_z(speed_mae_improvement)
candidate_c_continuity,5,7,125,0.9504856048768894,168,candidate_c_pd_improvement_vs_cnn,6.68186959655171,1.4413698780108888,mad,candidate_c_mt_improvement_vs_cnn,0.34908437728881836,1.0683762888122652,mad,candidate_c_psnruv_improvement_vs_cnn,2.2893210770956536,-0.07287912150702022,mad,candidate_c_speed_mae_improvement_vs_cnn,0.18147983810898505,0.18038184223363382,mad,0.50*robust_z(pd_improvement) + 0.20*robust_z(mt_improvement) + 0.15*robust_z(psnr_improvement) + 0.15*robust_z(speed_mae_improvement)
