sample_idx,pos_idx,pd_distance_candidateE2_tf_lowlambda_expanded672,mt_distance_candidateE2_tf_lowlambda_expanded672
99,99,28.183797683101453,5.134344577789307
100,100,28.124411171344075,5.075150966644287
101,101,27.637888747319156,4.846309661865234
102,102,26.501713482170054,4.659713268280029
103,103,27.040126303500287,4.973668098449707
104,104,26.790901837732203,4.813553333282471
105,105,26.912343416318965,5.503514766693115
106,106,27.11621707920945,5.281588554382324
107,107,26.27781056392818,5.771369934082031
108,108,26.561497282511276,5.660275459289551
109,109,26.13599642096131,5.033626079559326
110,110,26.413461789836216,5.579740047454834
111,111,25.44357952824222,5.662728309631348
112,112,25.116593556110434,5.263159275054932
113,113,24.168030661816058,5.341979503631592
114,114,22.663459878605106,5.658288955688477
115,115,23.37112203401117,4.855899810791016
116,116,23.86256889857443,5.99856424331665
117,117,25.30049256834319,6.279912948608398
118,118,26.40581769670213,6.683266639709473
119,119,26.26632114926618,5.046031951904297
120,120,25.927160600286882,5.17387580871582
121,121,26.568777617903205,4.6942572593688965
122,122,25.831688797563494,5.014111518859863
123,123,25.563138941340508,5.249747276306152
124,124,25.658844810251203,5.423056125640869
125,125,25.193120677395598,4.791333198547363
126,126,25.251205310540833,4.679611682891846
127,127,27.09277042174854,4.73405647277832
128,128,26.1262650810422,4.780929088592529
129,129,27.112289032333855,5.105356693267822
130,130,27.30828671598511,5.359714984893799
131,131,30.0176119364974,7.212762832641602
132,132,30.93996633043977,6.6922807693481445
133,133,31.14812932367553,6.386075973510742
134,134,29.08174797454822,5.481940269470215
135,135,27.205961571331994,4.593440055847168
136,136,25.25897026441646,5.069151878356934
137,137,24.51576297113789,4.41126012802124
138,138,23.750892145926834,4.588643550872803
139,139,23.05267167602781,6.402887344360352
140,140,24.65469978293934,6.980069160461426
141,141,28.167946374033747,5.89618444442749
142,142,30.56522811082992,6.221570014953613
143,143,29.787220507683482,6.8343024253845215
144,144,29.061111789395735,6.046743392944336
145,145,27.71949565799699,5.94149923324585
146,146,27.291849497523312,5.8381476402282715
147,147,25.446951176199264,5.407997131347656
148,148,24.984457960995332,5.430187702178955
149,149,24.182792898798176,6.133827209472656
150,150,22.391848159600578,5.104307651519775
151,151,22.703223256978873,5.26781702041626
152,152,22.446665629210933,5.63916540145874
153,153,22.45783548535368,6.117825031280518
154,154,22.054903796192544,6.594666481018066
155,155,22.452535293385385,5.714420318603516
156,156,22.90024688053667,4.853509902954102
157,157,23.95158278721407,4.51969575881958
158,158,26.031476369677527,5.544369697570801
159,159,23.416354509473628,5.535646915435791
160,160,20.95707747269443,5.679253101348877
161,161,19.74852846217155,6.043704509735107
162,162,19.03896787764341,5.50325345993042
163,163,20.210379244579983,5.04202938079834
164,164,21.782763883652468,4.680130958557129
165,165,22.72220993881396,5.7160868644714355
166,166,24.097398554329725,6.243790626525879
167,167,24.16787444317322,5.220645904541016
