sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_speed_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_speed_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_speed_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_speed_expanded2688,was_mt_gan_win_before
85,85,28.72250736297703,20.7490839418831,30.80652856471147,5.609640121459961,7.718591690063477,5.855080604553223,gan,gan,cnn,cnn,0
86,86,29.195361276159034,18.84606490909817,31.017881280767106,5.25334358215332,9.43416690826416,5.788959980010986,gan,gan,cnn,cnn,0
87,87,29.611902358359767,19.024115372275585,31.622517799529227,6.509652614593506,7.174471855163574,6.725584030151367,gan,gan,cnn,cnn,0
88,88,26.37509421416108,18.396084436387564,28.192388061829348,6.411813259124756,6.487721920013428,6.053147792816162,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
89,89,24.29846982632471,17.197907308437554,25.65844629590951,6.017302513122559,6.256072521209717,5.951303958892822,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
90,90,22.206834090995343,17.32676746960286,24.11596492959633,5.257880687713623,5.663510322570801,5.35438346862793,gan,gan,cnn,cnn,0
91,91,22.30942508877806,16.266054339767617,24.418312506305487,5.508337497711182,5.519831657409668,5.687473773956299,gan,gan,cnn,cnn,0
92,92,22.07932597419188,16.807703363287136,25.035070693480936,5.735818386077881,5.677903175354004,5.437336444854736,gan,gan,gan,candidateB_factorial_speed_expanded2688,1
93,93,24.402894658345392,18.13548367922437,28.530578831470763,6.506997585296631,6.816009521484375,6.101170063018799,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
94,94,24.570031527820365,20.006869187749356,30.123668074030967,5.102908611297607,6.517361164093018,5.7939629554748535,gan,gan,cnn,cnn,0
95,95,26.879696075655563,20.637912890931716,31.586879236339517,5.015480041503906,6.677723407745361,6.225842475891113,gan,gan,cnn,cnn,0
96,96,28.904715116511554,22.25070627382419,33.18557933203389,5.121858596801758,7.258078575134277,5.666706562042236,gan,gan,cnn,cnn,0
97,97,30.15308546680866,22.202351461270364,33.773518959358675,5.011539936065674,7.223494529724121,5.3265862464904785,gan,gan,cnn,cnn,0
98,98,31.264551411001506,23.055714774434993,34.16649425035358,4.942448139190674,8.764951705932617,5.450744152069092,gan,gan,cnn,cnn,0
99,99,30.940933752807226,20.998202000997363,34.30203730545498,5.342334747314453,7.760592460632324,6.140787124633789,gan,gan,cnn,cnn,0
100,100,31.181555022619012,20.891681214618057,33.7428770378768,5.912055015563965,7.617006778717041,5.962793827056885,gan,gan,cnn,cnn,0
101,101,30.40796712150836,20.937383941054357,33.03174086969067,5.357294082641602,7.0666680335998535,6.387572288513184,gan,gan,cnn,cnn,0
102,102,29.254680859214627,20.257793175726828,31.95337643633302,5.164434909820557,8.231893539428711,6.442268371582031,gan,gan,cnn,cnn,0
103,103,29.507549938987374,20.69051451494371,32.572996800916854,5.102769374847412,6.314839839935303,5.836021900177002,gan,gan,cnn,cnn,0
104,104,29.173745320955113,20.12992358587829,31.883397217756123,4.829194068908691,7.393864154815674,5.272216796875,gan,gan,cnn,cnn,0
105,105,29.338582011466166,19.283104237304943,31.840336699510335,5.33697509765625,6.823482513427734,6.036621570587158,gan,gan,cnn,cnn,0
106,106,30.092821360744658,20.00547041151677,31.807567836411714,5.767349720001221,6.75129508972168,6.516167640686035,gan,gan,cnn,cnn,0
107,107,29.64376642955138,20.682183399063746,31.393845735420562,5.574344635009766,7.6041154861450195,5.956917762756348,gan,gan,cnn,cnn,0
108,108,28.940126674621943,21.1993064034262,31.451741365512564,5.6898322105407715,7.595790386199951,6.265308856964111,gan,gan,cnn,cnn,0
109,109,28.97319829057234,20.853111383838083,31.337279879945925,5.088190078735352,7.198193550109863,5.84427547454834,gan,gan,cnn,cnn,0
110,110,29.504241915198808,19.600364202728887,31.762945006288593,5.806641101837158,6.568319320678711,6.231179237365723,gan,gan,cnn,cnn,0
111,111,28.17742348677506,18.815230764049467,30.435515881801702,5.513612270355225,8.167459487915039,6.1707940101623535,gan,gan,cnn,cnn,0
112,112,27.49742127818127,19.372446559915602,29.958539436292867,5.637857913970947,6.682409286499023,6.375887393951416,gan,gan,cnn,cnn,0
113,113,26.010710160777133,18.415536047943895,28.606182081264816,5.502909183502197,6.949485778808594,5.947873115539551,gan,gan,cnn,cnn,0
114,114,24.541486090961616,16.84887862793787,27.505576275684728,5.123978614807129,5.899235248565674,5.850010395050049,gan,gan,cnn,cnn,0
115,115,25.270960377659716,17.25298248796687,27.776683313498495,4.689971923828125,7.232174873352051,5.524585723876953,gan,gan,cnn,cnn,0
116,116,25.095451409249726,17.129081493158413,28.77648049966197,5.35050630569458,7.636551856994629,5.491223335266113,gan,gan,cnn,cnn,0
117,117,27.14897424086504,18.592743212240446,30.167383997471443,5.260716915130615,8.683184623718262,5.807194232940674,gan,gan,cnn,cnn,0
118,118,27.925806328570985,19.893975298384717,32.01181697490276,6.84329080581665,9.465571403503418,6.621156215667725,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
119,119,27.187847892928154,20.557132674744736,31.87429036189385,5.218785285949707,6.129123687744141,6.000651836395264,gan,gan,cnn,cnn,0
120,120,28.146732976702577,21.528863701574615,31.199216278449065,4.889072418212891,7.93386173248291,5.257138252258301,gan,gan,cnn,cnn,0
121,121,29.135888828595842,21.37188887795256,31.88233550718333,5.373913288116455,7.535200595855713,5.623414993286133,gan,gan,cnn,cnn,0
122,122,28.017758663142306,22.491589595860475,31.318994048896705,5.264456272125244,7.450175762176514,5.745635986328125,gan,gan,cnn,cnn,0
123,123,29.152924001075785,22.17220391892049,31.024402279015032,6.196282386779785,8.431406021118164,5.710352897644043,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
124,124,28.184626374879375,22.119830159019614,30.79365680267891,6.166434288024902,6.818744659423828,5.775800704956055,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
125,125,28.43981263564626,21.313574573250694,30.29548562271118,5.748098373413086,10.086677551269531,5.424657821655273,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
126,126,28.023492407781937,22.88972837862729,29.73705989032399,4.992148399353027,8.052214622497559,5.134559154510498,gan,gan,cnn,cnn,0
127,127,30.000730217921266,24.85609607980766,31.570612647940965,5.114649772644043,13.074076652526855,5.449705123901367,gan,gan,cnn,cnn,0
